"Year","Country","Cancer_Site","Sex","Incidences","ASR"
2016,"England","Lung","Men",21044,92
2017,"England","Lung","Men",20677,88.4
2018,"England","Lung","Men",20708,86.6
2019,"England","Lung","Men",20897,85.5
2020,"England","Lung","Men",19161,77.2
1995,"England","Lung","Women",11486,50.8
1996,"England","Lung","Women",11303,50.1
1997,"England","Lung","Women",11611,51.2
1998,"England","Lung","Women",11738,51.6
1999,"England","Lung","Women",12001,52.5
2000,"England","Lung","Women",12234,53.3
2001,"England","Lung","Women",12330,53.2
2002,"England","Lung","Women",12184,52.3
2003,"England","Lung","Women",12666,53.8
2004,"England","Lung","Women",12692,53.9
2005,"England","Lung","Women",13271,55.9
2006,"England","Lung","Women",13889,58
2007,"England","Lung","Women",14223,58.7
2008,"England","Lung","Women",14995,61.2
2009,"England","Lung","Women",15156,61.1
2010,"England","Lung","Women",15530,61.9
2011,"England","Lung","Women",16212,63.9
2012,"England","Lung","Women",17061,66.2
2013,"England","Lung","Women",17397,66.5
2014,"England","Lung","Women",17707,66.5
2015,"England","Lung","Women",18043,67.1
2016,"England","Lung","Women",18318,67.3
2017,"England","Lung","Women",19006,68.5
2018,"England","Lung","Women",19078,67.8
2019,"England","Lung","Women",19419,67.7
2020,"England","Lung","Women",18076,62.2
1993,"Nothern Ireland","Lung","Men",565,121
1994,"Nothern Ireland","Lung","Men",625,132.4
1995,"Nothern Ireland","Lung","Men",543,114.8
1996,"Nothern Ireland","Lung","Men",551,114.7
1997,"Nothern Ireland","Lung","Men",556,115.6
1998,"Nothern Ireland","Lung","Men",560,113.8
1999,"Nothern Ireland","Lung","Men",512,105.6
2000,"Nothern Ireland","Lung","Men",521,103.1
2001,"Nothern Ireland","Lung","Men",565,110.1
2002,"Nothern Ireland","Lung","Men",509,98.7
2003,"Nothern Ireland","Lung","Men",536,102.3
2004,"Nothern Ireland","Lung","Men",589,112
2005,"Nothern Ireland","Lung","Men",559,102.2
2006,"Nothern Ireland","Lung","Men",575,103.1
2007,"Nothern Ireland","Lung","Men",604,104.2
2008,"Nothern Ireland","Lung","Men",656,115.3
2009,"Nothern Ireland","Lung","Men",617,104.2
2010,"Nothern Ireland","Lung","Men",640,105.8
2011,"Nothern Ireland","Lung","Men",663,106.4
2012,"Nothern Ireland","Lung","Men",658,104.9
2013,"Nothern Ireland","Lung","Men",689,105.4
2014,"Nothern Ireland","Lung","Men",669,99.8
2015,"Nothern Ireland","Lung","Men",684,100.3
2016,"Nothern Ireland","Lung","Men",670,96.2
2017,"Nothern Ireland","Lung","Men",726,102.6
2018,"Nothern Ireland","Lung","Men",704,96.6
2019,"Nothern Ireland","Lung","Men",692,92.5
2020,"Nothern Ireland","Lung","Men",721,93.6
2021,"Nothern Ireland","Lung","Men",681,85.7
1993,"Nothern Ireland","Lung","Women",320,49.5
1994,"Nothern Ireland","Lung","Women",309,47.2
1995,"Nothern Ireland","Lung","Women",331,50.7
1996,"Nothern Ireland","Lung","Women",308,47
1997,"Nothern Ireland","Lung","Women",322,48.3
1998,"Nothern Ireland","Lung","Women",330,49.2
1999,"Nothern Ireland","Lung","Women",355,52.6
2000,"Nothern Ireland","Lung","Women",339,50.4
2001,"Nothern Ireland","Lung","Women",320,46.6
2002,"Nothern Ireland","Lung","Women",368,53.4
2003,"Nothern Ireland","Lung","Women",364,52
2004,"Nothern Ireland","Lung","Women",373,52.6
2005,"Nothern Ireland","Lung","Women",392,54.2
2006,"Nothern Ireland","Lung","Women",369,51.2
2007,"Nothern Ireland","Lung","Women",424,57.7
2008,"Nothern Ireland","Lung","Women",407,54.5
2009,"Nothern Ireland","Lung","Women",464,61.3
2010,"Nothern Ireland","Lung","Women",421,54.6
2011,"Nothern Ireland","Lung","Women",468,59.6
2012,"Nothern Ireland","Lung","Women",536,67.7
2013,"Nothern Ireland","Lung","Women",556,68.9
2014,"Nothern Ireland","Lung","Women",591,72.6
2015,"Nothern Ireland","Lung","Women",596,71.1
2016,"Nothern Ireland","Lung","Women",716,83.7
2017,"Nothern Ireland","Lung","Women",645,74.7
2018,"Nothern Ireland","Lung","Women",621,70.6
2019,"Nothern Ireland","Lung","Women",703,78.6
2020,"Nothern Ireland","Lung","Women",632,69.7
2021,"Nothern Ireland","Lung","Women",643,69
1997,"Scotland","Lung","Men",2755,165.374784963469
1998,"Scotland","Lung","Men",2698,158.740619214568
1999,"Scotland","Lung","Men",2606,151.715418995115
2000,"Scotland","Lung","Men",2536,146.772502920236
2001,"Scotland","Lung","Men",2532,143.073898779435
2002,"Scotland","Lung","Men",2651,149.246316338881
2003,"Scotland","Lung","Men",2521,140.522101436357
2004,"Scotland","Lung","Men",2552,139.47749912621
2005,"Scotland","Lung","Men",2550,137.813005976094
2006,"Scotland","Lung","Men",2569,136.85776807434
2007,"Scotland","Lung","Men",2596,134.996960614576
2008,"Scotland","Lung","Men",2530,128.833267282896
2009,"Scotland","Lung","Men",2724,137.388518482448
2010,"Scotland","Lung","Men",2583,127.929432332767
2011,"Scotland","Lung","Men",2656,128.98612621419
2012,"Scotland","Lung","Men",2658,125.189158705261
2013,"Scotland","Lung","Men",2683,124.92667961713
2014,"Scotland","Lung","Men",2797,126.58267876244
2015,"Scotland","Lung","Men",2625,116.519176542618
2016,"Scotland","Lung","Men",2585,113.935789212105
2017,"Scotland","Lung","Men",2653,113.884712919638
2018,"Scotland","Lung","Men",2650,111.509465566038
2019,"Scotland","Lung","Men",2570,106.32644847711
2020,"Scotland","Lung","Men",2424,98.3956168000191
2021,"Scotland","Lung","Men",2699,108.413153943021
1997,"Scotland","Lung","Women",1952,81.4200335065067
1998,"Scotland","Lung","Women",1951,81.0086014330676
1999,"Scotland","Lung","Women",1920,79.2009365193509
2000,"Scotland","Lung","Women",2032,83.6748346369389
2001,"Scotland","Lung","Women",1854,75.9287052673756
2002,"Scotland","Lung","Women",2053,83.3589760959346
2003,"Scotland","Lung","Women",2040,82.2003760305971
2004,"Scotland","Lung","Women",2195,87.783852614209
2005,"Scotland","Lung","Women",2153,85.4672094629554
2006,"Scotland","Lung","Women",2260,89.2813094110491
2007,"Scotland","Lung","Women",2367,92.3259718693339
2008,"Scotland","Lung","Women",2428,93.5814756631253
2009,"Scotland","Lung","Women",2423,92.5206195256242
2010,"Scotland","Lung","Women",2469,93.6484580697456
2011,"Scotland","Lung","Women",2555,95.4369620862694
2012,"Scotland","Lung","Women",2638,97.211994367119
2013,"Scotland","Lung","Women",2679,97.9311258481111
2014,"Scotland","Lung","Women",2743,99.036239558394
2015,"Scotland","Lung","Women",2585,92.3230214856779
2016,"Scotland","Lung","Women",2670,93.8722023855589
2017,"Scotland","Lung","Women",2806,97.447895764599
2018,"Scotland","Lung","Women",2878,98.6957297318721
2019,"Scotland","Lung","Women",2752,92.9199389720412
2020,"Scotland","Lung","Women",2606,87.1811003313719
2021,"Scotland","Lung","Women",2777,91.4750640218262
2002,"Wales","Lung","Men",NA,109.8
2003,"Wales","Lung","Men",NA,112.7
2004,"Wales","Lung","Men",NA,112.9
2005,"Wales","Lung","Men",NA,104.6
2006,"Wales","Lung","Men",NA,111.2
2007,"Wales","Lung","Men",NA,108.3
2008,"Wales","Lung","Men",NA,110.4
2009,"Wales","Lung","Men",NA,104.2
2010,"Wales","Lung","Men",NA,102.8
2011,"Wales","Lung","Men",NA,105.4
2012,"Wales","Lung","Men",NA,93.4
2013,"Wales","Lung","Men",NA,101.5
2014,"Wales","Lung","Men",NA,94.9
2015,"Wales","Lung","Men",NA,92.9
2016,"Wales","Lung","Men",NA,90.9
2017,"Wales","Lung","Men",NA,85.3
2018,"Wales","Lung","Men",NA,90.4
2019,"Wales","Lung","Men",NA,86
2020,"Wales","Lung","Men",NA,73.3
2002,"Wales","Lung","Women",NA,57
2003,"Wales","Lung","Women",NA,55.3
2004,"Wales","Lung","Women",NA,63.5
2005,"Wales","Lung","Women",NA,61.5
2006,"Wales","Lung","Women",NA,65.3
2007,"Wales","Lung","Women",NA,60.9
2008,"Wales","Lung","Women",NA,68.9
2009,"Wales","Lung","Women",NA,61.5
2010,"Wales","Lung","Women",NA,66
2011,"Wales","Lung","Women",NA,66.7
2012,"Wales","Lung","Women",NA,71.8
2013,"Wales","Lung","Women",NA,66.9
2014,"Wales","Lung","Women",NA,68.3
2015,"Wales","Lung","Women",NA,70.8
2016,"Wales","Lung","Women",NA,73
2017,"Wales","Lung","Women",NA,67.7
2018,"Wales","Lung","Women",NA,68.4
2019,"Wales","Lung","Women",NA,68.2
2020,"Wales","Lung","Women",NA,64.7
1995,"England","Oesophageal","Men",3219,19.4
1996,"England","Oesophageal","Men",3247,19.6
1997,"England","Oesophageal","Men",3462,20.6
1998,"England","Oesophageal","Men",3416,20.1
1999,"England","Oesophageal","Men",3491,20.3
2000,"England","Oesophageal","Men",3690,21.2
2001,"England","Oesophageal","Men",3828,21.5
2002,"England","Oesophageal","Men",3905,21.7
2003,"England","Oesophageal","Men",3974,21.8
2004,"England","Oesophageal","Men",4019,21.8
2005,"England","Oesophageal","Men",4122,21.9
2006,"England","Oesophageal","Men",4180,22
2007,"England","Oesophageal","Men",4335,22.2
2008,"England","Oesophageal","Men",4596,23.2
2009,"England","Oesophageal","Men",4533,22.4
2010,"England","Oesophageal","Men",4701,22.8
2011,"England","Oesophageal","Men",4711,22.5
2012,"England","Oesophageal","Men",5001,23.3
2013,"England","Oesophageal","Men",4939,22.5
2014,"England","Oesophageal","Men",4960,22
2015,"England","Oesophageal","Men",5256,23
2016,"England","Oesophageal","Men",5285,22.8
2017,"England","Oesophageal","Men",5323,22.4
2018,"England","Oesophageal","Men",5486,22.6
2019,"England","Oesophageal","Men",5449,22
2020,"England","Oesophageal","Men",5043,20.1
1995,"England","Oesophageal","Women",2180,9.3
1996,"England","Oesophageal","Women",2107,9
1997,"England","Oesophageal","Women",2200,9.4
1998,"England","Oesophageal","Women",2264,9.6
1999,"England","Oesophageal","Women",2332,9.8
2000,"England","Oesophageal","Women",2328,9.7
2001,"England","Oesophageal","Women",2308,9.6
2002,"England","Oesophageal","Women",2248,9.3
2003,"England","Oesophageal","Women",2289,9.4
2004,"England","Oesophageal","Women",2196,9.1
2005,"England","Oesophageal","Women",2287,9.3
2006,"England","Oesophageal","Women",2299,9.3
2007,"England","Oesophageal","Women",2274,9.1
2008,"England","Oesophageal","Women",2258,9
2009,"England","Oesophageal","Women",2231,8.8
2010,"England","Oesophageal","Women",2326,9
2011,"England","Oesophageal","Women",2256,8.7
2012,"England","Oesophageal","Women",2420,9.1
2013,"England","Oesophageal","Women",2415,9.1
2014,"England","Oesophageal","Women",2400,8.8
2015,"England","Oesophageal","Women",2419,8.8
2016,"England","Oesophageal","Women",2336,8.4
2017,"England","Oesophageal","Women",2299,8.1
2018,"England","Oesophageal","Women",2374,8.3
2019,"England","Oesophageal","Women",2385,8.1
2020,"England","Oesophageal","Women",2173,7.3
1993,"Nothern Ireland","Oesophageal","Men",88,19
1994,"Nothern Ireland","Oesophageal","Men",99,20.9
1995,"Nothern Ireland","Oesophageal","Men",96,18.5
1996,"Nothern Ireland","Oesophageal","Men",78,16.5
1997,"Nothern Ireland","Oesophageal","Men",97,20.2
1998,"Nothern Ireland","Oesophageal","Men",100,20.8
1999,"Nothern Ireland","Oesophageal","Men",92,18.2
2000,"Nothern Ireland","Oesophageal","Men",70,13.9
2001,"Nothern Ireland","Oesophageal","Men",101,19.8
2002,"Nothern Ireland","Oesophageal","Men",84,16.9
2003,"Nothern Ireland","Oesophageal","Men",94,18.4
2004,"Nothern Ireland","Oesophageal","Men",105,18.9
2005,"Nothern Ireland","Oesophageal","Men",113,19.6
2006,"Nothern Ireland","Oesophageal","Men",122,21
2007,"Nothern Ireland","Oesophageal","Men",126,21.7
2008,"Nothern Ireland","Oesophageal","Men",125,19.8
2009,"Nothern Ireland","Oesophageal","Men",113,17.8
2010,"Nothern Ireland","Oesophageal","Men",118,18.7
2011,"Nothern Ireland","Oesophageal","Men",124,20
2012,"Nothern Ireland","Oesophageal","Men",137,21.7
2013,"Nothern Ireland","Oesophageal","Men",138,19.8
2014,"Nothern Ireland","Oesophageal","Men",154,21.8
2015,"Nothern Ireland","Oesophageal","Men",130,18.1
2016,"Nothern Ireland","Oesophageal","Men",157,21.3
2017,"Nothern Ireland","Oesophageal","Men",176,23.2
2018,"Nothern Ireland","Oesophageal","Men",160,20.8
2019,"Nothern Ireland","Oesophageal","Men",145,18.8
2020,"Nothern Ireland","Oesophageal","Men",138,18
2021,"Nothern Ireland","Oesophageal","Men",180,21.9
1993,"Nothern Ireland","Oesophageal","Women",56,8.6
1994,"Nothern Ireland","Oesophageal","Women",53,8.1
1995,"Nothern Ireland","Oesophageal","Women",56,8.4
1996,"Nothern Ireland","Oesophageal","Women",61,9.1
1997,"Nothern Ireland","Oesophageal","Women",74,11
1998,"Nothern Ireland","Oesophageal","Women",52,7.6
1999,"Nothern Ireland","Oesophageal","Women",61,9.1
2000,"Nothern Ireland","Oesophageal","Women",70,10.3
2001,"Nothern Ireland","Oesophageal","Women",62,9
2002,"Nothern Ireland","Oesophageal","Women",57,8
2003,"Nothern Ireland","Oesophageal","Women",51,7.2
2004,"Nothern Ireland","Oesophageal","Women",53,7.4
2005,"Nothern Ireland","Oesophageal","Women",49,6.8
2006,"Nothern Ireland","Oesophageal","Women",57,7.7
2007,"Nothern Ireland","Oesophageal","Women",72,9.5
2008,"Nothern Ireland","Oesophageal","Women",62,8.1
2009,"Nothern Ireland","Oesophageal","Women",60,7.7
2010,"Nothern Ireland","Oesophageal","Women",66,8.5
2011,"Nothern Ireland","Oesophageal","Women",61,7.7
2012,"Nothern Ireland","Oesophageal","Women",74,9.2
2013,"Nothern Ireland","Oesophageal","Women",66,8
2014,"Nothern Ireland","Oesophageal","Women",69,8.3
2015,"Nothern Ireland","Oesophageal","Women",76,8.8
2016,"Nothern Ireland","Oesophageal","Women",70,8
2017,"Nothern Ireland","Oesophageal","Women",51,5.7
2018,"Nothern Ireland","Oesophageal","Women",61,6.8
2019,"Nothern Ireland","Oesophageal","Women",58,6.4
2020,"Nothern Ireland","Oesophageal","Women",51,5.6
2021,"Nothern Ireland","Oesophageal","Women",74,7.8
1997,"Scotland","Oesophageal","Men",434,25.001926423334
1998,"Scotland","Oesophageal","Men",474,27.1794935072812
1999,"Scotland","Oesophageal","Men",456,26.2704922838975
2000,"Scotland","Oesophageal","Men",453,24.8148947056447
2001,"Scotland","Oesophageal","Men",484,26.8456230191013
2002,"Scotland","Oesophageal","Men",518,28.1971114620352
2003,"Scotland","Oesophageal","Men",511,28.3208961059138
2004,"Scotland","Oesophageal","Men",532,29.2222739287572
2005,"Scotland","Oesophageal","Men",517,26.8685572146307
2006,"Scotland","Oesophageal","Men",528,27.3482946518771
2007,"Scotland","Oesophageal","Men",537,26.8316991640173
2008,"Scotland","Oesophageal","Men",547,27.0408475196566
2009,"Scotland","Oesophageal","Men",547,26.3604004582325
2010,"Scotland","Oesophageal","Men",555,26.4591965232407
2011,"Scotland","Oesophageal","Men",547,25.296146955539
2012,"Scotland","Oesophageal","Men",584,27.0209975695306
2013,"Scotland","Oesophageal","Men",572,25.8048542206649
2014,"Scotland","Oesophageal","Men",628,27.8921159443546
2015,"Scotland","Oesophageal","Men",599,26.2630712258141
2016,"Scotland","Oesophageal","Men",578,24.9414847971693
2017,"Scotland","Oesophageal","Men",653,27.6007156766848
2018,"Scotland","Oesophageal","Men",586,24.0963716299474
2019,"Scotland","Oesophageal","Men",557,22.5452675831656
2020,"Scotland","Oesophageal","Men",571,23.0842039557442
2021,"Scotland","Oesophageal","Men",701,27.6412725514943
1997,"Scotland","Oesophageal","Women",318,13.0967844758083
1998,"Scotland","Oesophageal","Women",286,11.6952198890522
1999,"Scotland","Oesophageal","Women",329,13.4768784177864
2000,"Scotland","Oesophageal","Women",292,11.8508605532772
2001,"Scotland","Oesophageal","Women",297,11.9091094340045
2002,"Scotland","Oesophageal","Women",313,12.4872702278745
2003,"Scotland","Oesophageal","Women",300,11.9492602298603
2004,"Scotland","Oesophageal","Women",336,13.1767202229559
2005,"Scotland","Oesophageal","Women",308,12.1796612995796
2006,"Scotland","Oesophageal","Women",311,12.0904018129578
2007,"Scotland","Oesophageal","Women",298,11.4653437345708
2008,"Scotland","Oesophageal","Women",278,10.7260236793531
2009,"Scotland","Oesophageal","Women",300,11.4138768004349
2010,"Scotland","Oesophageal","Women",336,12.5669222803241
2011,"Scotland","Oesophageal","Women",296,11.0340771744555
2012,"Scotland","Oesophageal","Women",311,11.3854248772783
2013,"Scotland","Oesophageal","Women",349,12.5367477210898
2014,"Scotland","Oesophageal","Women",310,11.0133429999155
2015,"Scotland","Oesophageal","Women",332,11.6610187015972
2016,"Scotland","Oesophageal","Women",287,9.9976121576374
2017,"Scotland","Oesophageal","Women",321,10.9932797060488
2018,"Scotland","Oesophageal","Women",297,10.0011371731253
2019,"Scotland","Oesophageal","Women",275,9.19223887634859
2020,"Scotland","Oesophageal","Women",269,8.89236967467137
2021,"Scotland","Oesophageal","Women",296,9.64152594887888
2002,"Wales","Oesophageal","Men",NA,22.5
2003,"Wales","Oesophageal","Men",NA,23.4
2004,"Wales","Oesophageal","Men",NA,22
2005,"Wales","Oesophageal","Men",NA,21.1
2006,"Wales","Oesophageal","Men",NA,24
2007,"Wales","Oesophageal","Men",NA,24.6
2008,"Wales","Oesophageal","Men",NA,24.1
2009,"Wales","Oesophageal","Men",NA,23.4
2010,"Wales","Oesophageal","Men",NA,23.6
2011,"Wales","Oesophageal","Men",NA,19.4
2012,"Wales","Oesophageal","Men",NA,20.5
2013,"Wales","Oesophageal","Men",NA,19.4
2014,"Wales","Oesophageal","Men",NA,22
2015,"Wales","Oesophageal","Men",NA,22.2
2016,"Wales","Oesophageal","Men",NA,19.1
2017,"Wales","Oesophageal","Men",NA,20.4
2018,"Wales","Oesophageal","Men",NA,22.9
2019,"Wales","Oesophageal","Men",NA,20.2
2020,"Wales","Oesophageal","Men",NA,19.4
2002,"Wales","Oesophageal","Women",NA,12
2003,"Wales","Oesophageal","Women",NA,10.2
2004,"Wales","Oesophageal","Women",NA,9.9
2005,"Wales","Oesophageal","Women",NA,10
2006,"Wales","Oesophageal","Women",NA,10.4
2007,"Wales","Oesophageal","Women",NA,10.1
2008,"Wales","Oesophageal","Women",NA,10.2
2009,"Wales","Oesophageal","Women",NA,10.2
2010,"Wales","Oesophageal","Women",NA,9.1
2011,"Wales","Oesophageal","Women",NA,10.3
2012,"Wales","Oesophageal","Women",NA,8.2
2013,"Wales","Oesophageal","Women",NA,8.6
2014,"Wales","Oesophageal","Women",NA,8.8
2015,"Wales","Oesophageal","Women",NA,9.5
2016,"Wales","Oesophageal","Women",NA,8.5
2017,"Wales","Oesophageal","Women",NA,8.6
2018,"Wales","Oesophageal","Women",NA,8.7
2019,"Wales","Oesophageal","Women",NA,7.6
2020,"Wales","Oesophageal","Women",NA,7.5
1995,"England","Pancreatic","Men",2647,16.2
1996,"England","Pancreatic","Men",2675,16.4
1997,"England","Pancreatic","Men",2824,17
1998,"England","Pancreatic","Men",2751,16.5
1999,"England","Pancreatic","Men",2836,16.6
2000,"England","Pancreatic","Men",2930,17.1
2001,"England","Pancreatic","Men",2882,16.7
2002,"England","Pancreatic","Men",2962,16.8
2003,"England","Pancreatic","Men",2935,16.3
2004,"England","Pancreatic","Men",3109,17.2
2005,"England","Pancreatic","Men",3136,16.9
2006,"England","Pancreatic","Men",3276,17.5
2007,"England","Pancreatic","Men",3247,17
2008,"England","Pancreatic","Men",3533,18.1
2009,"England","Pancreatic","Men",3559,17.9
2010,"England","Pancreatic","Men",3633,17.8
2011,"England","Pancreatic","Men",3713,18
2012,"England","Pancreatic","Men",3949,18.7
2013,"England","Pancreatic","Men",4175,19.3
2014,"England","Pancreatic","Men",4170,18.8
2015,"England","Pancreatic","Men",4292,19
2016,"England","Pancreatic","Men",4523,19.7
2017,"England","Pancreatic","Men",4662,19.8
2018,"England","Pancreatic","Men",4673,19.5
2019,"England","Pancreatic","Men",4777,19.5
2020,"England","Pancreatic","Men",4853,19.5
1995,"England","Pancreatic","Women",2875,12.3
1996,"England","Pancreatic","Women",2903,12.5
1997,"England","Pancreatic","Women",2933,12.5
1998,"England","Pancreatic","Women",2815,12
1999,"England","Pancreatic","Women",3103,13.2
2000,"England","Pancreatic","Women",3081,13
2001,"England","Pancreatic","Women",3083,12.9
2002,"England","Pancreatic","Women",3055,12.7
2003,"England","Pancreatic","Women",3126,13
2004,"England","Pancreatic","Women",3267,13.5
2005,"England","Pancreatic","Women",3342,13.8
2006,"England","Pancreatic","Women",3471,14.2
2007,"England","Pancreatic","Women",3449,14
2008,"England","Pancreatic","Women",3598,14.4
2009,"England","Pancreatic","Women",3692,14.6
2010,"England","Pancreatic","Women",3694,14.4
2011,"England","Pancreatic","Women",3832,14.8
2012,"England","Pancreatic","Women",3949,15
2013,"England","Pancreatic","Women",4152,15.5
2014,"England","Pancreatic","Women",4128,15.2
2015,"England","Pancreatic","Women",4279,15.6
2016,"England","Pancreatic","Women",4233,15.2
2017,"England","Pancreatic","Women",4371,15.5
2018,"England","Pancreatic","Women",4331,15.1
2019,"England","Pancreatic","Women",4561,15.6
2020,"England","Pancreatic","Women",4515,15.3
1993,"Nothern Ireland","Pancreatic","Men",90,19.3
1994,"Nothern Ireland","Pancreatic","Men",62,13.2
1995,"Nothern Ireland","Pancreatic","Men",57,12.5
1996,"Nothern Ireland","Pancreatic","Men",91,20.3
1997,"Nothern Ireland","Pancreatic","Men",81,17.8
1998,"Nothern Ireland","Pancreatic","Men",72,14.1
1999,"Nothern Ireland","Pancreatic","Men",64,14.5
2000,"Nothern Ireland","Pancreatic","Men",63,13.3
2001,"Nothern Ireland","Pancreatic","Men",96,19.3
2002,"Nothern Ireland","Pancreatic","Men",83,16.5
2003,"Nothern Ireland","Pancreatic","Men",59,11
2004,"Nothern Ireland","Pancreatic","Men",76,13.3
2005,"Nothern Ireland","Pancreatic","Men",100,18.7
2006,"Nothern Ireland","Pancreatic","Men",104,17.6
2007,"Nothern Ireland","Pancreatic","Men",107,19.2
2008,"Nothern Ireland","Pancreatic","Men",111,19.4
2009,"Nothern Ireland","Pancreatic","Men",112,20.4
2010,"Nothern Ireland","Pancreatic","Men",89,14.8
2011,"Nothern Ireland","Pancreatic","Men",96,15.4
2012,"Nothern Ireland","Pancreatic","Men",125,19.2
2013,"Nothern Ireland","Pancreatic","Men",111,16.9
2014,"Nothern Ireland","Pancreatic","Men",116,17.5
2015,"Nothern Ireland","Pancreatic","Men",151,22.3
2016,"Nothern Ireland","Pancreatic","Men",139,20
2017,"Nothern Ireland","Pancreatic","Men",146,20.4
2018,"Nothern Ireland","Pancreatic","Men",152,21.2
2019,"Nothern Ireland","Pancreatic","Men",134,17.8
2020,"Nothern Ireland","Pancreatic","Men",172,22.5
2021,"Nothern Ireland","Pancreatic","Men",150,18.7
1993,"Nothern Ireland","Pancreatic","Women",84,12.9
1994,"Nothern Ireland","Pancreatic","Women",77,11.8
1995,"Nothern Ireland","Pancreatic","Women",64,9.7
1996,"Nothern Ireland","Pancreatic","Women",72,10.8
1997,"Nothern Ireland","Pancreatic","Women",81,11.9
1998,"Nothern Ireland","Pancreatic","Women",64,9.4
1999,"Nothern Ireland","Pancreatic","Women",58,8.5
2000,"Nothern Ireland","Pancreatic","Women",80,11.7
2001,"Nothern Ireland","Pancreatic","Women",75,10.8
2002,"Nothern Ireland","Pancreatic","Women",87,12.7
2003,"Nothern Ireland","Pancreatic","Women",99,13.8
2004,"Nothern Ireland","Pancreatic","Women",83,11.4
2005,"Nothern Ireland","Pancreatic","Women",81,11.2
2006,"Nothern Ireland","Pancreatic","Women",101,13.6
2007,"Nothern Ireland","Pancreatic","Women",84,11.4
2008,"Nothern Ireland","Pancreatic","Women",112,14.9
2009,"Nothern Ireland","Pancreatic","Women",100,13.1
2010,"Nothern Ireland","Pancreatic","Women",105,13.4
2011,"Nothern Ireland","Pancreatic","Women",118,14.8
2012,"Nothern Ireland","Pancreatic","Women",130,15.9
2013,"Nothern Ireland","Pancreatic","Women",129,16
2014,"Nothern Ireland","Pancreatic","Women",128,15.6
2015,"Nothern Ireland","Pancreatic","Women",131,15.5
2016,"Nothern Ireland","Pancreatic","Women",113,13.3
2017,"Nothern Ireland","Pancreatic","Women",122,13.9
2018,"Nothern Ireland","Pancreatic","Women",116,13
2019,"Nothern Ireland","Pancreatic","Women",132,14.7
2020,"Nothern Ireland","Pancreatic","Women",141,15.2
2021,"Nothern Ireland","Pancreatic","Women",132,14.1
1997,"Scotland","Pancreatic","Men",303,18.5293140078063
1998,"Scotland","Pancreatic","Men",286,16.4476260195546
1999,"Scotland","Pancreatic","Men",265,15.4207933910505
2000,"Scotland","Pancreatic","Men",318,18.8190491806032
2001,"Scotland","Pancreatic","Men",267,15.0470503530667
2002,"Scotland","Pancreatic","Men",284,16.069193249565
2003,"Scotland","Pancreatic","Men",308,16.7418155549942
2004,"Scotland","Pancreatic","Men",291,15.7151031566863
2005,"Scotland","Pancreatic","Men",290,15.5640591615735
2006,"Scotland","Pancreatic","Men",300,16.0534410504791
2007,"Scotland","Pancreatic","Men",322,16.4801217279969
2008,"Scotland","Pancreatic","Men",354,18.1868495141267
2009,"Scotland","Pancreatic","Men",370,18.6374857278266
2010,"Scotland","Pancreatic","Men",354,17.5694223842243
2011,"Scotland","Pancreatic","Men",383,18.3766507722662
2012,"Scotland","Pancreatic","Men",386,17.9716253136936
2013,"Scotland","Pancreatic","Men",399,18.6664097796914
2014,"Scotland","Pancreatic","Men",384,17.5552841284319
2015,"Scotland","Pancreatic","Men",408,18.1548144111018
2016,"Scotland","Pancreatic","Men",414,17.9938054268577
2017,"Scotland","Pancreatic","Men",411,17.5725072826721
2018,"Scotland","Pancreatic","Men",424,17.9902083658818
2019,"Scotland","Pancreatic","Men",469,19.2241533861911
2020,"Scotland","Pancreatic","Men",478,19.3448032582919
2021,"Scotland","Pancreatic","Men",441,17.5549627089226
1997,"Scotland","Pancreatic","Women",334,13.6799958633013
1998,"Scotland","Pancreatic","Women",341,14.0863837910444
1999,"Scotland","Pancreatic","Women",338,13.7930650367619
2000,"Scotland","Pancreatic","Women",325,13.2197806573946
2001,"Scotland","Pancreatic","Women",321,12.9079922844234
2002,"Scotland","Pancreatic","Women",299,12.0646006606115
2003,"Scotland","Pancreatic","Women",367,14.723227491154
2004,"Scotland","Pancreatic","Women",309,12.3483213796881
2005,"Scotland","Pancreatic","Women",345,13.7385317916812
2006,"Scotland","Pancreatic","Women",319,12.5639208420172
2007,"Scotland","Pancreatic","Women",353,13.5806726510953
2008,"Scotland","Pancreatic","Women",347,13.1715748250658
2009,"Scotland","Pancreatic","Women",384,14.4753607625002
2010,"Scotland","Pancreatic","Women",367,13.721015039119
2011,"Scotland","Pancreatic","Women",404,15.0460765413571
2012,"Scotland","Pancreatic","Women",396,14.5518873978789
2013,"Scotland","Pancreatic","Women",403,14.5408646876425
2014,"Scotland","Pancreatic","Women",428,15.3036391199987
2015,"Scotland","Pancreatic","Women",428,15.0185692788184
2016,"Scotland","Pancreatic","Women",416,14.6828396175617
2017,"Scotland","Pancreatic","Women",412,14.1677323690784
2018,"Scotland","Pancreatic","Women",407,13.7359383071589
2019,"Scotland","Pancreatic","Women",445,14.9922445736359
2020,"Scotland","Pancreatic","Women",447,14.8077870648035
2021,"Scotland","Pancreatic","Women",446,14.6003569561251
2002,"Wales","Pancreatic","Men",NA,17.9
2003,"Wales","Pancreatic","Men",NA,18.3
2004,"Wales","Pancreatic","Men",NA,18.2
2005,"Wales","Pancreatic","Men",NA,18.2
2006,"Wales","Pancreatic","Men",NA,17.5
2007,"Wales","Pancreatic","Men",NA,17.6
