,variable,country,sex,year,age_group,value,,
270,% Meet Physical Activity Guidelines,Scotland,Women,2015,16+,59.00,,
271,% Meet Physical Activity Guidelines,Scotland,Men,2015,16+,67.00,,
272,% Meet Physical Activity Guidelines,Scotland,Women,2016,16+,59.00,,
273,% Meet Physical Activity Guidelines,Scotland,Men,2016,16+,69.00,,
274,% Meet Physical Activity Guidelines,Scotland,Women,2017,16+,60.00,,
275,% Meet Physical Activity Guidelines,Scotland,Men,2017,16+,71.00,,
276,% Meet Physical Activity Guidelines,Scotland,Women,2018,16+,62.00,,
277,% Meet Physical Activity Guidelines,Scotland,Men,2018,16+,70.00,,
278,% Meet Physical Activity Guidelines,Scotland,Women,2019,16+,61.00,,
279,% Meet Physical Activity Guidelines,Scotland,Men,2019,16+,71.00,,
280,% Meet Physical Activity Guidelines,Scotland,Women,2021,16+,65.00,,
281,% Meet Physical Activity Guidelines,Scotland,Men,2021,16+,73.00,,
282,% Meet Physical Activity Guidelines,Scotland,Women,2022,16+,60.00,,
283,% Meet Physical Activity Guidelines,Scotland,Men,2022,16+,70.00,,
354,% Current Smoker,Scotland,Women,2008,16+,25.00,,
355,% Current Smoker,Scotland,Men,2008,16+,27.00,,
356,% Current Smoker,Scotland,Women,2009,16+,25.00,,
357,% Current Smoker,Scotland,Men,2009,16+,25.00,,
358,% Current Smoker,Scotland,Women,2010,16+,25.00,,
359,% Current Smoker,Scotland,Men,2010,16+,26.00,,
360,% Current Smoker,Scotland,Women,2011,16+,22.00,,
361,% Current Smoker,Scotland,Men,2011,16+,24.00,,
362,% Current Smoker,Scotland,Women,2012,16+,24.00,,
363,% Current Smoker,Scotland,Men,2012,16+,25.00,,
364,% Current Smoker,Scotland,Women,2013,16+,20.00,,
365,% Current Smoker,Scotland,Men,2013,16+,23.00,,
366,% Current Smoker,Scotland,Women,2014,16+,21.00,,
367,% Current Smoker,Scotland,Men,2014,16+,23.00,,
368,% Current Smoker,Scotland,Women,2015,16+,20.00,,
369,% Current Smoker,Scotland,Men,2015,16+,22.00,,
370,% Current Smoker,Scotland,Women,2016,16+,20.00,,
371,% Current Smoker,Scotland,Men,2016,16+,23.00,,
372,% Current Smoker,Scotland,Women,2017,16+,16.00,,
373,% Current Smoker,Scotland,Men,2017,16+,20.00,,
374,% Current Smoker,Scotland,Women,2018,16+,17.00,,
375,% Current Smoker,Scotland,Men,2018,16+,21.00,,
376,% Current Smoker,Scotland,Women,2019,16+,16.00,,
377,% Current Smoker,Scotland,Men,2019,16+,19.00,,
378,% Current Smoker,Scotland,Women,2021,16+,11.00,,
379,% Current Smoker,Scotland,Men,2021,16+,12.00,,
380,% Current Smoker,Scotland,Women,2022,16+,13.00,,
381,% Current Smoker,Scotland,Men,2022,16+,18.00,,
524,% Overweight not obese,Scotland,Women,2008,16+,35.00,,
525,% Overweight not obese,Scotland,Men,2008,16+,42.00,,
526,% Overweight not obese,Scotland,Women,2009,16+,33.00,,
527,% Overweight not obese,Scotland,Men,2009,16+,40.00,,
528,% Overweight not obese,Scotland,Women,2010,16+,33.00,,
529,% Overweight not obese,Scotland,Men,2010,16+,41.00,,
530,% Overweight not obese,Scotland,Women,2011,16+,32.00,,
531,% Overweight not obese,Scotland,Men,2011,16+,41.00,,
532,% Overweight not obese,Scotland,Women,2012,16+,32.00,,
533,% Overweight not obese,Scotland,Men,2012,16+,41.00,,
534,% Overweight not obese,Scotland,Women,2013,16+,31.00,,
535,% Overweight not obese,Scotland,Men,2013,16+,43.00,,
536,% Overweight not obese,Scotland,Women,2014,16+,32.00,,
537,% Overweight not obese,Scotland,Men,2014,16+,43.00,,
538,% Overweight not obese,Scotland,Women,2015,16+,32.00,,
539,% Overweight not obese,Scotland,Men,2015,16+,39.00,,
540,% Overweight not obese,Scotland,Women,2016,16+,32.00,,
541,% Overweight not obese,Scotland,Men,2016,16+,39.00,,
542,% Overweight not obese,Scotland,Women,2017,16+,33.00,,
543,% Overweight not obese,Scotland,Men,2017,16+,40.00,,
544,% Overweight not obese,Scotland,Women,2018,16+,33.00,,
545,% Overweight not obese,Scotland,Men,2018,16+,41.00,,
546,% Overweight not obese,Scotland,Women,2019,16+,33.00,,
547,% Overweight not obese,Scotland,Men,2019,16+,40.00,,
548,% Overweight not obese,Scotland,Women,2021,16+,33.00,,
549,% Overweight not obese,Scotland,Men,2021,16+,41.00,,
550,% Overweight not obese,Scotland,Women,2022,16+,33.00,,
551,% Overweight not obese,Scotland,Men,2022,16+,42.00,,
14,Age at First Birth,UK,Women,2000,NA,26.50,,
15,Age at First Birth,UK,Women,2001,NA,26.60,,
16,Age at First Birth,UK,Women,2002,NA,26.80,,
17,Age at First Birth,UK,Women,2003,NA,27.00,,
18,Age at First Birth,UK,Women,2004,NA,27.10,,
19,Age at First Birth,UK,Women,2005,NA,27.20,,
20,Age at First Birth,UK,Women,2006,NA,27.30,,
21,Age at First Birth,UK,Women,2007,NA,27.50,,
22,Age at First Birth,UK,Women,2008,NA,27.50,,
23,Age at First Birth,UK,Women,2009,NA,27.60,,
24,Age at First Birth,UK,Women,2010,NA,27.70,,
25,Age at First Birth,UK,Women,2011,NA,27.90,,
26,Age at First Birth,UK,Women,2012,NA,28.10,,
27,Age at First Birth,UK,Women,2013,NA,28.30,,
28,Age at First Birth,UK,Women,2014,NA,28.60,,
29,Age at First Birth,UK,Women,2015,NA,28.70,,
30,Age at First Birth,UK,Women,2016,NA,28.90,,
31,Age at First Birth,UK,Women,2017,NA,28.90,,
32,Age at First Birth,UK,Women,2018,NA,29.00,,
74,% Obese,Wales,Men,2016,16+,23.67,,
75,% Obese,Wales,Women,2016,16+,21.68,,
76,% Obese,Wales,Men,2017,16+,21.74,,
77,% Obese,Wales,Women,2017,16+,22.86,,
78,% Obese,Wales,Men,2018,16+,24.00,,
79,% Obese,Wales,Women,2018,16+,22.54,,
80,% Obese,Wales,Men,2019,16+,26.34,,
81,% Obese,Wales,Women,2019,16+,23.87,,
130,% Obese,Wales,Men,2004,16+,17.25,,
131,% Obese,Wales,Men,2005,16+,18.08,,
132,% Obese,Wales,Men,2006,16+,19.23,,
133,% Obese,Wales,Men,2007,16+,20.28,,
134,% Obese,Wales,Men,2008,16+,20.66,,
135,% Obese,Wales,Men,2009,16+,21.33,,
136,% Obese,Wales,Men,2010,16+,22.06,,
137,% Obese,Wales,Men,2011,16+,22.08,,
138,% Obese,Wales,Men,2012,16+,23.25,,
139,% Obese,Wales,Men,2013,16+,21.67,,
140,% Obese,Wales,Men,2014,16+,21.47,,
141,% Obese,Wales,Men,2015,16+,22.95,,
142,% Obese,Wales,Women,2004,16+,18.13,,
143,% Obese,Wales,Women,2005,16+,18.11,,
144,% Obese,Wales,Women,2006,16+,19.71,,
145,% Obese,Wales,Women,2007,16+,20.72,,
146,% Obese,Wales,Women,2008,16+,20.86,,
147,% Obese,Wales,Women,2009,16+,21.19,,
148,% Obese,Wales,Women,2010,16+,21.33,,
149,% Obese,Wales,Women,2011,16+,22.08,,
150,% Obese,Wales,Women,2012,16+,22.76,,
151,% Obese,Wales,Women,2013,16+,23.05,,
152,% Obese,Wales,Women,2014,16+,22.88,,
153,% Obese,Wales,Women,2015,16+,24.08,,
236,% Over Weekly Alcohol Guidelines,Wales,Men,2016,16+,26.83,,
237,% Over Weekly Alcohol Guidelines,Wales,Women,2016,16+,13.57,,
238,% Over Weekly Alcohol Guidelines,Wales,Men,2017,16+,24.59,,
239,% Over Weekly Alcohol Guidelines,Wales,Women,2017,16+,11.61,,
240,% Over Weekly Alcohol Guidelines,Wales,Men,2018,16+,24.99,,
241,% Over Weekly Alcohol Guidelines,Wales,Women,2018,16+,12.20,,
242,% Over Weekly Alcohol Guidelines,Wales,Men,2019,16+,24.65,,
243,% Over Weekly Alcohol Guidelines,Wales,Women,2019,16+,13.51,,
284,% Meet Physical Activity Guidelines,Wales,Men,2016,16+,57.07,,
285,% Meet Physical Activity Guidelines,Wales,Women,2016,16+,50.54,,
286,% Meet Physical Activity Guidelines,Wales,Men,2017,16+,56.69,,
287,% Meet Physical Activity Guidelines,Wales,Women,2017,16+,48.58,,
288,% Meet Physical Activity Guidelines,Wales,Men,2018,16+,58.13,,
289,% Meet Physical Activity Guidelines,Wales,Women,2018,16+,47.30,,
290,% Meet Physical Activity Guidelines,Wales,Men,2019,16+,58.24,,
291,% Meet Physical Activity Guidelines,Wales,Women,2019,16+,49.13,,
298,% Meet Physical Activity Guidelines,Wales,Men,2015,16+,63.62,,
299,% Meet Physical Activity Guidelines,Wales,Women,2015,16+,53.05,,
382,% Current Smoker,Wales,Men,2016,16+,20.37,,
383,% Current Smoker,Wales,Women,2016,16+,17.00,,
384,% Current Smoker,Wales,Men,2017,16+,21.10,,
385,% Current Smoker,Wales,Women,2017,16+,17.39,,
386,% Current Smoker,Wales,Men,2018,16+,17.92,,
387,% Current Smoker,Wales,Women,2018,16+,16.24,,
388,% Current Smoker,Wales,Men,2019,16+,18.45,,
389,% Current Smoker,Wales,Women,2019,16+,16.82,,
414,% Current Smoker,Wales,Men,2004,16+,27.34,,
415,% Current Smoker,Wales,Men,2005,16+,29.35,,
416,% Current Smoker,Wales,Men,2006,16+,26.63,,
417,% Current Smoker,Wales,Men,2007,16+,25.15,,
418,% Current Smoker,Wales,Men,2008,16+,24.76,,
419,% Current Smoker,Wales,Men,2009,16+,25.67,,
420,% Current Smoker,Wales,Men,2010,16+,24.64,,
421,% Current Smoker,Wales,Men,2011,16+,24.15,,
422,% Current Smoker,Wales,Men,2012,16+,24.54,,
423,% Current Smoker,Wales,Men,2013,16+,22.55,,
424,% Current Smoker,Wales,Men,2014,16+,22.15,,
425,% Current Smoker,Wales,Men,2015,16+,20.89,,
426,% Current Smoker,Wales,Women,2004,16+,25.56,,
427,% Current Smoker,Wales,Women,2005,16+,25.97,,
428,% Current Smoker,Wales,Women,2006,16+,24.34,,
429,% Current Smoker,Wales,Women,2007,16+,22.88,,
430,% Current Smoker,Wales,Women,2008,16+,22.40,,
431,% Current Smoker,Wales,Women,2009,16+,22.19,,
432,% Current Smoker,Wales,Women,2010,16+,21.66,,
433,% Current Smoker,Wales,Women,2011,16+,21.16,,
434,% Current Smoker,Wales,Women,2012,16+,20.83,,
435,% Current Smoker,Wales,Women,2013,16+,19.88,,
436,% Current Smoker,Wales,Women,2014,16+,18.80,,
437,% Current Smoker,Wales,Women,2015,16+,17.90,,
472,% Overweight not obese,Wales,Men,2016,16+,40.96,,
473,% Overweight not obese,Wales,Women,2016,16+,31.19,,
474,% Overweight not obese,Wales,Men,2017,16+,44.08,,
475,% Overweight not obese,Wales,Women,2017,16+,31.32,,
476,% Overweight not obese,Wales,Men,2018,16+,42.26,,
477,% Overweight not obese,Wales,Women,2018,16+,29.85,,
478,% Overweight not obese,Wales,Men,2019,16+,40.31,,
479,% Overweight not obese,Wales,Women,2019,16+,30.73,,
480,% Overweight not obese,Wales,Men,2004,16+,41.61,,
481,% Overweight not obese,Wales,Men,2005,16+,41.58,,
482,% Overweight not obese,Wales,Men,2006,16+,41.40,,
483,% Overweight not obese,Wales,Men,2007,16+,41.93,,
484,% Overweight not obese,Wales,Men,2008,16+,41.17,,
485,% Overweight not obese,Wales,Men,2009,16+,40.88,,
486,% Overweight not obese,Wales,Men,2010,16+,40.46,,
487,% Overweight not obese,Wales,Men,2011,16+,39.74,,
488,% Overweight not obese,Wales,Men,2012,16+,40.77,,
489,% Overweight not obese,Wales,Men,2013,16+,40.92,,
490,% Overweight not obese,Wales,Men,2014,16+,39.56,,
491,% Overweight not obese,Wales,Men,2015,16+,40.10,,
492,% Overweight not obese,Wales,Women,2004,16+,30.74,,
493,% Overweight not obese,Wales,Women,2005,16+,31.73,,
494,% Overweight not obese,Wales,Women,2006,16+,31.35,,
495,% Overweight not obese,Wales,Women,2007,16+,30.54,,
496,% Overweight not obese,Wales,Women,2008,16+,32.08,,
497,% Overweight not obese,Wales,Women,2009,16+,31.09,,
498,% Overweight not obese,Wales,Women,2010,16+,30.72,,
499,% Overweight not obese,Wales,Women,2011,16+,30.87,,
500,% Overweight not obese,Wales,Women,2012,16+,30.27,,
501,% Overweight not obese,Wales,Women,2013,16+,30.56,,
502,% Overweight not obese,Wales,Women,2014,16+,31.19,,
503,% Overweight not obese,Wales,Women,2015,16+,31.78,,
