Cancer Site,Year,Tumour Type,Tumour Type 2,Tumour Type 3,Tumour Type 4,Tumour Type 5,Tumour Type 6,Tumour Type 7,Basis of Diagnosis,Stage,Stage Detail,Stage Detail 2,Stage Detail 3,Age,Age Detail,Region,Gender,Grade,Nodal Status,Deprivation,Performance Status,Incidence,Population,Incidence Rate,Incidence Rate LCI,Incidence Rate UCI,Routes Population,Screening,Screening percentage,Screening percentage LCI,Screening percentage UCI,Two Week Wait,Two Week Wait percentage,Two Week Wait percentage LCI,Two Week Wait percentage UCI,GP Referral,GP Referral percentage,GP Referral percentage LCI,GP Referral percentage UCI,Other Outpatient,Other Outpatient percentage,Other Outpatient percentage LCI,Other Outpatient percentage UCI,Inpatient Elective,Inpatient Elective percentage,Inpatient Elective percentage LCI,Inpatient Elective percentage UCI,Emergency Presentation,Emergency Presentation percentage,Emergency Presentation percentage LCI,Emergency Presentation percentage UCI,DCO,DCO percentage,DCO percentage LCI,DCO percentage UCI,Unknown Route,Unknown Route percentage,Unknown Route percentage LCI,Unknown Route percentage UCI,Route not classified,Route not classified percentage,Route not classified percentage LCI,Route not classified percentage UCI,Treatment cohort,CT count,CT percentage,CT percentage LCI,CT percentage UCI,RT count,RT percentage,RT percentage LCI,RT percentage UCI,Surgery count,Surgery percentage,Surgery percentage LCI,Surgery percentage UCI,CT only count,CT only percentage,CT only percentage LCI,CT only percentage UCI,RT only count,RT only percentage,RT only percentage LCI,RT only percentage UCI,Surgery only count,Surgery only percentage,Surgery only percentage LCI,Surgery only percentage UCI,CT and RT count,CT and RT percentage,CT and RT percentage LCI,CT and RT percentage UCI,Surgery and CT count,Surgery and CT percentage,Surgery and CT percentage LCI,Surgery and CT percentage UCI,Surgery and RT count,Surgery and RT percentage,Surgery and RT percentage LCI,Surgery and RT percentage UCI,Surgery and CT and RT count,Surgery and CT and RT percentage,Surgery and CT and RT percentage LCI,Surgery and CT and RT percentage UCI,Other care count,Other care percentage,Other care percentage LCI,Other care percentage UCI,Initial cohort size,Survival cohort size,Net survival 03m,Net survival 03m LCI,Net survival 03m UCI,Kaplan-Meier survival 03m,Kaplan-Meier survival 03m LCI,Kaplan-Meier survival 03m UCI,Net survival 06m,Net survival 06m LCI,Net survival 06m UCI,Kaplan-Meier survival 06m,Kaplan-Meier survival 06m LCI,Kaplan-Meier survival 06m UCI,Net survival 09m,Net survival 09m LCI,Net survival 09m UCI,Kaplan-Meier survival 09m,Kaplan-Meier survival 09m LCI,Kaplan-Meier survival 09m UCI,Net survival 12m,Net survival 12m LCI,Net survival 12m UCI,Kaplan-Meier survival 12m,Kaplan-Meier survival 12m LCI,Kaplan-Meier survival 12m UCI,Net survival 24m,Net survival 24m LCI,Net survival 24m UCI,Kaplan-Meier survival 24m,Kaplan-Meier survival 24m LCI,Kaplan-Meier survival 24m UCI,Net survival 36m,Net survival 36m LCI,Net survival 36m UCI,Kaplan-Meier survival 36m,Kaplan-Meier survival 36m LCI,Kaplan-Meier survival 36m UCI,Net survival 48m,Net survival 48m LCI,Net survival 48m UCI,Kaplan-Meier survival 48m,Kaplan-Meier survival 48m LCI,Kaplan-Meier survival 48m UCI,Net survival 60m,Net survival 60m LCI,Net survival 60m UCI,Kaplan-Meier survival 60m,Kaplan-Meier survival 60m LCI,Kaplan-Meier survival 60m UCI,Net survival 72m,Net survival 72m LCI,Net survival 72m UCI,Kaplan-Meier survival 72m,Kaplan-Meier survival 72m LCI,Kaplan-Meier survival 72m UCI,Net survival 84m,Net survival 84m LCI,Net survival 84m UCI,Kaplan-Meier survival 84m,Kaplan-Meier survival 84m LCI,Kaplan-Meier survival 84m UCI,Net survival 96m,Net survival 96m LCI,Net survival 96m UCI,Kaplan-Meier survival 96m,Kaplan-Meier survival 96m LCI,Kaplan-Meier survival 96m UCI
Oesophageal and stomach,2020,Oesophagus,Lower third,Adenocarcinoma,All,All,All,All,Not split by Basis of Diagnosis,Stage 3,Not split by Stage Detail,Not split by Stage Detail 2,Not split by Stage Detail 3,Age 70+,Age 70+,All England,Persons,Not split by grade,Not split by nodal status,All,Not split by Performance Status,536,7679719,6.979,6.401,7.596,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,536,244,45.522,41.353,49.755,192,35.821,31.876,39.968,125,23.321,19.939,27.083,45,8.396,6.334,11.05,89,16.604,13.694,19.99,11,2.052,1.15,3.637,86,16.045,13.181,19.392,97,18.097,15.068,21.58,1,0.187,0.033,1.049,16,2.985,1.846,4.794,191,35.634,31.695,39.778,536,534,92.1,89.6,94.6,90.8,88,93,80.7,77.1,84.3,78.7,74.9,81.9,68.7,64.5,72.9,66.3,62.1,70.1,58.3,53.9,62.8,55.8,51.5,59.9,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a
Oesophageal and stomach,2020,Oesophagus,Lower third,Adenocarcinoma,All,All,All,All,Not split by Basis of Diagnosis,Stage 4,Not split by Stage Detail,Not split by Stage Detail 2,Not split by Stage Detail 3,All ages,All ages,All England,Persons,Not split by grade,Not split by nodal status,All,Not split by Performance Status,1526,56550138,2.698,2.565,2.837,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,1526,831,54.456,51.949,56.94,336,22.018,20.011,24.166,128,8.388,7.099,9.885,506,33.159,30.841,35.56,115,7.536,6.316,8.97,9,0.59,0.311,1.117,207,13.565,11.938,15.375,105,6.881,5.716,8.262,1,0.066,0.012,0.37,13,0.852,0.499,1.452,570,37.353,34.96,39.809,1526,1522,73.3,71,75.5,72.8,70.5,75,53,50.5,55.6,52.4,49.9,54.9,39.9,37.4,42.4,39.2,36.8,41.7,30,27.7,32.3,29.4,27.1,31.7,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a
Oesophageal and stomach,2020,Oesophagus,Lower third,Adenocarcinoma,All,All,All,All,Not split by Basis of Diagnosis,Stage 4,Not split by Stage Detail,Not split by Stage Detail 2,Not split by Stage Detail 3,Age 00-59,Age 00-59,All England,Persons,Not split by grade,Not split by nodal status,All,Not split by Performance Status,294,42889306,0.685,0.609,0.768,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,294,208,70.748,65.307,75.654,68,23.129,18.675,28.277,44,14.966,11.341,19.494,116,39.456,34.039,45.144,12,4.082,2.35,6.998,2,0.68,0.187,2.446,50,17.007,13.145,21.72,36,12.245,8.977,16.486,0,0,0,1.29,6,2.041,0.939,4.38,72,24.49,19.924,29.714,294,293,76.9,72.1,81.7,76.8,71.5,81.2,62.3,56.7,67.8,62.1,56.3,67.4,48.2,42.5,53.9,48,42.2,53.6,37.6,32,43.1,37.4,31.9,42.9,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a
Oesophageal and stomach,2020,Oesophagus,Lower third,Adenocarcinoma,All,All,All,All,Not split by Basis of Diagnosis,Stage 4,Not split by Stage Detail,Not split by Stage Detail 2,Not split by Stage Detail 3,Age 60-69,Age 60-69,All England,Persons,Not split by grade,Not split by nodal status,All,Not split by Performance Status,438,5981113,7.323,6.653,8.042,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,438,303,69.178,64.703,73.32,102,23.288,19.572,27.468,45,10.274,7.767,13.471,186,42.466,37.922,47.141,24,5.479,3.71,8.024,1,0.228,0.04,1.282,74,16.895,13.677,20.689,40,9.132,6.778,12.197,1,0.228,0.04,1.282,3,0.685,0.233,1.994,109,24.886,21.067,29.141,438,437,78.3,74.4,82.2,78,73.8,81.6,61.3,56.7,65.9,60.9,56.1,65.3,47.4,42.6,52.1,46.9,42.2,51.5,34.8,30.3,39.3,34.3,29.9,38.8,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a
Oesophageal and stomach,2020,Oesophagus,Lower third,Adenocarcinoma,All,All,All,All,Not split by Basis of Diagnosis,Stage 4,Not split by Stage Detail,Not split by Stage Detail 2,Not split by Stage Detail 3,Age 70+,Age 70+,All England,Persons,Not split by grade,Not split by nodal status,All,Not split by Performance Status,794,7679719,10.339,9.632,11.084,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,794,320,40.302,36.945,43.753,166,20.907,18.222,23.872,39,4.912,3.614,6.644,204,25.693,22.776,28.844,79,9.95,8.057,12.228,6,0.756,0.347,1.639,83,10.453,8.512,12.775,29,3.652,2.555,5.196,0,0,0,0.481,4,0.504,0.196,1.288,389,48.992,45.529,52.466,794,792,69.2,65.9,72.5,68.4,65.1,71.5,45.1,41.5,48.6,44.2,40.7,47.6,32.7,29.4,36,31.8,28.5,35,24.6,21.5,27.6,23.7,20.8,26.7,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a
Oesophageal and stomach,2020,Oesophagus,Lower third,Adenocarcinoma,All,All,All,All,Not split by Basis of Diagnosis,Stage unknown,Not split by Stage Detail,Not split by Stage Detail 2,Not split by Stage Detail 3,All ages,All ages,All England,Persons,Not split by grade,Not split by nodal status,All,Not split by Performance Status,351,56550138,0.621,0.557,0.689,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,351,91,25.926,21.619,30.754,66,18.803,15.062,23.221,37,10.541,7.745,14.192,37,10.541,7.745,14.192,35,9.972,7.257,13.552,9,2.564,1.355,4.801,27,7.692,5.34,10.96,24,6.838,4.638,9.972,1,0.285,0.05,1.596,3,0.855,0.291,2.482,215,61.254,56.061,66.202,351,350,77.1,72.6,81.7,76.2,71.4,80.3,64.4,59.2,69.6,63,57.7,67.8,54.1,48.6,59.5,52.3,46.9,57.4,47.9,42.4,53.4,45.7,40.4,50.8,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a
Oesophageal and stomach,2020,Oesophagus,Lower third,Squamous cell carcinoma,All,All,All,All,Not split by Basis of Diagnosis,All stages,Not split by Stage Detail,Not split by Stage Detail 2,Not split by Stage Detail 3,All ages,All ages,All England,Persons,Not split by grade,Not split by nodal status,All,Not split by Performance Status,607,56550138,1.073,0.99,1.162,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,607,282,46.458,42.525,50.435,305,50.247,46.281,54.211,44,7.249,5.444,9.591,76,12.521,10.121,15.391,111,18.287,15.414,21.558,2,0.329,0.09,1.193,164,27.018,23.638,30.687,12,1.977,1.134,3.423,0,0,0,0.629,30,4.942,3.484,6.968,212,34.926,31.239,38.802,607,605,82.6,79.5,85.7,81.8,78.5,84.7,66.6,62.7,70.5,65.5,61.5,69.1,52.6,48.5,56.7,51.4,47.4,55.3,42,38,46.1,40.8,36.9,44.7,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a
Oesophageal and stomach,2020,Oesophagus,Lower third,Squamous cell carcinoma,All,All,All,All,Not split by Basis of Diagnosis,Stage 1-3,Not split by Stage Detail,Not split by Stage Detail 2,Not split by Stage Detail 3,All ages,All ages,All England,Persons,Not split by grade,Not split by nodal status,All,Not split by Performance Status,327,56550138,0.578,0.517,0.644,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,327,171,52.294,46.885,57.649,197,60.245,54.851,65.4,39,11.927,8.848,15.889,26,7.951,5.484,11.395,61,18.654,14.805,23.232,2,0.612,0.168,2.202,108,33.028,28.153,38.296,9,2.752,1.455,5.147,0,0,0,1.161,28,8.563,5.991,12.097,93,28.44,23.823,33.558,327,326,90.7,87.4,94,89.9,86.1,92.7,79.9,75.4,84.5,78.5,73.7,82.6,65.6,60.3,71,64.1,58.6,69.1,53.7,48,59.3,52.1,46.6,57.4,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a
Oesophageal and stomach,2020,Oesophagus,Lower third,Squamous cell carcinoma,All,All,All,All,Not split by Basis of Diagnosis,Stage 1-3,Not split by Stage Detail,Not split by Stage Detail 2,Not split by Stage Detail 3,Age 00-69,Age 00-69,All England,Persons,Not split by grade,Not split by nodal status,All,Not split by Performance Status,117,48870419,0.239,0.198,0.287,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,117,91,77.778,69.43,84.36,74,63.248,54.22,71.433,28,23.932,17.108,32.413,19,16.239,10.65,23.975,10,8.547,4.709,15.021,1,0.855,0.151,4.683,45,38.462,30.146,47.51,8,6.838,3.505,12.914,0,0,0,3.179,19,16.239,10.65,23.975,15,12.821,7.926,20.079,117,117,95.1,91.1,99.1,94.9,88.9,97.7,87.6,81.5,93.6,87.2,79.6,92.1,80,72.7,87.4,79.5,71,85.7,69,60.5,77.4,68.4,59.1,76,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a
Oesophageal and stomach,2020,Oesophagus,Lower third,Squamous cell carcinoma,All,All,All,All,Not split by Basis of Diagnosis,Stage 1-3,Not split by Stage Detail,Not split by Stage Detail 2,Not split by Stage Detail 3,Age 70+,Age 70+,All England,Persons,Not split by grade,Not split by nodal status,All,Not split by Performance Status,210,7679719,2.734,2.377,3.13,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,210,80,38.095,31.797,44.821,123,58.571,51.813,65.022,11,5.238,2.95,9.135,7,3.333,1.624,6.719,51,24.286,18.982,30.514,1,0.476,0.084,2.648,63,30,24.207,36.512,1,0.476,0.084,2.648,0,0,0,1.796,9,4.286,2.271,7.943,78,37.143,30.894,43.854,210,209,88.3,83.6,92.9,87.1,81.7,91,75.6,69.4,81.7,73.7,67.2,79.1,57.6,50.6,64.6,55.5,48.5,61.9,45.1,38,52.1,43.1,36.3,49.6,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a
Oesophageal and stomach,2020,Oesophagus,Lower third,Squamous cell carcinoma,All,All,All,All,Not split by Basis of Diagnosis,Stage 4,Not split by Stage Detail,Not split by Stage Detail 2,Not split by Stage Detail 3,All ages,All ages,All England,Persons,Not split by grade,Not split by nodal status,All,Not split by Performance Status,205,56550138,0.363,0.315,0.416,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,205,95,46.341,39.645,53.172,82,40,33.537,46.831,4,1.951,0.761,4.909,46,22.439,17.265,28.627,35,17.073,12.54,22.818,0,0,0,1.839,45,21.951,16.83,28.105,2,0.976,0.268,3.487,0,0,0,1.839,2,0.976,0.268,3.487,75,36.585,30.295,43.369,205,205,71.7,65.5,77.9,71.2,64.5,76.9,48.9,42,55.8,48.3,41.3,54.9,34.8,28.2,41.4,34.1,27.7,40.6,25.5,19.5,31.6,24.9,19.2,31,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a
Oesophageal and stomach,2020,Oesophagus,Lower third,Squamous cell carcinoma,All,All,All,All,Not split by Basis of Diagnosis,Stage 4,Not split by Stage Detail,Not split by Stage Detail 2,Not split by Stage Detail 3,Age 00-69,Age 00-69,All England,Persons,Not split by grade,Not split by nodal status,All,Not split by Performance Status,94,48870419,0.192,0.155,0.235,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,94,55,58.511,48.408,67.945,46,48.936,39.073,58.883,4,4.255,1.667,10.436,27,28.723,20.554,38.563,20,21.277,14.217,30.592,0,0,0,3.926,24,25.532,17.799,35.186,2,2.128,0.585,7.429,0,0,0,3.926,2,2.128,0.585,7.429,19,20.213,13.339,29.425,94,94,75.7,67,84.4,75.5,65.5,83,51.3,41.2,61.3,51.1,40.6,60.6,36.4,26.7,46,36.2,26.6,45.8,25.7,17,34.5,25.5,17.2,34.6,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a
Oesophageal and stomach,2020,Oesophagus,Lower third,Squamous cell carcinoma,All,All,All,All,Not split by Basis of Diagnosis,Stage 4,Not split by Stage Detail,Not split by Stage Detail 2,Not split by Stage Detail 3,Age 70+,Age 70+,All England,Persons,Not split by grade,Not split by nodal status,All,Not split by Performance Status,111,7679719,1.445,1.189,1.741,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,111,40,36.036,27.71,45.296,36,32.432,24.438,41.602,0,0,0,3.345,19,17.117,11.241,25.193,15,13.514,8.363,21.105,0,0,0,3.345,21,18.919,12.72,27.197,0,0,0,3.345,0,0,0,3.345,0,0,0,3.345,56,50.45,41.291,59.58,111,111,68.3,59.6,77.1,67.6,58,75.4,46.9,37.5,56.3,45.9,36.5,54.9,33.4,24.5,42.3,32.4,23.9,41.2,25.3,17.1,33.5,24.3,16.8,32.6,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a
Oesophageal and stomach,2020,Oesophagus,Lower third,Squamous cell carcinoma,All,All,All,All,Not split by Basis of Diagnosis,Stage unknown,Not split by Stage Detail,Not split by Stage Detail 2,Not split by Stage Detail 3,All ages,All ages,All England,Persons,Not split by grade,Not split by nodal status,All,Not split by Performance Status,75,56550138,0.133,0.104,0.166,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,75,16,21.333,13.58,31.88,26,34.667,24.882,45.945,1,1.333,0.236,7.173,4,5.333,2.093,12.926,15,20,12.512,30.411,0,0,0,4.872,11,14.667,8.392,24.385,1,1.333,0.236,7.173,0,0,0,4.872,0,0,0,4.872,44,58.667,47.367,69.122,75,74,76.6,66.7,86.4,75.7,64.2,83.9,56.8,45.3,68.3,55.4,43.4,65.9,44.6,33,56.3,43.2,31.8,54.1,36.7,25.4,47.9,35.1,24.5,45.9,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a
Oesophageal and stomach,2020,Oesophagus,Lower third,Other,All,All,All,All,Not split by Basis of Diagnosis,All stages,Not split by Stage Detail,Not split by Stage Detail 2,Not split by Stage Detail 3,All ages,All ages,All England,Persons,Not split by grade,Not split by nodal status,All,Not split by Performance Status,363,56550138,0.642,0.578,0.711,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,363,97,26.722,22.431,31.5,59,16.253,12.815,20.399,12,3.306,1.901,5.689,52,14.325,11.094,18.303,20,5.51,3.595,8.356,1,0.275,0.049,1.544,34,9.366,6.78,12.804,6,1.653,0.76,3.559,0,0,0,1.047,5,1.377,0.59,3.183,245,67.493,62.513,72.107,363,356,54.9,49.7,60.1,54.2,48.9,59.2,38.5,33.4,43.6,37.6,32.6,42.7,30.7,25.8,35.6,29.8,25.1,34.6,25,20.4,29.6,24.2,19.8,28.7,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a
Oesophageal and stomach,2020,Oesophagus,Lower third,Other,All,All,All,All,Not split by Basis of Diagnosis,All stages,Not split by Stage Detail,Not split by Stage Detail 2,Not split by Stage Detail 3,Age 00-69,Age 00-69,All England,Persons,Not split by grade,Not split by nodal status,All,Not split by Performance Status,111,48870419,0.227,0.187,0.274,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,111,55,49.55,40.42,58.709,27,24.324,17.289,33.077,8,7.207,3.697,13.58,29,26.126,18.85,34.999,5,4.505,1.939,10.113,0,0,0,3.345,18,16.216,10.511,24.182,4,3.604,1.41,8.901,0,0,0,3.345,4,3.604,1.41,8.901,51,45.946,36.966,55.197,111,107,67.4,58.6,76.3,67.3,57.5,75.3,51.6,42.2,61.1,51.4,41.6,60.4,46.1,36.7,55.5,45.8,36.2,54.9,42.4,33.1,51.8,42.1,32.6,51.2,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a
Oesophageal and stomach,2020,Oesophagus,Lower third,Other,All,All,All,All,Not split by Basis of Diagnosis,All stages,Not split by Stage Detail,Not split by Stage Detail 2,Not split by Stage Detail 3,Age 70+,Age 70+,All England,Persons,Not split by grade,Not split by nodal status,All,Not split by Performance Status,252,7679719,3.281,2.889,3.713,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,252,42,16.667,12.573,21.761,32,12.698,9.14,17.377,4,1.587,0.619,4.009,23,9.127,6.159,13.323,15,5.952,3.64,9.587,1,0.397,0.07,2.213,16,6.349,3.946,10.064,2,0.794,0.218,2.847,0,0,0,1.501,1,0.397,0.07,2.213,194,76.984,71.405,81.753,252,249,49.5,43.2,55.8,48.6,42.3,54.6,32.8,26.9,38.8,31.7,26,37.5,24.1,18.6,29.5,22.9,17.9,28.3,17.5,12.6,22.4,16.5,12.2,21.3,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a
Oesophageal and stomach,2020,Oesophagus,Oesophagogastric junction,All,All,All,All,All,Not split by Basis of Diagnosis,All stages,Not split by Stage Detail,Not split by Stage Detail 2,Not split by Stage Detail 3,All ages,All ages,All England,Persons,Not split by grade,Not split by nodal status,All,Not split by Performance Status,1005,56550138,1.777,1.669,1.891,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,1005,479,47.662,44.589,50.753,191,19.005,16.699,21.547,237,23.582,21.061,26.304,204,20.299,17.927,22.896,100,9.95,8.249,11.956,36,3.582,2.599,4.919,74,7.363,5.906,9.145,184,18.308,16.04,20.819,0,0,0,0.381,17,1.692,1.059,2.692,390,38.806,35.841,41.856,1005,994,78.5,75.9,81.1,77.8,75.1,80.3,65.1,62,68.1,64.1,61,67,55.3,52.2,58.5,54.1,50.9,57.1,48.1,44.9,51.4,46.8,43.7,49.9,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a,.a
