"age_group"	"sex"	"level"	"variable"	"Model"	"#Obs"	"#Param"	"DF"	"SSE"	"MSE"	"Auto Corr"	"Segment"	"Joinpoint"	"Joinpoint 95% LCL"	"Joinpoint 95% UCL"	"Intercept Estimate"	"Intercept Std Error"	"Intercept Test Statistic"	"Intercept P-Value"	"Slope Estimate"	"Slope Std Error"	"Slope Test Statistic"	"Slope P-Value"	"SlopeChg Estimate"	"SlopeChg Std Error"	"SlopeChg Test Statistic"	"SlopeChg P-Value"	"Covar-Int vs Int"	"Covar-Int vs Slope"	"Covar-Slope vs Slope"	"Corr-Int vs Int"	"Corr-Int vs Slope"	"Corr-Slope vs Slope"
20-49	Men	Current	"smoking_status"	4	25	10	15	0.001287	0.000086	Uncorrelated	3	2013	2011	2014	86.545847	21.651357	3.997248	0.002096	-0.043617	0.010748	-4.058258	0.001889	-0.043565	0.015200	-2.866202	0.015345	0.000003	0.000000	117.602912	1.000000	0.000000	1.000000
20-49	Men	Current	"smoking_status"	4	25	10	15	0.001287	0.000086	Uncorrelated	4	2016	2014	2017	24.263785	10.844488	2.237430	0.046912	-0.012723	0.005374	-2.367619	0.037308	0.030894	0.012016	2.570985	0.026005	467.386079	0.000000	0.000029	1.000000	0.000000	1.000000
50+	Men	Current	"smoking_status"	2	25	6	19	0.007891	0.000415	Uncorrelated	0	NA	NA	NA	51.265295	6.180971	8.294052	0.000000	-0.026464	0.003093	-8.556757	0.000000	NA	NA	NA	NA	38.204400	0.000000	0.000007	1.000000	0.000000	1.000000
50+	Men	Current	"smoking_status"	2	25	6	19	0.007891	0.000415	Uncorrelated	1	2003	2000	2007	19.762505	5.195955	3.803441	0.001420	-0.010737	0.002588	-4.149196	0.000671	0.015728	0.004033	3.900240	0.001151	0.000010	0.000000	93.349611	1.000000	0.000000	1.000000
50+	Men	Current	"smoking_status"	2	25	6	19	0.007891	0.000415	Uncorrelated	2	2013	2010	2015	74.324647	9.661760	7.692661	0.000001	-0.037841	0.004791	-7.897868	0.000000	-0.027105	0.005445	-4.977537	0.000115	26.997943	0.000000	0.000023	1.000000	0.000000	1.000000
20-49	Women	Current	"smoking_status"	2	25	6	19	0.003797	0.000200	Uncorrelated	0	NA	NA	NA	8.436046	5.522352	1.527618	0.144999	-0.004798	0.002764	-1.736045	0.100643	NA	NA	NA	NA	30.496371	0.000000	0.000005	1.000000	0.000000	1.000000
20-49	Women	Current	"smoking_status"	2	25	6	19	0.003797	0.000200	Uncorrelated	1	2002	2001	2004	77.176333	4.528165	17.043624	0.000000	-0.039134	0.002257	-17.340952	0.000000	-0.034336	0.003568	-9.622646	0.000000	0.000008	0.000000	20.688627	1.000000	0.000000	1.000000
20-49	Women	Current	"smoking_status"	2	25	6	19	0.003797	0.000200	Uncorrelated	2	2011	2008	2014	43.857380	4.548475	9.642216	0.000000	-0.022566	0.002257	-9.999253	0.000000	0.016568	0.003192	5.191365	0.000074	20.504274	0.000000	0.000005	1.000000	0.000000	1.000000
50+	Women	Current	"smoking_status"	4	25	10	15	0.001498	0.000100	Uncorrelated	0	NA	NA	NA	33.878216	7.042256	4.810705	0.000544	-0.017777	0.003527	-5.039742	0.000378	NA	NA	NA	NA	49.593367	0.000000	0.000031	1.000000	0.000000	1.000000
50+	Women	Current	"smoking_status"	4	25	10	15	0.001498	0.000100	Uncorrelated	1	1999	1997	2006	56.286319	2.040562	27.583729	0.000000	-0.028986	0.001018	-28.466993	0.000000	-0.011210	0.003671	-3.053295	0.010983	0.000012	0.000000	504.916312	1.000000	0.000000	1.000000
50+	Women	Current	"smoking_status"	4	25	10	15	0.001498	0.000100	Uncorrelated	2	2009	2004	2011	18.588478	11.215652	1.657369	0.125660	-0.010222	0.005577	-1.832810	0.094012	0.018764	0.005669	3.309816	0.006956	4.163895	0.000000	0.000124	1.000000	0.000000	1.000000
50+	Women	Current	"smoking_status"	4	25	10	15	0.001498	0.000100	Uncorrelated	3	2013	2011	2014	99.190923	22.470343	4.414304	0.001038	-0.050263	0.011154	-4.506137	0.000892	-0.040041	0.012471	-3.210754	0.008294	0.000001	0.000000	126.668094	1.000000	0.000000	1.000000
50+	Women	Current	"smoking_status"	4	25	10	15	0.001498	0.000100	Uncorrelated	4	2016	2015	2017	-9.014997	11.254692	-0.800999	0.440091	0.003411	0.005577	0.611559	0.553259	0.053674	0.012471	4.303909	0.001248	125.790850	0.000000	0.000031	1.000000	0.000000	1.000000
20-49	Men	Never	"smoking_status"	2	25	6	19	0.000826	0.000043	Uncorrelated	0	NA	NA	NA	-26.621719	0.871869	-30.534073	0.000000	0.012945	0.000436	29.716456	0.000000	NA	NA	NA	NA	0.760156	0.000000	0.000022	1.000000	0.000000	1.000000
20-49	Men	Never	"smoking_status"	2	25	6	19	0.000826	0.000043	Uncorrelated	1	2009	2007	2011	10.493922	9.342921	1.123195	0.276967	-0.005530	0.004646	-1.190292	0.250289	-0.018475	0.004666	-3.959185	0.001013	0.000000	0.000000	10.030669	1.000000	0.000000	1.000000
20-49	Men	Never	"smoking_status"	2	25	6	19	0.000826	0.000043	Uncorrelated	2	2013	2011	2015	-24.851791	3.167123	-7.846803	0.000000	0.012029	0.001571	7.658672	0.000001	0.017559	0.004904	3.580339	0.002305	87.290181	0.000000	0.000002	1.000000	0.000000	1.000000
50+	Men	Never	"smoking_status"	0	25	2	23	0.008436	0.000367	Uncorrelated	0	NA	NA	NA	-45.955529	1.066034	-43.108882	0.000000	0.022413	0.000531	42.195917	0.000000	NA	NA	NA	NA	1.136428	-0.000566	0.000000	1.000000	-0.999994	1.000000
20-49	Women	Never	"smoking_status"	3	25	8	17	0.000599	0.000035	Uncorrelated	0	NA	NA	NA	-0.768759	8.544853	-0.089968	0.929587	0.000050	0.004281	0.011673	0.990852	NA	NA	NA	NA	73.014518	0.000000	297.497031	1.000000	0.000000	1.000000
20-49	Women	Never	"smoking_status"	3	25	8	17	0.000599	0.000035	Uncorrelated	1	1998	1997	2003	-25.023307	0.804993	-31.085139	0.000000	0.012189	0.000401	30.367805	0.000000	0.012139	0.004300	2.823274	0.013545	0.000018	0.000000	0.000073	1.000000	0.000000	1.000000
20-49	Women	Never	"smoking_status"	3	25	8	17	0.000599	0.000035	Uncorrelated	2	2013	2006	2014	2.995180	17.248102	0.173653	0.864624	-0.001729	0.008562	-0.201985	0.842834	-0.013919	0.008571	-1.623866	0.126698	0.648013	0.000000	74.632926	1.000000	0.000000	1.000000
20-49	Women	Never	"smoking_status"	3	25	8	17	0.000599	0.000035	Uncorrelated	3	2016	2015	2017	-38.830374	8.639035	-4.494758	0.000504	0.019017	0.004281	4.442295	0.000558	0.020747	0.009573	2.167316	0.047944	0.000000	0.000000	0.000018	1.000000	0.000000	1.000000
50+	Women	Never	"smoking_status"	0	25	2	23	0.001719	0.000075	Uncorrelated	0	NA	NA	NA	-12.963940	0.481183	-26.941801	0.000000	0.006164	0.000240	25.710161	0.000000	NA	NA	NA	NA	0.231537	-0.000115	0.000000	1.000000	-0.999994	1.000000
20-49	Men	Previously	"smoking_status"	4	25	10	15	0.000949	0.000063	Uncorrelated	0	NA	NA	NA	3.204972	11.363096	0.282051	0.783140	-0.002440	0.005693	-0.428538	0.676530	NA	NA	NA	NA	129.119943	0.000000	0.000013	1.000000	0.000000	1.000000
20-49	Men	Previously	"smoking_status"	4	25	10	15	0.000949	0.000063	Uncorrelated	1	1998	1997	2001	39.708257	7.202856	5.512849	0.000183	-0.020710	0.003601	-5.751811	0.000128	-0.018270	0.006736	-2.712291	0.020208	0.000032	0.000000	6.250651	1.000000	0.000000	1.000000
20-49	Men	Previously	"smoking_status"	4	25	10	15	0.000949	0.000063	Uncorrelated	2	2003	2001	2005	-2.425641	7.220858	-0.335921	0.743250	0.000326	0.003601	0.090499	0.929518	0.021035	0.005092	4.131137	0.001669	51.881129	0.000000	0.000002	1.000000	0.000000	1.000000
20-49	Men	Previously	"smoking_status"	4	25	10	15	0.000949	0.000063	Uncorrelated	3	2008	2006	2011	-41.760514	2.500130	-16.703336	0.000000	0.019915	0.001242	16.030690	0.000000	0.019589	0.003809	5.143085	0.000322	0.000013	0.000000	528.189428	1.000000	0.000000	1.000000
20-49	Men	Previously	"smoking_status"	4	25	10	15	0.000949	0.000063	Uncorrelated	4	2017	2016	2017	71.115449	22.982372	3.094348	0.010207	-0.036047	0.011386	-3.165976	0.008983	-0.055962	0.011453	-4.886070	0.000482	52.140794	0.000000	0.000130	1.000000	0.000000	1.000000
50+	Men	Previously	"smoking_status"	2	25	6	19	0.002093	0.000110	Uncorrelated	0	NA	NA	NA	16.900631	1.220143	13.851355	0.000000	-0.008814	0.000609	-14.461629	0.000000	NA	NA	NA	NA	1.488749	0.000000	0.000021	1.000000	0.000000	1.000000
50+	Men	Previously	"smoking_status"	2	25	6	19	0.002093	0.000110	Uncorrelated	1	2010	2008	2012	47.605571	9.178581	5.186594	0.000074	-0.024090	0.004561	-5.281959	0.000061	-0.015276	0.004601	-3.319932	0.004052	0.000000	0.000000	84.665488	1.000000	0.000000	1.000000
50+	Men	Previously	"smoking_status"	2	25	6	19	0.002093	0.000110	Uncorrelated	2	2015	2012	2017	1.363767	9.201385	0.148213	0.883918	-0.001141	0.004561	-0.250197	0.805434	0.022949	0.006450	3.557993	0.002420	84.246353	0.000000	0.000021	1.000000	0.000000	1.000000
20-49	Women	Previously	"smoking_status"	4	25	10	15	0.002211	0.000147	Uncorrelated	0	NA	NA	NA	17.381029	3.554904	4.889310	0.000480	-0.009599	0.001779	-5.396136	0.000218	NA	NA	NA	NA	12.637345	0.000000	0.000266	1.000000	0.000000	1.000000
20-49	Women	Previously	"smoking_status"	4	25	10	15	0.002211	0.000147	Uncorrelated	1	2003	1997	2005	-38.895959	4.372368	-8.895857	0.000002	0.018498	0.002179	8.490839	0.000004	0.028096	0.002813	9.989791	0.000001	0.000003	0.000000	1079.672094	1.000000	0.000000	1.000000
20-49	Women	Previously	"smoking_status"	4	25	10	15	0.002211	0.000147	Uncorrelated	2	2011	2002	2011	9.384182	32.809456	0.286021	0.780177	-0.005510	0.016303	-0.337993	0.741731	-0.024008	0.016448	-1.459654	0.172346	19.117601	0.000000	0.000266	1.000000	0.000000	1.000000
20-49	Women	Previously	"smoking_status"	4	25	10	15	0.002211	0.000147	Uncorrelated	3	2014	2008	2014	-43.186630	32.858364	-1.314327	0.215482	0.020592	0.016303	1.263121	0.232663	0.026103	0.023056	1.132158	0.281644	0.000005	0.000000	1082.888593	1.000000	0.000000	1.000000
20-49	Women	Previously	"smoking_status"	4	25	10	15	0.002211	0.000147	Uncorrelated	4	2017	2016	2017	125.752910	32.907273	3.821432	0.002836	-0.063165	0.016303	-3.874503	0.002588	-0.083758	0.023056	-3.632849	0.003937	1076.460379	0.000000	0.000266	1.000000	0.000000	1.000000
50+	Women	Previously	"smoking_status"	1	25	4	21	0.005474	0.000261	Uncorrelated	0	NA	NA	NA	-8.255091	1.907628	-4.327411	0.000327	0.003502	0.000953	3.675768	0.001499	NA	NA	NA	NA	3.639044	0.000000	17.203419	1.000000	0.000000	1.000000
50+	Women	Previously	"smoking_status"	1	25	4	21	0.005474	0.000261	Uncorrelated	1	2010	2006	2017	3.817063	4.147700	0.920284	0.368392	-0.002504	0.002058	-1.216258	0.238047	-0.006006	0.002268	-2.647868	0.015438	0.000001	0.000000	0.000004	1.000000	0.000000	1.000000
