"variable"	"country"	"sex"	"year"	"value"	"Model"	"Flag"	"APC"	"Joinpoints"	"Final Selected Model"
% Over Weekly Alcohol Guidelines	N. Ireland	Women	2011	13.09	13.41	NA	-5.3229*	0	0
% Over Weekly Alcohol Guidelines	N. Ireland	Women	2013	11.38	12.02	NA	-5.3229*	0	0
% Over Weekly Alcohol Guidelines	N. Ireland	Women	2015	11.29	10.77	NA	-5.3229*	0	0
% Over Weekly Alcohol Guidelines	N. Ireland	Women	2017	9.10	9.66	NA	-5.3229*	0	0
% Over Weekly Alcohol Guidelines	N. Ireland	Women	2019	9.01	8.66	NA	-5.3229*	0	0
% Over Weekly Alcohol Guidelines	Scotland	Men	2008	44.00	41.83	NA	-2.5703*	0	0
% Over Weekly Alcohol Guidelines	Scotland	Men	2009	41.00	40.76	NA	-2.5703*	0	0
% Over Weekly Alcohol Guidelines	Scotland	Men	2010	39.00	39.71	NA	-2.5703*	0	0
% Over Weekly Alcohol Guidelines	Scotland	Men	2011	38.00	38.69	NA	-2.5703*	0	0
% Over Weekly Alcohol Guidelines	Scotland	Men	2012	38.00	37.69	NA	-2.5703*	0	0
% Over Weekly Alcohol Guidelines	Scotland	Men	2013	34.00	36.72	NA	-2.5703*	0	0
% Over Weekly Alcohol Guidelines	Scotland	Men	2014	35.00	35.78	NA	-2.5703*	0	0
% Over Weekly Alcohol Guidelines	Scotland	Men	2015	36.00	34.86	NA	-2.5703*	0	0
% Over Weekly Alcohol Guidelines	Scotland	Men	2016	35.00	33.96	NA	-2.5703*	0	0
% Over Weekly Alcohol Guidelines	Scotland	Men	2017	33.00	33.09	NA	-2.5703*	0	0
% Over Weekly Alcohol Guidelines	Scotland	Men	2018	32.00	32.24	NA	-2.5703*	0	0
% Over Weekly Alcohol Guidelines	Scotland	Men	2019	32.00	31.41	NA	-2.5703*	0	0
% Over Weekly Alcohol Guidelines	Scotland	Women	2008	20.00	18.85	NA	-1.6422*	0	0
% Over Weekly Alcohol Guidelines	Scotland	Women	2009	18.00	18.54	NA	-1.6422*	0	0
% Over Weekly Alcohol Guidelines	Scotland	Women	2010	18.00	18.24	NA	-1.6422*	0	0
% Over Weekly Alcohol Guidelines	Scotland	Women	2011	18.00	17.94	NA	-1.6422*	0	0
% Over Weekly Alcohol Guidelines	Scotland	Women	2012	18.00	17.64	NA	-1.6422*	0	0
% Over Weekly Alcohol Guidelines	Scotland	Women	2013	16.00	17.35	NA	-1.6422*	0	0
% Over Weekly Alcohol Guidelines	Scotland	Women	2014	17.00	17.07	NA	-1.6422*	0	0
% Over Weekly Alcohol Guidelines	Scotland	Women	2015	17.00	16.79	NA	-1.6422*	0	0
% Over Weekly Alcohol Guidelines	Scotland	Women	2016	17.00	16.51	NA	-1.6422*	0	0
% Over Weekly Alcohol Guidelines	Scotland	Women	2017	16.00	16.24	NA	-1.6422*	0	0
% Over Weekly Alcohol Guidelines	Scotland	Women	2018	16.00	15.98	NA	-1.6422*	0	0
% Over Weekly Alcohol Guidelines	Scotland	Women	2019	16.00	15.71	NA	-1.6422*	0	0
% Over Weekly Alcohol Guidelines	Wales	Men	2016	26.83	26.17	NA	-2.3486	0	0
% Over Weekly Alcohol Guidelines	Wales	Men	2017	24.59	25.55	NA	-2.3486	0	0
% Over Weekly Alcohol Guidelines	Wales	Men	2018	24.99	24.95	NA	-2.3486	0	0
% Over Weekly Alcohol Guidelines	Wales	Men	2019	24.65	24.37	NA	-2.3486	0	0
% Over Weekly Alcohol Guidelines	Wales	Women	2016	13.57	12.63	NA	0.3497	0	0
% Over Weekly Alcohol Guidelines	Wales	Women	2017	11.61	12.67	NA	0.3497	0	0
% Over Weekly Alcohol Guidelines	Wales	Women	2018	12.20	12.72	NA	0.3497	0	0
% Over Weekly Alcohol Guidelines	Wales	Women	2019	13.51	12.76	NA	0.3497	0	0
% Parity	England and Wales	Women	2010	55.61	55.60	NA	0.1160	1	1
% Parity	England and Wales	Women	2011	55.66	55.67	NA	0.1160	1	1
% Parity	England and Wales	Women	2012	55.73	55.73	Joinpoint 1	NA	1	1
% Parity	England and Wales	Women	2013	55.70	55.66	NA	-0.1277*	1	1
% Parity	England and Wales	Women	2014	55.62	55.59	NA	-0.1277*	1	1
% Parity	England and Wales	Women	2015	55.50	55.52	NA	-0.1277*	1	1
% Parity	England and Wales	Women	2016	55.38	55.45	NA	-0.1277*	1	1
% Parity	England and Wales	Women	2017	55.35	55.38	NA	-0.1277*	1	1
% Parity	England and Wales	Women	2018	55.31	55.31	NA	-0.1277*	1	1
% Parity	England and Wales	Women	2019	55.29	55.24	NA	-0.1277*	1	1
