"Year","Geographylevel","Indicator","Categories","Sex","Percent","Mean","LowerCI","UpperCI","Unweightedbases"
"2009","Scotland","Doctor-diagnosed diabetes (excluding pregnant)","No","Female",96,NA,94.9,96.2,4243
"2009","Scotland","Doctor-diagnosed diabetes (excluding pregnant)","Yes","Male",6,NA,5.4,7,3288
"2009","Scotland","Doctor-diagnosed diabetes (excluding pregnant)","No","Male",94,NA,93,94.6,3288
"2010","Scotland","Doctor-diagnosed diabetes (excluding pregnant)","Yes","All",5,NA,4.7,5.9,7245
"2010","Scotland","Doctor-diagnosed diabetes (excluding pregnant)","No","All",95,NA,94.1,95.3,7245
"2010","Scotland","Doctor-diagnosed diabetes (excluding pregnant)","Yes","Female",4,NA,3.8,5,4130
"2010","Scotland","Doctor-diagnosed diabetes (excluding pregnant)","No","Female",96,NA,95,96.2,4130
"2010","Scotland","Doctor-diagnosed diabetes (excluding pregnant)","Yes","Male",6,NA,5.4,7.2,3115
"2010","Scotland","Doctor-diagnosed diabetes (excluding pregnant)","No","Male",94,NA,92.8,94.6,3115
"2011","Scotland","Doctor-diagnosed diabetes (excluding pregnant)","Yes","All",5,NA,4.9,6,7542
"2011","Scotland","Doctor-diagnosed diabetes (excluding pregnant)","No","All",95,NA,94,95.1,7542
"2011","Scotland","Doctor-diagnosed diabetes (excluding pregnant)","Yes","Female",5,NA,4.3,5.6,4262
"2011","Scotland","Doctor-diagnosed diabetes (excluding pregnant)","No","Female",95,NA,94.4,95.7,4262
"2011","Scotland","Doctor-diagnosed diabetes (excluding pregnant)","Yes","Male",6,NA,5.2,7,3280
"2011","Scotland","Doctor-diagnosed diabetes (excluding pregnant)","No","Male",94,NA,93,94.8,3280
"2012","Scotland","Doctor-diagnosed diabetes (excluding pregnant)","Yes","All",6,NA,4.8,6.2,4815
"2012","Scotland","Doctor-diagnosed diabetes (excluding pregnant)","No","All",94,NA,93.8,95.2,4815
"2012","Scotland","Doctor-diagnosed diabetes (excluding pregnant)","Yes","Female",5,NA,4,5.8,2688
"2012","Scotland","Doctor-diagnosed diabetes (excluding pregnant)","No","Female",95,NA,94.2,96,2688
"2012","Scotland","Doctor-diagnosed diabetes (excluding pregnant)","Yes","Male",6,NA,5,7.3,2127
"2012","Scotland","Doctor-diagnosed diabetes (excluding pregnant)","No","Male",94,NA,92.7,95,2127
"2013","Scotland","Doctor-diagnosed diabetes (excluding pregnant)","Yes","All",6,NA,4.8,6.3,4893
"2013","Scotland","Doctor-diagnosed diabetes (excluding pregnant)","No","All",94,NA,93.7,95.2,4893
"2013","Scotland","Doctor-diagnosed diabetes (excluding pregnant)","Yes","Female",5,NA,4.1,6,2754
"2013","Scotland","Doctor-diagnosed diabetes (excluding pregnant)","No","Female",95,NA,94,95.9,2754
"2013","Scotland","Doctor-diagnosed diabetes (excluding pregnant)","Yes","Male",6,NA,5,7.2,2139
"2013","Scotland","Doctor-diagnosed diabetes (excluding pregnant)","No","Male",94,NA,92.8,95,2139
"2014","Scotland","Doctor-diagnosed diabetes (excluding pregnant)","Yes","All",6,NA,5.7,7.2,4658
"2014","Scotland","Doctor-diagnosed diabetes (excluding pregnant)","No","All",94,NA,92.8,94.3,4658
"2014","Scotland","Doctor-diagnosed diabetes (excluding pregnant)","Yes","Female",5,NA,4.3,6.1,2590
"2014","Scotland","Doctor-diagnosed diabetes (excluding pregnant)","No","Female",95,NA,93.9,95.7,2590
"2014","Scotland","Doctor-diagnosed diabetes (excluding pregnant)","Yes","Male",8,NA,6.6,9.2,2068
"2014","Scotland","Doctor-diagnosed diabetes (excluding pregnant)","No","Male",92,NA,90.8,93.4,2068
"2015","Scotland","Doctor-diagnosed diabetes (excluding pregnant)","Yes","All",6,NA,5.2,6.6,4995
"2015","Scotland","Doctor-diagnosed diabetes (excluding pregnant)","No","All",94,NA,93.4,94.8,4995
"2015","Scotland","Doctor-diagnosed diabetes (excluding pregnant)","Yes","Female",5,NA,4.4,6.2,2747
"2015","Scotland","Doctor-diagnosed diabetes (excluding pregnant)","No","Female",95,NA,93.8,95.6,2747
"2015","Scotland","Doctor-diagnosed diabetes (excluding pregnant)","Yes","Male",7,NA,5.5,7.6,2248
"2015","Scotland","Doctor-diagnosed diabetes (excluding pregnant)","No","Male",93,NA,92.4,94.5,2248
"2016","Scotland","Doctor-diagnosed diabetes (excluding pregnant)","Yes","All",5,NA,4.7,6.2,4322
"2016","Scotland","Doctor-diagnosed diabetes (excluding pregnant)","No","All",95,NA,93.8,95.3,4322
"2016","Scotland","Doctor-diagnosed diabetes (excluding pregnant)","Yes","Female",5,NA,3.9,6,2428
"2016","Scotland","Doctor-diagnosed diabetes (excluding pregnant)","No","Female",95,NA,94,96.1,2428
"2016","Scotland","Doctor-diagnosed diabetes (excluding pregnant)","Yes","Male",6,NA,4.8,7.1,1894
"2016","Scotland","Doctor-diagnosed diabetes (excluding pregnant)","No","Male",94,NA,92.9,95.2,1894
"2017","Scotland","Doctor-diagnosed diabetes (excluding pregnant)","Yes","All",6,NA,5.6,7.3,3695
"2017","Scotland","Doctor-diagnosed diabetes (excluding pregnant)","No","All",94,NA,92.7,94.4,3695
"2017","Scotland","Doctor-diagnosed diabetes (excluding pregnant)","Yes","Female",6,NA,4.6,6.5,2097
"2017","Scotland","Doctor-diagnosed diabetes (excluding pregnant)","No","Female",94,NA,93.5,95.4,2097
"2017","Scotland","Doctor-diagnosed diabetes (excluding pregnant)","Yes","Male",7,NA,6,8.8,1598
"2017","Scotland","Doctor-diagnosed diabetes (excluding pregnant)","No","Male",93,NA,91.2,94,1598
"2018","Scotland","Doctor-diagnosed diabetes (excluding pregnant)","Yes","All",7,NA,6.2,7.8,4810
"2018","Scotland","Doctor-diagnosed diabetes (excluding pregnant)","No","All",93,NA,92.2,93.8,4810
"2018","Scotland","Doctor-diagnosed diabetes (excluding pregnant)","Yes","Female",6,NA,5.5,7.5,2736
"2018","Scotland","Doctor-diagnosed diabetes (excluding pregnant)","No","Female",94,NA,92.5,94.5,2736
"2018","Scotland","Doctor-diagnosed diabetes (excluding pregnant)","Yes","Male",8,NA,6.2,8.8,2074
"2018","Scotland","Doctor-diagnosed diabetes (excluding pregnant)","No","Male",92,NA,91.2,93.8,2074
"2019","Scotland","Doctor-diagnosed diabetes (excluding pregnant)","Yes","All",7,NA,6,7.5,4902
"2019","Scotland","Doctor-diagnosed diabetes (excluding pregnant)","No","All",93,NA,92.5,94,4902
"2019","Scotland","Doctor-diagnosed diabetes (excluding pregnant)","Yes","Female",5,NA,4.2,6,2744
"2019","Scotland","Doctor-diagnosed diabetes (excluding pregnant)","No","Female",95,NA,94,95.8,2744
"2019","Scotland","Doctor-diagnosed diabetes (excluding pregnant)","Yes","Male",9,NA,7.2,9.8,2158
"2019","Scotland","Doctor-diagnosed diabetes (excluding pregnant)","No","Male",91,NA,90.2,92.8,2158
"2021","Scotland","Doctor-diagnosed diabetes (excluding pregnant)","Yes","All",6,NA,5,6.4,4557
"2021","Scotland","Doctor-diagnosed diabetes (excluding pregnant)","No","All",94,NA,93.6,95,4557
"2021","Scotland","Doctor-diagnosed diabetes (excluding pregnant)","Yes","Female",5,NA,4.1,6,2621
"2021","Scotland","Doctor-diagnosed diabetes (excluding pregnant)","No","Female",95,NA,94,95.9,2621
"2021","Scotland","Doctor-diagnosed diabetes (excluding pregnant)","Yes","Male",6,NA,5.1,7.5,1936
"2021","Scotland","Doctor-diagnosed diabetes (excluding pregnant)","No","Male",94,NA,92.5,94.9,1936
"2022","Scotland","Doctor-diagnosed diabetes (excluding pregnant)","Yes","All",7,NA,6.3,8.3,4394
"2022","Scotland","Doctor-diagnosed diabetes (excluding pregnant)","No","All",93,NA,91.7,93.7,4394
"2022","Scotland","Doctor-diagnosed diabetes (excluding pregnant)","Yes","Female",6,NA,4.7,7.3,2356
"2022","Scotland","Doctor-diagnosed diabetes (excluding pregnant)","No","Female",94,NA,92.7,95.3,2356
"2022","Scotland","Doctor-diagnosed diabetes (excluding pregnant)","Yes","Male",8,NA,7.1,9.8,1997
"2022","Scotland","Doctor-diagnosed diabetes (excluding pregnant)","No","Male",92,NA,90.2,92.9,1997
"2012","Scotland","Summary activity levels","Meets recommendations","All",62,NA,60.6,64.2,4807
"2012","Scotland","Summary activity levels","Some activity","All",12,NA,10.5,12.9,4807
"2012","Scotland","Summary activity levels","Low activity","All",5,NA,3.9,5.3,4807
"2012","Scotland","Summary activity levels","Very low activity","All",21,NA,19.8,22.8,4807
"2012","Scotland","Summary activity levels","Meets recommendations","Female",58,NA,55.5,60,2685
"2012","Scotland","Summary activity levels","Some activity","Female",14,NA,12,15.1,2685
"2012","Scotland","Summary activity levels","Low activity","Female",6,NA,4.5,6.6,2685
"2012","Scotland","Summary activity levels","Very low activity","Female",23,NA,21.2,25,2685
"2012","Scotland","Summary activity levels","Meets recommendations","Male",67,NA,65,69.8,2122
"2012","Scotland","Summary activity levels","Some activity","Male",10,NA,8,11.4,2122
"2012","Scotland","Summary activity levels","Low activity","Male",4,NA,2.6,4.6,2122
"2012","Scotland","Summary activity levels","Very low activity","Male",19,NA,17.3,21.4,2122
"2013","Scotland","Summary activity levels","Meets recommendations","All",64,NA,62.6,66.2,4876
"2013","Scotland","Summary activity levels","Some activity","All",11,NA,10,11.9,4876
"2013","Scotland","Summary activity levels","Low activity","All",4,NA,3.3,4.6,4876
"2013","Scotland","Summary activity levels","Very low activity","All",21,NA,19.2,22.2,4876
"2013","Scotland","Summary activity levels","Meets recommendations","Female",58,NA,56.2,60.8,2747
"2013","Scotland","Summary activity levels","Some activity","Female",14,NA,12.3,15.2,2747
"2013","Scotland","Summary activity levels","Low activity","Female",5,NA,3.6,5.4,2747
"2013","Scotland","Summary activity levels","Very low activity","Female",23,NA,21.3,25.2,2747
"2013","Scotland","Summary activity levels","Meets recommendations","Male",71,NA,68.4,73.3,2129
"2013","Scotland","Summary activity levels","Some activity","Male",8,NA,6.6,9.2,2129
"2013","Scotland","Summary activity levels","Low activity","Male",3,NA,2.4,4.1,2129
"2013","Scotland","Summary activity levels","Very low activity","Male",18,NA,16,19.9,2129
"2014","Scotland","Summary activity levels","Meets recommendations","All",63,NA,61.4,65.2,4635
"2014","Scotland","Summary activity levels","Some activity","All",11,NA,9.8,12.1,4635
"2014","Scotland","Summary activity levels","Low activity","All",4,NA,3.6,4.9,4635
"2014","Scotland","Summary activity levels","Very low activity","All",22,NA,20,23.1,4635
"2014","Scotland","Summary activity levels","Meets recommendations","Female",59,NA,56.8,61.5,2581
"2014","Scotland","Summary activity levels","Some activity","Female",12,NA,10.5,13.4,2581
"2014","Scotland","Summary activity levels","Low activity","Female",5,NA,3.8,5.6,2581
"2014","Scotland","Summary activity levels","Very low activity","Female",24,NA,22.2,26.3,2581
"2014","Scotland","Summary activity levels","Meets recommendations","Male",68,NA,65.3,70.1,2054
"2014","Scotland","Summary activity levels","Some activity","Male",10,NA,8.1,11.5,2054
"2014","Scotland","Summary activity levels","Low activity","Male",4,NA,2.8,4.7,2054
"2014","Scotland","Summary activity levels","Very low activity","Male",19,NA,16.8,20.6,2054
"2015","Scotland","Summary activity levels","Meets recommendations","All",63,NA,60.9,64.8,4962
"2015","Scotland","Summary activity levels","Some activity","All",12,NA,10.5,12.7,4962
"2015","Scotland","Summary activity levels","Low activity","All",5,NA,3.8,5.2,4962
"2015","Scotland","Summary activity levels","Very low activity","All",21,NA,19.4,22.5,4962
"2015","Scotland","Summary activity levels","Meets recommendations","Female",59,NA,56.3,61,2733
"2015","Scotland","Summary activity levels","Some activity","Female",14,NA,12.4,15.4,2733
"2015","Scotland","Summary activity levels","Low activity","Female",5,NA,3.8,5.7,2733
"2015","Scotland","Summary activity levels","Very low activity","Female",23,NA,20.8,24.6,2733
"2015","Scotland","Summary activity levels","Meets recommendations","Male",67,NA,64.9,70.1,2229
"2015","Scotland","Summary activity levels","Some activity","Male",9,NA,7.7,10.6,2229
"2015","Scotland","Summary activity levels","Low activity","Male",4,NA,3.4,5.2,2229
"2015","Scotland","Summary activity levels","Very low activity","Male",19,NA,17,21.2,2229
"2016","Scotland","Summary activity levels","Meets recommendations","All",64,NA,62,66,4275
"2016","Scotland","Summary activity levels","Some activity","All",11,NA,9.7,12.1,4275
"2016","Scotland","Summary activity levels","Low activity","All",5,NA,3.9,5.5,4275
"2016","Scotland","Summary activity levels","Very low activity","All",20,NA,18.8,22.1,4275
"2016","Scotland","Summary activity levels","Meets recommendations","Female",59,NA,57,61.8,2401
"2016","Scotland","Summary activity levels","Some activity","Female",12,NA,10.5,13.6,2401
"2016","Scotland","Summary activity levels","Low activity","Female",6,NA,4.7,7.1,2401
"2016","Scotland","Summary activity levels","Very low activity","Female",23,NA,20.6,24.7,2401
"2016","Scotland","Summary activity levels","Meets recommendations","Male",69,NA,66.4,71.6,1874
"2016","Scotland","Summary activity levels","Some activity","Male",10,NA,7.8,11.4,1874
"2016","Scotland","Summary activity levels","Low activity","Male",3,NA,2.4,4.4,1874
"2016","Scotland","Summary activity levels","Very low activity","Male",18,NA,15.9,20.1,1874
"2017","Scotland","Summary activity levels","Meets recommendations","All",65,NA,63.1,67.2,3673
"2017","Scotland","Summary activity levels","Some activity","All",11,NA,9.4,11.7,3673
"2017","Scotland","Summary activity levels","Low activity","All",4,NA,3.4,4.8,3673
"2017","Scotland","Summary activity levels","Very low activity","All",20,NA,18.5,21.9,3673
"2017","Scotland","Summary activity levels","Meets recommendations","Female",60,NA,57.4,62.2,2083
"2017","Scotland","Summary activity levels","Some activity","Female",12,NA,10.6,13.7,2083
"2017","Scotland","Summary activity levels","Low activity","Female",5,NA,3.8,5.9,2083
"2017","Scotland","Summary activity levels","Very low activity","Female",23,NA,21.1,25.3,2083
"2017","Scotland","Summary activity levels","Meets recommendations","Male",71,NA,68.2,73.6,1590
"2017","Scotland","Summary activity levels","Some activity","Male",9,NA,7.3,10.5,1590
"2017","Scotland","Summary activity levels","Low activity","Male",3,NA,2.4,4.3,1590
"2017","Scotland","Summary activity levels","Very low activity","Male",17,NA,14.8,19,1590
"2018","Scotland","Summary activity levels","Meets recommendations","All",66,NA,63.9,67.6,4786
"2018","Scotland","Summary activity levels","Some activity","All",10,NA,9,11.1,4786
"2018","Scotland","Summary activity levels","Low activity","All",4,NA,3.1,4.3,4786
"2018","Scotland","Summary activity levels","Very low activity","All",21,NA,19,22.1,4786
"2018","Scotland","Summary activity levels","Meets recommendations","Female",62,NA,59.5,64,2726
"2018","Scotland","Summary activity levels","Some activity","Female",12,NA,10.3,13.1,2726
"2018","Scotland","Summary activity levels","Low activity","Female",4,NA,3.3,5.1,2726
"2018","Scotland","Summary activity levels","Very low activity","Female",22,NA,20.4,24.3,2726
"2018","Scotland","Summary activity levels","Meets recommendations","Male",70,NA,67.5,72.6,2060
"2018","Scotland","Summary activity levels","Some activity","Male",8,NA,6.8,9.6,2060
"2018","Scotland","Summary activity levels","Low activity","Male",3,NA,2.3,4,2060
"2018","Scotland","Summary activity levels","Very low activity","Male",19,NA,16.6,20.6,2060
"2019","Scotland","Summary activity levels","Meets recommendations","All",66,NA,63.8,67.3,4866
"2019","Scotland","Summary activity levels","Some activity","All",11,NA,9.6,11.6,4866
"2019","Scotland","Summary activity levels","Low activity","All",3,NA,2.8,4,4866
"2019","Scotland","Summary activity levels","Very low activity","All",20,NA,19,21.9,4866
"2019","Scotland","Summary activity levels","Meets recommendations","Female",61,NA,58.4,62.8,2724
"2019","Scotland","Summary activity levels","Some activity","Female",12,NA,10.8,13.9,2724
"2019","Scotland","Summary activity levels","Low activity","Female",4,NA,3.2,4.9,2724
"2019","Scotland","Summary activity levels","Very low activity","Female",23,NA,21,25,2724
"2019","Scotland","Summary activity levels","Meets recommendations","Male",71,NA,68.4,73.3,2142
"2019","Scotland","Summary activity levels","Some activity","Male",9,NA,7.3,10.1,2142
"2019","Scotland","Summary activity levels","Low activity","Male",3,NA,1.8,3.5,2142
"2019","Scotland","Summary activity levels","Very low activity","Male",18,NA,15.9,19.6,2142
"2021","Scotland","Summary activity levels","Meets recommendations","All",69,NA,67.1,70.9,4541
"2021","Scotland","Summary activity levels","Some activity","All",10,NA,9,11.1,4541
"2021","Scotland","Summary activity levels","Low activity","All",4,NA,3.7,5.3,4541
"2021","Scotland","Summary activity levels","Very low activity","All",16,NA,15,17.8,4541
"2021","Scotland","Summary activity levels","Meets recommendations","Female",65,NA,63.4,67.5,2607
"2021","Scotland","Summary activity levels","Some activity","Female",12,NA,10.4,13.4,2607
"2021","Scotland","Summary activity levels","Low activity","Female",5,NA,3.8,5.9,2607
"2021","Scotland","Summary activity levels","Very low activity","Female",18,NA,16,19.5,2607
"2021","Scotland","Summary activity levels","Meets recommendations","Male",73,NA,70.1,75.6,1934
"2021","Scotland","Summary activity levels","Some activity","Male",8,NA,6.5,9.5,1934
"2021","Scotland","Summary activity levels","Low activity","Male",4,NA,2.9,5.3,1934
"2021","Scotland","Summary activity levels","Very low activity","Male",15,NA,13,17,1934
"2022","Scotland","Summary activity levels","Meets recommendations","All",65,NA,62.8,66.8,4377
"2022","Scotland","Summary activity levels","Some activity","All",9,NA,8.3,10.5,4377
"2022","Scotland","Summary activity levels","Low activity","All",4,NA,3.3,4.6,4377
"2022","Scotland","Summary activity levels","Very low activity","All",22,NA,20.2,23.5,4377
"2022","Scotland","Summary activity levels","Meets recommendations","Female",60,NA,57.1,62,2348
"2022","Scotland","Summary activity levels","Some activity","Female",11,NA,9.6,12.6,2348
"2022","Scotland","Summary activity levels","Low activity","Female",5,NA,3.6,5.5,2348
"2022","Scotland","Summary activity levels","Very low activity","Female",25,NA,22.6,26.9,2348
"2022","Scotland","Summary activity levels","Meets recommendations","Male",70,NA,67.9,73,1988
"2022","Scotland","Summary activity levels","Some activity","Male",7,NA,6,8.8,1988
"2022","Scotland","Summary activity levels","Low activity","Male",3,NA,2.3,4.2,1988
"2022","Scotland","Summary activity levels","Very low activity","Male",19,NA,16.8,20.9,1988
"2014","Scotland","E-cigarette or vaping device","Currently using","All",5,NA,4.2,5.9,4637
"2014","Scotland","E-cigarette or vaping device","Ever previously used","All",10,NA,8.7,11,4637
"2014","Scotland","E-cigarette or vaping device","Never used","All",85,NA,83.7,86.5,4637
"2014","Scotland","E-cigarette or vaping device","Currently using","Female",5,NA,4.3,6.3,2582
"2014","Scotland","E-cigarette or vaping device","Ever previously used","Female",9,NA,8,10.7,2582
"2014","Scotland","E-cigarette or vaping device","Never used","Female",85,NA,83.7,86.9,2582
"2014","Scotland","E-cigarette or vaping device","Currently using","Male",5,NA,3.5,6,2055
"2014","Scotland","E-cigarette or vaping device","Ever previously used","Male",10,NA,8.6,12.1,2055
"2014","Scotland","E-cigarette or vaping device","Never used","Male",85,NA,82.8,86.9,2055
"2015","Scotland","E-cigarette or vaping device","Currently using","All",7,NA,5.6,7.5,4970
"2015","Scotland","E-cigarette or vaping device","Ever previously used","All",11,NA,9.6,12.2,4970
"2015","Scotland","E-cigarette or vaping device","Never used","All",83,NA,81,84,4970
"2015","Scotland","E-cigarette or vaping device","Currently using","Female",7,NA,5.6,7.7,2740
"2015","Scotland","E-cigarette or vaping device","Ever previously used","Female",10,NA,8.5,11.4,2740
"2015","Scotland","E-cigarette or vaping device","Never used","Female",83,NA,81.8,85.1,2740
"2015","Scotland","E-cigarette or vaping device","Currently using","Male",6,NA,5.2,7.8,2230
"2015","Scotland","E-cigarette or vaping device","Ever previously used","Male",12,NA,10,13.9,2230
"2015","Scotland","E-cigarette or vaping device","Never used","Male",82,NA,79.3,83.8,2230
"2016","Scotland","E-cigarette or vaping device","Currently using","All",7,NA,6,8.1,4297
"2016","Scotland","E-cigarette or vaping device","Ever previously used","All",12,NA,10.4,13.3,4297
"2016","Scotland","E-cigarette or vaping device","Never used","All",81,NA,79.4,82.7,4297
"2016","Scotland","E-cigarette or vaping device","Currently using","Female",7,NA,5.7,8.2,2413
"2016","Scotland","E-cigarette or vaping device","Ever previously used","Female",10,NA,8.9,12,2413
"2016","Scotland","E-cigarette or vaping device","Never used","Female",83,NA,80.6,84.5,2413
"2016","Scotland","E-cigarette or vaping device","Currently using","Male",7,NA,5.7,8.5,1884
"2016","Scotland","E-cigarette or vaping device","Ever previously used","Male",13,NA,11.2,15.5,1884
"2016","Scotland","E-cigarette or vaping device","Never used","Male",79,NA,77.1,81.9,1884
"2017","Scotland","E-cigarette or vaping device","Currently using","All",7,NA,6.2,8.3,3675
"2017","Scotland","E-cigarette or vaping device","Ever previously used","All",11,NA,9.9,12.7,3675
"2017","Scotland","E-cigarette or vaping device","Never used","All",81,NA,79.7,83.1,3675
"2017","Scotland","E-cigarette or vaping device","Currently using","Female",7,NA,5.9,8.4,2086
"2017","Scotland","E-cigarette or vaping device","Ever previously used","Female",10,NA,8.3,11.5,2086
"2017","Scotland","E-cigarette or vaping device","Never used","Female",83,NA,80.9,85,2086
"2017","Scotland","E-cigarette or vaping device","Currently using","Male",7,NA,5.9,8.9,1589
"2017","Scotland","E-cigarette or vaping device","Ever previously used","Male",13,NA,10.9,14.8,1589
"2017","Scotland","E-cigarette or vaping device","Never used","Male",80,NA,77.3,82.1,1589
"2018","Scotland","E-cigarette or vaping device","Currently using","All",7,NA,6,8,4783
"2018","Scotland","E-cigarette or vaping device","Ever previously used","All",11,NA,9.5,12.2,4783
"2018","Scotland","E-cigarette or vaping device","Never used","All",82,NA,80.6,83.7,4783
"2018","Scotland","E-cigarette or vaping device","Currently using","Female",6,NA,5,6.9,2721
"2018","Scotland","E-cigarette or vaping device","Ever previously used","Female",10,NA,8.5,11.3,2721
"2018","Scotland","E-cigarette or vaping device","Never used","Female",84,NA,82.4,85.8,2721
"2018","Scotland","E-cigarette or vaping device","Currently using","Male",8,NA,6.6,9.7,2062
"2018","Scotland","E-cigarette or vaping device","Ever previously used","Male",12,NA,10,13.7,2062
"2018","Scotland","E-cigarette or vaping device","Never used","Male",80,NA,77.8,82.2,2062
"2019","Scotland","E-cigarette or vaping device","Currently using","All",7,NA,6,7.8,4872
"2019","Scotland","E-cigarette or vaping device","Ever previously used","All",13,NA,11.4,14.1,4872
"2019","Scotland","E-cigarette or vaping device","Never used","All",80,NA,78.7,81.9,4872
"2019","Scotland","E-cigarette or vaping device","Currently using","Female",7,NA,5.9,8,2734
"2019","Scotland","E-cigarette or vaping device","Ever previously used","Female",12,NA,10.2,13.3,2734
"2019","Scotland","E-cigarette or vaping device","Never used","Female",81,NA,79.6,83,2734
"2019","Scotland","E-cigarette or vaping device","Currently using","Male",7,NA,5.6,8.1,2138
"2019","Scotland","E-cigarette or vaping device","Ever previously used","Male",14,NA,11.8,15.9,2138
"2019","Scotland","E-cigarette or vaping device","Never used","Male",79,NA,77,81.6,2138
"2021","Scotland","E-cigarette or vaping device","Currently using","All",5,NA,4.1,6.7,4526
"2021","Scotland","E-cigarette or vaping device","Ever previously used","All",11,NA,9.3,11.9,4526
"2021","Scotland","E-cigarette or vaping device","Never used","All",84,NA,82.1,86,4526
"2021","Scotland","E-cigarette or vaping device","Currently using","Female",4,NA,3.3,5.6,2606
"2021","Scotland","E-cigarette or vaping device","Ever previously used","Female",10,NA,8.3,11.5,2606
"2021","Scotland","E-cigarette or vaping device","Never used","Female",86,NA,83.5,87.8,2606
"2021","Scotland","E-cigarette or vaping device","Currently using","Male",6,NA,4.5,8.3,1920
"2021","Scotland","E-cigarette or vaping device","Ever previously used","Male",11,NA,9.3,13.2,1920
"2021","Scotland","E-cigarette or vaping device","Never used","Male",82,NA,79.7,84.9,1920
"2022","Scotland","E-cigarette or vaping device","Currently using","All",10,NA,8.3,10.9,4358
"2022","Scotland","E-cigarette or vaping device","Ever previously used","All",11,NA,9.9,12.6,4358
"2022","Scotland","E-cigarette or vaping device","Never used","All",79,NA,77.2,81.1,4358
"2022","Scotland","E-cigarette or vaping device","Currently using","Female",9,NA,7.8,10.8,2340
"2022","Scotland","E-cigarette or vaping device","Ever previously used","Female",10,NA,8.1,11.1,2340
"2022","Scotland","E-cigarette or vaping device","Never used","Female",81,NA,79,83.2,2340
"2022","Scotland","E-cigarette or vaping device","Currently using","Male",10,NA,8.1,11.8,1977
"2022","Scotland","E-cigarette or vaping device","Ever previously used","Male",13,NA,11,14.9,1977
"2022","Scotland","E-cigarette or vaping device","Never used","Male",77,NA,74.4,79.7,1977
"2008","Scotland","Smoking status","Never smoked/Used to smoke occasionally","All",51,NA,49.3,52.5,6429
"2008","Scotland","Smoking status","Used to smoke regularly","All",23,NA,22.1,24.7,6429
"2008","Scotland","Smoking status","Current smoker","All",26,NA,24.2,27.2,6429
"2008","Scotland","Smoking status","Never smoked/Used to smoke occasionally","Female",53,NA,50.9,54.8,3600
"2008","Scotland","Smoking status","Used to smoke regularly","Female",22,NA,20.9,23.9,3600
"2008","Scotland","Smoking status","Current smoker","Female",25,NA,23,26.4,3600
"2008","Scotland","Smoking status","Never smoked/Used to smoke occasionally","Male",49,NA,46.4,51.2,2829
"2008","Scotland","Smoking status","Used to smoke regularly","Male",24,NA,22.6,26.3,2829
"2008","Scotland","Smoking status","Current smoker","Male",27,NA,24.7,28.8,2829
"2009","Scotland","Smoking status","Never smoked/Used to smoke occasionally","All",53,NA,51.6,54.8,7492
"2009","Scotland","Smoking status","Used to smoke regularly","All",22,NA,20.6,22.9,7492
"2009","Scotland","Smoking status","Current smoker","All",25,NA,23.5,26.5,7492
"2009","Scotland","Smoking status","Never smoked/Used to smoke occasionally","Female",55,NA,53.5,57.4,4227
"2009","Scotland","Smoking status","Used to smoke regularly","Female",20,NA,18.6,21.2,4227
"2009","Scotland","Smoking status","Current smoker","Female",25,NA,22.9,26.3,4227
"2009","Scotland","Smoking status","Never smoked/Used to smoke occasionally","Male",51,NA,48.4,53,3265
"2009","Scotland","Smoking status","Used to smoke regularly","Male",24,NA,22.2,25.6,3265
"2009","Scotland","Smoking status","Current smoker","Male",25,NA,23.4,27.5,3265
"2010","Scotland","Smoking status","Never smoked/Used to smoke occasionally","All",52,NA,50.3,53.7,7201
"2010","Scotland","Smoking status","Used to smoke regularly","All",23,NA,21.4,23.8,7201
"2010","Scotland","Smoking status","Current smoker","All",25,NA,24,26.8,7201
"2010","Scotland","Smoking status","Never smoked/Used to smoke occasionally","Female",54,NA,52.1,55.8,4109
"2010","Scotland","Smoking status","Used to smoke regularly","Female",21,NA,20,22.8,4109
"2010","Scotland","Smoking status","Current smoker","Female",25,NA,23,26.3,4109
"2010","Scotland","Smoking status","Never smoked/Used to smoke occasionally","Male",50,NA,47.5,52.2,3092
"2010","Scotland","Smoking status","Used to smoke regularly","Male",24,NA,22.2,25.7,3092
"2010","Scotland","Smoking status","Current smoker","Male",26,NA,24.2,28.3,3092
"2011","Scotland","Smoking status","Never smoked/Used to smoke occasionally","All",55,NA,53.6,56.5,7506
"2011","Scotland","Smoking status","Used to smoke regularly","All",22,NA,20.5,22.7,7506
"2011","Scotland","Smoking status","Current smoker","All",23,NA,22,24.8,7506
"2011","Scotland","Smoking status","Never smoked/Used to smoke occasionally","Female",57,NA,55.6,59.2,4243
"2011","Scotland","Smoking status","Used to smoke regularly","Female",20,NA,18.8,21.5,4243
"2011","Scotland","Smoking status","Current smoker","Female",22,NA,20.9,24,4243
"2011","Scotland","Smoking status","Never smoked/Used to smoke occasionally","Male",52,NA,50.4,54.4,3263
"2011","Scotland","Smoking status","Used to smoke regularly","Male",23,NA,21.6,24.8,3263
"2011","Scotland","Smoking status","Current smoker","Male",24,NA,22.6,26.2,3263
"2012","Scotland","Smoking status","Never smoked/Used to smoke occasionally","All",54,NA,51.7,55.9,4796
"2012","Scotland","Smoking status","Used to smoke regularly","All",22,NA,20.3,23.1,4796
"2012","Scotland","Smoking status","Current smoker","All",25,NA,22.6,26.5,4796
