"Year","Sex","ASR (World)","Cancer label","Country label","incmort"
1953,1,25.03149637,"Lung","Northern Ireland","Mortality"
1954,1,27.85510643,"Lung","Northern Ireland","Mortality"
1955,1,30.9542681,"Lung","Northern Ireland","Mortality"
1956,1,34.21151798,"Lung","Northern Ireland","Mortality"
1957,1,35.55977983,"Lung","Northern Ireland","Mortality"
1958,1,34.09555135,"Lung","Northern Ireland","Mortality"
1959,1,35.8447523,"Lung","Northern Ireland","Mortality"
1960,1,35.60115205,"Lung","Northern Ireland","Mortality"
1961,1,39.4739793,"Lung","Northern Ireland","Mortality"
1962,1,35.97047661,"Lung","Northern Ireland","Mortality"
1963,1,43.16688103,"Lung","Northern Ireland","Mortality"
1964,1,39.28277445,"Lung","Northern Ireland","Mortality"
1965,1,41.70082559,"Lung","Northern Ireland","Mortality"
1966,1,43.70558666,"Lung","Northern Ireland","Mortality"
1967,1,44.62875259,"Lung","Northern Ireland","Mortality"
1968,1,49.62506254,"Lung","Northern Ireland","Mortality"
1969,1,49.37896391,"Lung","Northern Ireland","Mortality"
1970,1,49.21498737,"Lung","Northern Ireland","Mortality"
1971,1,53.17382988,"Lung","Northern Ireland","Mortality"
1972,1,47.74526133,"Lung","Northern Ireland","Mortality"
1973,1,55.65749019,"Lung","Northern Ireland","Mortality"
1974,1,52.42218962,"Lung","Northern Ireland","Mortality"
1975,1,53.46046536,"Lung","Northern Ireland","Mortality"
1976,1,55.24698393,"Lung","Northern Ireland","Mortality"
1977,1,54.56569574,"Lung","Northern Ireland","Mortality"
1978,1,56.27921834,"Lung","Northern Ireland","Mortality"
1979,1,54.92307024,"Lung","Northern Ireland","Mortality"
1980,1,55.5609417,"Lung","Northern Ireland","Mortality"
1981,1,52.93706506,"Lung","Northern Ireland","Mortality"
1982,1,52.96414726,"Lung","Northern Ireland","Mortality"
1983,1,54.42985061,"Lung","Northern Ireland","Mortality"
1984,1,58.33019457,"Lung","Northern Ireland","Mortality"
1985,1,57.53090544,"Lung","Northern Ireland","Mortality"
1986,1,52.79643647,"Lung","Northern Ireland","Mortality"
1987,1,53.55352438,"Lung","Northern Ireland","Mortality"
1988,1,51.12634445,"Lung","Northern Ireland","Mortality"
1989,1,57.9200234,"Lung","Northern Ireland","Mortality"
1990,1,49.59140372,"Lung","Northern Ireland","Mortality"
1991,1,54.24878399,"Lung","Northern Ireland","Mortality"
1992,1,47.37506017,"Lung","Northern Ireland","Mortality"
1993,1,49.52928396,"Lung","Northern Ireland","Mortality"
1994,1,46.71432892,"Lung","Northern Ireland","Mortality"
1995,1,42.93026517,"Lung","Northern Ireland","Mortality"
1996,1,46.00013124,"Lung","Northern Ireland","Mortality"
1997,1,42.69514025,"Lung","Northern Ireland","Mortality"
1998,1,39.48018607,"Lung","Northern Ireland","Mortality"
1999,1,39.89019157,"Lung","Northern Ireland","Mortality"
2000,1,38.10020559,"Lung","Northern Ireland","Mortality"
2001,1,40.6027476,"Lung","Northern Ireland","Mortality"
2002,1,38.74838545,"Lung","Northern Ireland","Mortality"
2003,1,36.56069083,"Lung","Northern Ireland","Mortality"
2004,1,36.44771158,"Lung","Northern Ireland","Mortality"
2005,1,36.60718249,"Lung","Northern Ireland","Mortality"
2006,1,37.76607738,"Lung","Northern Ireland","Mortality"
2007,1,35.14853801,"Lung","Northern Ireland","Mortality"
2008,1,38.35740784,"Lung","Northern Ireland","Mortality"
2009,1,34.02711763,"Lung","Northern Ireland","Mortality"
2010,1,35.07802369,"Lung","Northern Ireland","Mortality"
2011,1,34.77003824,"Lung","Northern Ireland","Mortality"
2012,1,32.78311737,"Lung","Northern Ireland","Mortality"
2013,1,34.44055771,"Lung","Northern Ireland","Mortality"
2014,1,30.36939235,"Lung","Northern Ireland","Mortality"
2015,1,30.63736786,"Lung","Northern Ireland","Mortality"
2016,1,31.28694037,"Lung","Northern Ireland","Mortality"
1950,1,39.37587274,"Lung","Scotland","Mortality"
1951,1,40.40763898,"Lung","Scotland","Mortality"
1952,1,44.16680994,"Lung","Scotland","Mortality"
1953,1,51.09455533,"Lung","Scotland","Mortality"
1954,1,52.47572351,"Lung","Scotland","Mortality"
1955,1,51.74672112,"Lung","Scotland","Mortality"
1956,1,57.17833062,"Lung","Scotland","Mortality"
1957,1,59.70588105,"Lung","Scotland","Mortality"
1958,1,63.0392509,"Lung","Scotland","Mortality"
1959,1,65.18736846,"Lung","Scotland","Mortality"
1960,1,67.71031565,"Lung","Scotland","Mortality"
1961,1,68.52003698,"Lung","Scotland","Mortality"
1962,1,71.12757286,"Lung","Scotland","Mortality"
1963,1,75.90768866,"Lung","Scotland","Mortality"
1964,1,77.0637359,"Lung","Scotland","Mortality"
1965,1,77.78165813,"Lung","Scotland","Mortality"
1966,1,78.45984472,"Lung","Scotland","Mortality"
1967,1,80.86092034,"Lung","Scotland","Mortality"
1968,1,80.53572553,"Lung","Scotland","Mortality"
1969,1,82.04814485,"Lung","Scotland","Mortality"
1970,1,84.03194929,"Lung","Scotland","Mortality"
1971,1,82.06379089,"Lung","Scotland","Mortality"
1972,1,84.16246077,"Lung","Scotland","Mortality"
1973,1,85.68695166,"Lung","Scotland","Mortality"
1974,1,85.34466396,"Lung","Scotland","Mortality"
1975,1,83.4548374,"Lung","Scotland","Mortality"
1976,1,85.97279487,"Lung","Scotland","Mortality"
1977,1,79.32408006,"Lung","Scotland","Mortality"
1978,1,85.12282308,"Lung","Scotland","Mortality"
1979,1,87.75374713,"Lung","Scotland","Mortality"
1980,1,82.99463152,"Lung","Scotland","Mortality"
1981,1,81.34209771,"Lung","Scotland","Mortality"
1982,1,79.1790181,"Lung","Scotland","Mortality"
1983,1,81.07827519,"Lung","Scotland","Mortality"
1984,1,79.18658101,"Lung","Scotland","Mortality"
1985,1,79.01135647,"Lung","Scotland","Mortality"
1986,1,76.51258593,"Lung","Scotland","Mortality"
1987,1,76.08033063,"Lung","Scotland","Mortality"
1988,1,73.43694944,"Lung","Scotland","Mortality"
1989,1,73.26698737,"Lung","Scotland","Mortality"
1990,1,68.695644,"Lung","Scotland","Mortality"
1991,1,69.01875651,"Lung","Scotland","Mortality"
1992,1,69.96496214,"Lung","Scotland","Mortality"
1993,1,69.04217175,"Lung","Scotland","Mortality"
1994,1,66.37287816,"Lung","Scotland","Mortality"
1995,1,63.38118727,"Lung","Scotland","Mortality"
1996,1,59.70976469,"Lung","Scotland","Mortality"
1997,1,58.36925113,"Lung","Scotland","Mortality"
1998,1,55.50389906,"Lung","Scotland","Mortality"
1999,1,53.68317417,"Lung","Scotland","Mortality"
2000,1,51.12565739,"Lung","Scotland","Mortality"
2001,1,51.77767987,"Lung","Scotland","Mortality"
2002,1,52.19995344,"Lung","Scotland","Mortality"
2003,1,47.6398626,"Lung","Scotland","Mortality"
2004,1,46.94722574,"Lung","Scotland","Mortality"
2005,1,46.51658006,"Lung","Scotland","Mortality"
2006,1,44.47246389,"Lung","Scotland","Mortality"
2007,1,44.98824407,"Lung","Scotland","Mortality"
2008,1,42.04611712,"Lung","Scotland","Mortality"
2009,1,42.61796641,"Lung","Scotland","Mortality"
2010,1,39.67601079,"Lung","Scotland","Mortality"
2011,1,40.30805906,"Lung","Scotland","Mortality"
2012,1,37.70136185,"Lung","Scotland","Mortality"
2013,1,37.36477486,"Lung","Scotland","Mortality"
2014,1,36.48354535,"Lung","Scotland","Mortality"
2015,1,35.36792391,"Lung","Scotland","Mortality"
2016,1,34.73132816,"Lung","Scotland","Mortality"
2017,1,32.78940666,"Lung","Scotland","Mortality"
2018,1,31.29054315,"Lung","Scotland","Mortality"
1971,1,4.91921753,"Oesophagus","England and Wales","Incidence"
1972,1,5.149754276,"Oesophagus","England and Wales","Incidence"
1973,1,5.235289137,"Oesophagus","England and Wales","Incidence"
1974,1,5.433194081,"Oesophagus","England and Wales","Incidence"
1975,1,5.628606246,"Oesophagus","England and Wales","Incidence"
1976,1,5.847699355,"Oesophagus","England and Wales","Incidence"
1977,1,5.577610604,"Oesophagus","England and Wales","Incidence"
1978,1,5.92289227,"Oesophagus","England and Wales","Incidence"
1979,1,5.330348882,"Oesophagus","England and Wales","Incidence"
1980,1,5.844396712,"Oesophagus","England and Wales","Incidence"
1981,1,5.980991641,"Oesophagus","England and Wales","Incidence"
1982,1,6.181911963,"Oesophagus","England and Wales","Incidence"
1983,1,6.144251066,"Oesophagus","England and Wales","Incidence"
1984,1,6.450423736,"Oesophagus","England and Wales","Incidence"
1985,1,6.637578484,"Oesophagus","England and Wales","Incidence"
1986,1,6.893499972,"Oesophagus","England and Wales","Incidence"
1987,1,7.315451785,"Oesophagus","England and Wales","Incidence"
1988,1,7.611163823,"Oesophagus","England and Wales","Incidence"
1989,1,7.435892883,"Oesophagus","England and Wales","Incidence"
1990,1,7.775210816,"Oesophagus","England and Wales","Incidence"
1991,1,7.774585788,"Oesophagus","England and Wales","Incidence"
1992,1,8.292922109,"Oesophagus","England and Wales","Incidence"
1993,1,8.429474611,"Oesophagus","England and Wales","Incidence"
1994,1,8.563203936,"Oesophagus","England and Wales","Incidence"
1995,1,8.127101935,"Oesophagus","England and Wales","Incidence"
1996,1,8.158371077,"Oesophagus","England and Wales","Incidence"
1997,1,8.52087974,"Oesophagus","England and Wales","Incidence"
1998,1,8.300638857,"Oesophagus","England and Wales","Incidence"
1999,1,8.433634184,"Oesophagus","England and Wales","Incidence"
2000,1,8.754399554,"Oesophagus","England and Wales","Incidence"
2001,1,9.039466122,"Oesophagus","England and Wales","Incidence"
2002,1,9.101323365,"Oesophagus","England and Wales","Incidence"
2003,1,9.053197187,"Oesophagus","England and Wales","Incidence"
2004,1,9.084501862,"Oesophagus","England and Wales","Incidence"
2005,1,9.178678024,"Oesophagus","England and Wales","Incidence"
2006,1,9.215003084,"Oesophagus","England and Wales","Incidence"
2007,1,9.470073081,"Oesophagus","England and Wales","Incidence"
2008,1,9.764084149,"Oesophagus","England and Wales","Incidence"
2009,1,9.554587044,"Oesophagus","England and Wales","Incidence"
2010,1,9.70882846,"Oesophagus","England and Wales","Incidence"
2011,1,9.543194829,"Oesophagus","England and Wales","Incidence"
2012,1,9.818125994,"Oesophagus","England and Wales","Incidence"
2013,1,9.551798589,"Oesophagus","England and Wales","Incidence"
2014,1,9.491735803,"Oesophagus","England and Wales","Incidence"
2015,1,9.704417132,"Oesophagus","England and Wales","Incidence"
2016,1,9.563573806,"Oesophagus","England and Wales","Incidence"
2017,1,9.442346863,"Oesophagus","England and Wales","Incidence"
1993,1,8.34887004,"Oesophagus","Northern Ireland","Incidence"
1994,1,9.358411708,"Oesophagus","Northern Ireland","Incidence"
1995,1,9.614844663,"Oesophagus","Northern Ireland","Incidence"
1996,1,6.838966216,"Oesophagus","Northern Ireland","Incidence"
1997,1,9.191183424,"Oesophagus","Northern Ireland","Incidence"
1998,1,9.211817604,"Oesophagus","Northern Ireland","Incidence"
1999,1,8.165106934,"Oesophagus","Northern Ireland","Incidence"
2000,1,6.036021208,"Oesophagus","Northern Ireland","Incidence"
2001,1,8.541916834,"Oesophagus","Northern Ireland","Incidence"
2002,1,6.89719463,"Oesophagus","Northern Ireland","Incidence"
2003,1,7.603884649,"Oesophagus","Northern Ireland","Incidence"
2004,1,8.621228516,"Oesophagus","Northern Ireland","Incidence"
2005,1,8.913505448,"Oesophagus","Northern Ireland","Incidence"
2006,1,9.033656333,"Oesophagus","Northern Ireland","Incidence"
2007,1,9.51652505,"Oesophagus","Northern Ireland","Incidence"
2008,1,9.737603266,"Oesophagus","Northern Ireland","Incidence"
2009,1,8.506102479,"Oesophagus","Northern Ireland","Incidence"
2010,1,8.456836583,"Oesophagus","Northern Ireland","Incidence"
2011,1,8.156076844,"Oesophagus","Northern Ireland","Incidence"
2012,1,9.048319672,"Oesophagus","Northern Ireland","Incidence"
2013,1,9.070778068,"Oesophagus","Northern Ireland","Incidence"
1975,1,7.505109214,"Oesophagus","Scotland","Incidence"
1976,1,6.86294303,"Oesophagus","Scotland","Incidence"
1977,1,7.403898259,"Oesophagus","Scotland","Incidence"
1978,1,7.332806243,"Oesophagus","Scotland","Incidence"
1979,1,8.494529871,"Oesophagus","Scotland","Incidence"
1980,1,8.118407023,"Oesophagus","Scotland","Incidence"
1981,1,8.369045989,"Oesophagus","Scotland","Incidence"
1982,1,8.363823092,"Oesophagus","Scotland","Incidence"
1983,1,8.737618592,"Oesophagus","Scotland","Incidence"
1984,1,8.081783095,"Oesophagus","Scotland","Incidence"
1985,1,8.646017282,"Oesophagus","Scotland","Incidence"
1986,1,7.872494458,"Oesophagus","Scotland","Incidence"
1987,1,8.929447662,"Oesophagus","Scotland","Incidence"
1988,1,8.810342221,"Oesophagus","Scotland","Incidence"
1989,1,9.010950444,"Oesophagus","Scotland","Incidence"
1990,1,9.933119889,"Oesophagus","Scotland","Incidence"
1991,1,9.211481082,"Oesophagus","Scotland","Incidence"
1992,1,9.890039,"Oesophagus","Scotland","Incidence"
1993,1,11.30754441,"Oesophagus","Scotland","Incidence"
1994,1,11.44906973,"Oesophagus","Scotland","Incidence"
1995,1,11.49117295,"Oesophagus","Scotland","Incidence"
1996,1,12.49686069,"Oesophagus","Scotland","Incidence"
1997,1,11.14099952,"Oesophagus","Scotland","Incidence"
1998,1,11.7250926,"Oesophagus","Scotland","Incidence"
1999,1,11.33459934,"Oesophagus","Scotland","Incidence"
2000,1,11.19213629,"Oesophagus","Scotland","Incidence"
2001,1,11.65929256,"Oesophagus","Scotland","Incidence"
2002,1,12.232776,"Oesophagus","Scotland","Incidence"
2003,1,11.85336832,"Oesophagus","Scotland","Incidence"
2004,1,12.05689922,"Oesophagus","Scotland","Incidence"
2005,1,11.73497432,"Oesophagus","Scotland","Incidence"
2006,1,11.67079916,"Oesophagus","Scotland","Incidence"
2007,1,11.7539195,"Oesophagus","Scotland","Incidence"
2008,1,11.60518689,"Oesophagus","Scotland","Incidence"
2009,1,11.64915957,"Oesophagus","Scotland","Incidence"
2010,1,11.41540554,"Oesophagus","Scotland","Incidence"
2011,1,11.0020045,"Oesophagus","Scotland","Incidence"
2012,1,11.41437331,"Oesophagus","Scotland","Incidence"
2013,1,11.14889025,"Oesophagus","Scotland","Incidence"
1950,1,5.394325019,"Oesophagus","England and Wales","Mortality"
1951,1,5.3927318,"Oesophagus","England and Wales","Mortality"
1952,1,5.236574591,"Oesophagus","England and Wales","Mortality"
1953,1,4.713095936,"Oesophagus","England and Wales","Mortality"
1954,1,4.574722195,"Oesophagus","England and Wales","Mortality"
1955,1,4.674376085,"Oesophagus","England and Wales","Mortality"
1956,1,4.72622052,"Oesophagus","England and Wales","Mortality"
1957,1,4.423997077,"Oesophagus","England and Wales","Mortality"
1958,1,4.371552211,"Oesophagus","England and Wales","Mortality"
1959,1,4.601994876,"Oesophagus","England and Wales","Mortality"
1960,1,4.283072196,"Oesophagus","England and Wales","Mortality"
1961,1,4.459907182,"Oesophagus","England and Wales","Mortality"
1962,1,4.582219998,"Oesophagus","England and Wales","Mortality"
1963,1,4.489945207,"Oesophagus","England and Wales","Mortality"
1964,1,4.281504149,"Oesophagus","England and Wales","Mortality"
1965,1,4.496749148,"Oesophagus","England and Wales","Mortality"
1966,1,4.662967211,"Oesophagus","England and Wales","Mortality"
1967,1,4.726858266,"Oesophagus","England and Wales","Mortality"
1968,1,5.148863004,"Oesophagus","England and Wales","Mortality"
1969,1,4.731526112,"Oesophagus","England and Wales","Mortality"
1970,1,5.064018607,"Oesophagus","England and Wales","Mortality"
1971,1,5.040112744,"Oesophagus","England and Wales","Mortality"
1972,1,5.230328266,"Oesophagus","England and Wales","Mortality"
1973,1,5.151919824,"Oesophagus","England and Wales","Mortality"
1974,1,5.346822997,"Oesophagus","England and Wales","Mortality"
1975,1,5.343131684,"Oesophagus","England and Wales","Mortality"
1976,1,5.498330237,"Oesophagus","England and Wales","Mortality"
1977,1,5.559703799,"Oesophagus","England and Wales","Mortality"
1978,1,5.778127722,"Oesophagus","England and Wales","Mortality"
1979,1,5.630439448,"Oesophagus","England and Wales","Mortality"
1980,1,5.984289104,"Oesophagus","England and Wales","Mortality"
1981,1,5.920931447,"Oesophagus","England and Wales","Mortality"
1982,1,6.088139241,"Oesophagus","England and Wales","Mortality"
1983,1,6.281985771,"Oesophagus","England and Wales","Mortality"
1984,1,6.334335962,"Oesophagus","England and Wales","Mortality"
1985,1,7.030519118,"Oesophagus","England and Wales","Mortality"
1986,1,6.712584688,"Oesophagus","England and Wales","Mortality"
1987,1,7.192670433,"Oesophagus","England and Wales","Mortality"
1988,1,7.443364637,"Oesophagus","England and Wales","Mortality"
1989,1,7.387009355,"Oesophagus","England and Wales","Mortality"
1990,1,7.8037146,"Oesophagus","England and Wales","Mortality"
1991,1,7.728018154,"Oesophagus","England and Wales","Mortality"
1992,1,7.980032121,"Oesophagus","England and Wales","Mortality"
1993,1,8.133235528,"Oesophagus","England and Wales","Mortality"
1994,1,8.463850385,"Oesophagus","England and Wales","Mortality"
1995,1,8.304147631,"Oesophagus","England and Wales","Mortality"
1996,1,8.309418152,"Oesophagus","England and Wales","Mortality"
1997,1,8.229987383,"Oesophagus","England and Wales","Mortality"
1998,1,8.430160102,"Oesophagus","England and Wales","Mortality"
1999,1,8.319719673,"Oesophagus","England and Wales","Mortality"
2000,1,8.298496289,"Oesophagus","England and Wales","Mortality"
2001,1,8.465178312,"Oesophagus","England and Wales","Mortality"
2002,1,8.596518806,"Oesophagus","England and Wales","Mortality"
2003,1,8.833894757,"Oesophagus","England and Wales","Mortality"
2004,1,8.439233214,"Oesophagus","England and Wales","Mortality"
2005,1,8.621457642,"Oesophagus","England and Wales","Mortality"
2006,1,8.526740367,"Oesophagus","England and Wales","Mortality"
2007,1,8.427352514,"Oesophagus","England and Wales","Mortality"
2008,1,8.616829168,"Oesophagus","England and Wales","Mortality"
2009,1,8.5173803,"Oesophagus","England and Wales","Mortality"
2010,1,8.329822363,"Oesophagus","England and Wales","Mortality"
2011,1,8.281357526,"Oesophagus","England and Wales","Mortality"
2012,1,8.238108022,"Oesophagus","England and Wales","Mortality"
2013,1,8.063781722,"Oesophagus","England and Wales","Mortality"
2014,1,7.741788365,"Oesophagus","England and Wales","Mortality"
2015,1,8.039945789,"Oesophagus","England and Wales","Mortality"
2016,1,7.815791091,"Oesophagus","England and Wales","Mortality"
1950,1,5.673944512,"Oesophagus","Northern Ireland","Mortality"
1951,1,5.631312184,"Oesophagus","Northern Ireland","Mortality"
1952,1,3.747869196,"Oesophagus","Northern Ireland","Mortality"
1953,1,4.128924315,"Oesophagus","Northern Ireland","Mortality"
1954,1,4.148411246,"Oesophagus","Northern Ireland","Mortality"
1955,1,3.618191294,"Oesophagus","Northern Ireland","Mortality"
1956,1,3.252694267,"Oesophagus","Northern Ireland","Mortality"
1957,1,4.841117922,"Oesophagus","Northern Ireland","Mortality"
1958,1,3.404490274,"Oesophagus","Northern Ireland","Mortality"
1959,1,4.080209192,"Oesophagus","Northern Ireland","Mortality"
1960,1,3.140773759,"Oesophagus","Northern Ireland","Mortality"
1961,1,3.717014344,"Oesophagus","Northern Ireland","Mortality"
1962,1,2.790898077,"Oesophagus","Northern Ireland","Mortality"
1963,1,3.63352401,"Oesophagus","Northern Ireland","Mortality"
1964,1,3.66379917,"Oesophagus","Northern Ireland","Mortality"
1965,1,4.684836503,"Oesophagus","Northern Ireland","Mortality"
1966,1,3.976451249,"Oesophagus","Northern Ireland","Mortality"
1967,1,4.258267953,"Oesophagus","Northern Ireland","Mortality"
1968,1,5.20127395,"Oesophagus","Northern Ireland","Mortality"
1969,1,3.979652461,"Oesophagus","Northern Ireland","Mortality"
1970,1,3.289437015,"Oesophagus","Northern Ireland","Mortality"
1971,1,4.453170875,"Oesophagus","Northern Ireland","Mortality"
1972,1,3.723786609,"Oesophagus","Northern Ireland","Mortality"
1973,1,4.841852904,"Oesophagus","Northern Ireland","Mortality"
1974,1,4.377954052,"Oesophagus","Northern Ireland","Mortality"
1975,1,4.565342422,"Oesophagus","Northern Ireland","Mortality"
1976,1,4.294184782,"Oesophagus","Northern Ireland","Mortality"
1977,1,3.614344472,"Oesophagus","Northern Ireland","Mortality"
1978,1,5.286121932,"Oesophagus","Northern Ireland","Mortality"
1979,1,5.14146124,"Oesophagus","Northern Ireland","Mortality"
1980,1,4.791258849,"Oesophagus","Northern Ireland","Mortality"
1981,1,4.711907168,"Oesophagus","Northern Ireland","Mortality"
1982,1,6.027798176,"Oesophagus","Northern Ireland","Mortality"
1983,1,5.291481298,"Oesophagus","Northern Ireland","Mortality"
1984,1,5.838888866,"Oesophagus","Northern Ireland","Mortality"
1985,1,5.048150256,"Oesophagus","Northern Ireland","Mortality"
1986,1,6.575735307,"Oesophagus","Northern Ireland","Mortality"
1987,1,4.490152401,"Oesophagus","Northern Ireland","Mortality"
1988,1,6.847259831,"Oesophagus","Northern Ireland","Mortality"
1989,1,6.808017546,"Oesophagus","Northern Ireland","Mortality"
1990,1,5.86688887,"Oesophagus","Northern Ireland","Mortality"
1991,1,6.203547347,"Oesophagus","Northern Ireland","Mortality"
1992,1,7.292540705,"Oesophagus","Northern Ireland","Mortality"
1993,1,7.153816736,"Oesophagus","Northern Ireland","Mortality"
1994,1,8.048455923,"Oesophagus","Northern Ireland","Mortality"
1995,1,6.548569667,"Oesophagus","Northern Ireland","Mortality"
1996,1,8.338787917,"Oesophagus","Northern Ireland","Mortality"
1997,1,8.123911859,"Oesophagus","Northern Ireland","Mortality"
1998,1,8.258324188,"Oesophagus","Northern Ireland","Mortality"
1999,1,8.607946979,"Oesophagus","Northern Ireland","Mortality"
2000,1,7.260649235,"Oesophagus","Northern Ireland","Mortality"
2001,1,7.653214759,"Oesophagus","Northern Ireland","Mortality"
2002,1,9.03350822,"Oesophagus","Northern Ireland","Mortality"
2003,1,8.07661125,"Oesophagus","Northern Ireland","Mortality"
2004,1,6.960697489,"Oesophagus","Northern Ireland","Mortality"
2005,1,8.377935289,"Oesophagus","Northern Ireland","Mortality"
2006,1,8.286272192,"Oesophagus","Northern Ireland","Mortality"
2007,1,7.418316487,"Oesophagus","Northern Ireland","Mortality"
2008,1,8.275642226,"Oesophagus","Northern Ireland","Mortality"
2009,1,9.000082292,"Oesophagus","Northern Ireland","Mortality"
2010,1,6.79170656,"Oesophagus","Northern Ireland","Mortality"
2011,1,6.198909036,"Oesophagus","Northern Ireland","Mortality"
2012,1,6.831814832,"Oesophagus","Northern Ireland","Mortality"
2013,1,7.527074443,"Oesophagus","Northern Ireland","Mortality"
2014,1,7.677993543,"Oesophagus","Northern Ireland","Mortality"
2015,1,7.460629933,"Oesophagus","Northern Ireland","Mortality"
2016,1,9.616393591,"Oesophagus","Northern Ireland","Mortality"
1950,1,6.46529358,"Oesophagus","Scotland","Mortality"
1951,1,5.833041481,"Oesophagus","Scotland","Mortality"
1952,1,6.566013337,"Oesophagus","Scotland","Mortality"
1953,1,5.245883458,"Oesophagus","Scotland","Mortality"
1954,1,5.756872293,"Oesophagus","Scotland","Mortality"
1955,1,5.837977894,"Oesophagus","Scotland","Mortality"
1956,1,5.810651899,"Oesophagus","Scotland","Mortality"
1957,1,5.793402684,"Oesophagus","Scotland","Mortality"
1958,1,5.667933127,"Oesophagus","Scotland","Mortality"
1959,1,5.904164342,"Oesophagus","Scotland","Mortality"
1960,1,5.337257371,"Oesophagus","Scotland","Mortality"
1961,1,4.546965981,"Oesophagus","Scotland","Mortality"
1962,1,6.22459277,"Oesophagus","Scotland","Mortality"
1963,1,5.099819491,"Oesophagus","Scotland","Mortality"
1964,1,5.210397554,"Oesophagus","Scotland","Mortality"
1965,1,5.738283322,"Oesophagus","Scotland","Mortality"
1966,1,5.289043514,"Oesophagus","Scotland","Mortality"
1967,1,5.995193059,"Oesophagus","Scotland","Mortality"
1968,1,6.26747725,"Oesophagus","Scotland","Mortality"
1969,1,5.96876427,"Oesophagus","Scotland","Mortality"
1970,1,5.544174542,"Oesophagus","Scotland","Mortality"
1971,1,6.482201465,"Oesophagus","Scotland","Mortality"
1972,1,6.418489698,"Oesophagus","Scotland","Mortality"
1973,1,6.34566147,"Oesophagus","Scotland","Mortality"
1974,1,6.120411255,"Oesophagus","Scotland","Mortality"
1975,1,6.252257563,"Oesophagus","Scotland","Mortality"
1976,1,7.153025937,"Oesophagus","Scotland","Mortality"
1977,1,6.934119351,"Oesophagus","Scotland","Mortality"
1978,1,7.665577899,"Oesophagus","Scotland","Mortality"
1979,1,8.643809773,"Oesophagus","Scotland","Mortality"
1980,1,7.472072182,"Oesophagus","Scotland","Mortality"
1981,1,8.003652148,"Oesophagus","Scotland","Mortality"
1982,1,8.653792827,"Oesophagus","Scotland","Mortality"
1983,1,8.232133844,"Oesophagus","Scotland","Mortality"
1984,1,8.835601776,"Oesophagus","Scotland","Mortality"
1985,1,8.588206693,"Oesophagus","Scotland","Mortality"
1986,1,9.396100353,"Oesophagus","Scotland","Mortality"
1987,1,9.505744351,"Oesophagus","Scotland","Mortality"
1988,1,9.074974541,"Oesophagus","Scotland","Mortality"
1989,1,9.564271276,"Oesophagus","Scotland","Mortality"
1990,1,9.348408537,"Oesophagus","Scotland","Mortality"
1991,1,10.64373762,"Oesophagus","Scotland","Mortality"
1992,1,9.874206362,"Oesophagus","Scotland","Mortality"
1993,1,10.88034141,"Oesophagus","Scotland","Mortality"
1994,1,10.45373682,"Oesophagus","Scotland","Mortality"
1995,1,11.18151859,"Oesophagus","Scotland","Mortality"
1996,1,10.60305507,"Oesophagus","Scotland","Mortality"
1997,1,10.55874928,"Oesophagus","Scotland","Mortality"
1998,1,11.58204872,"Oesophagus","Scotland","Mortality"
1999,1,10.77213775,"Oesophagus","Scotland","Mortality"
2000,1,10.29961153,"Oesophagus","Scotland","Mortality"
2001,1,11.24641491,"Oesophagus","Scotland","Mortality"
2002,1,10.5330242,"Oesophagus","Scotland","Mortality"
2003,1,11.31728419,"Oesophagus","Scotland","Mortality"
2004,1,11.21408051,"Oesophagus","Scotland","Mortality"
2005,1,10.84055302,"Oesophagus","Scotland","Mortality"
2006,1,10.70605783,"Oesophagus","Scotland","Mortality"
2007,1,10.07754524,"Oesophagus","Scotland","Mortality"
2008,1,10.92506295,"Oesophagus","Scotland","Mortality"
2009,1,10.37036719,"Oesophagus","Scotland","Mortality"
2010,1,10.69167638,"Oesophagus","Scotland","Mortality"
2011,1,10.52697494,"Oesophagus","Scotland","Mortality"
2012,1,10.18631808,"Oesophagus","Scotland","Mortality"
2013,1,9.970722774,"Oesophagus","Scotland","Mortality"
2014,1,9.869175783,"Oesophagus","Scotland","Mortality"
2015,1,9.896153676,"Oesophagus","Scotland","Mortality"
2016,1,9.808707243,"Oesophagus","Scotland","Mortality"
2017,1,9.505249386,"Oesophagus","Scotland","Mortality"
2018,1,9.87222194,"Oesophagus","Scotland","Mortality"
1971,1,7.68845625,"Pancreas","England and Wales","Incidence"
1972,1,7.430067101,"Pancreas","England and Wales","Incidence"
1973,1,7.593028142,"Pancreas","England and Wales","Incidence"
1974,1,7.961761161,"Pancreas","England and Wales","Incidence"
1975,1,7.920515244,"Pancreas","England and Wales","Incidence"
1976,1,7.783792352,"Pancreas","England and Wales","Incidence"
1977,1,7.822851423,"Pancreas","England and Wales","Incidence"
1978,1,8.185207873,"Pancreas","England and Wales","Incidence"
1979,1,8.527715699,"Pancreas","England and Wales","Incidence"
1980,1,8.034037441,"Pancreas","England and Wales","Incidence"
1981,1,8.070323251,"Pancreas","England and Wales","Incidence"
1982,1,7.863861177,"Pancreas","England and Wales","Incidence"
1983,1,7.928266965,"Pancreas","England and Wales","Incidence"
1984,1,7.792122142,"Pancreas","England and Wales","Incidence"
1985,1,7.831431954,"Pancreas","England and Wales","Incidence"
1986,1,7.580858494,"Pancreas","England and Wales","Incidence"
1987,1,7.48591752,"Pancreas","England and Wales","Incidence"
