"year","sex","age_group","cancer_site","count","Rate"
2008,"Women","50+","MultipleMyeloma",1871,20.1
2009,"Women","50+","MultipleMyeloma",1843,19.6
2010,"Women","50+","MultipleMyeloma",1849,19.3
2011,"Women","50+","MultipleMyeloma",1872,19.3
2012,"Women","50+","MultipleMyeloma",1974,20.1
2013,"Women","50+","MultipleMyeloma",2499,25
2014,"Women","50+","MultipleMyeloma",2530,24.8
2015,"Women","50+","MultipleMyeloma",2436,23.5
2016,"Women","50+","MultipleMyeloma",2508,23.8
2017,"Women","50+","MultipleMyeloma",2584,24.1
2018,"Women","50+","MultipleMyeloma",2533,23.3
2019,"Women","50+","MultipleMyeloma",2777,25.1
2001,"Women","50+","Oral",1278,14.4
2002,"Women","50+","Oral",1214,13.6
2003,"Women","50+","Oral",1322,14.7
2004,"Women","50+","Oral",1371,15.2
2005,"Women","50+","Oral",1398,15.4
2006,"Women","50+","Oral",1494,16.3
2007,"Women","50+","Oral",1491,16.2
2008,"Women","50+","Oral",1674,17.9
2009,"Women","50+","Oral",1711,18.1
2010,"Women","50+","Oral",1863,19.5
2011,"Women","50+","Oral",1884,19.4
2012,"Women","50+","Oral",1996,20.2
2013,"Women","50+","Oral",2023,20.2
2014,"Women","50+","Oral",2092,20.5
2015,"Women","50+","Oral",2130,20.5
2016,"Women","50+","Oral",2216,21
2017,"Women","50+","Oral",2232,20.8
2018,"Women","50+","Oral",2409,22.2
2019,"Women","50+","Oral",2491,22.6
2001,"Women","50+","Pancreas",2987,33.6
2002,"Women","50+","Pancreas",2943,32.9
2003,"Women","50+","Pancreas",3037,33.8
2004,"Women","50+","Pancreas",3179,35.2
2005,"Women","50+","Pancreas",3238,35.6
2006,"Women","50+","Pancreas",3339,36.5
2007,"Women","50+","Pancreas",3332,36.1
2008,"Women","50+","Pancreas",3477,37.3
2009,"Women","50+","Pancreas",3568,37.8
2010,"Women","50+","Pancreas",3566,37.3
2011,"Women","50+","Pancreas",3694,38.1
2012,"Women","50+","Pancreas",3809,38.6
2013,"Women","50+","Pancreas",3990,39.8
2014,"Women","50+","Pancreas",3985,39
2015,"Women","50+","Pancreas",4122,39.7
2016,"Women","50+","Pancreas",4080,38.7
2017,"Women","50+","Pancreas",4226,39.4
2018,"Women","50+","Pancreas",4173,38.4
2019,"Women","50+","Pancreas",4387,39.7
2001,"Women","50+","Thyroid",477,5.4
2002,"Women","50+","Thyroid",487,5.4
2003,"Women","50+","Thyroid",509,5.7
2004,"Women","50+","Thyroid",508,5.6
2005,"Women","50+","Thyroid",566,6.2
2006,"Women","50+","Thyroid",618,6.8
2007,"Women","50+","Thyroid",670,7.3
2008,"Women","50+","Thyroid",689,7.4
2009,"Women","50+","Thyroid",752,8
2010,"Women","50+","Thyroid",748,7.8
2011,"Women","50+","Thyroid",805,8.3
2012,"Women","50+","Thyroid",955,9.7
2013,"Women","50+","Thyroid",1016,10.1
2014,"Women","50+","Thyroid",1079,10.6
2015,"Women","50+","Thyroid",1142,11
2016,"Women","50+","Thyroid",1099,10.4
2017,"Women","50+","Thyroid",1183,11
2018,"Women","50+","Thyroid",1235,11.4
2019,"Women","50+","Thyroid",1299,11.8
