"age_group"	"sex"	"imd"	"level"	"variable"	"Model"	"Segment"	"Segment Start"	"Segment End"	"APC"	"APC 95% LCL"	"APC 95% UCL"	"APC Significant"	"Test Statistic"	"P-Value"
All	Men	3	Never	"smoking_status"	3	3	2014	2019	2.8256	2.0722	3.5845	1	8.7379	0.000023
All	Men	4	Never	"smoking_status"	1	0	2001	2010	0.6300	0.2046	1.0572	1	3.1795	0.006687
All	Men	4	Never	"smoking_status"	1	1	2010	2019	2.0308	1.5994	2.4640	1	10.1781	0.000000
All	Men	5	Never	"smoking_status"	2	0	2001	2005	3.4297	1.8485	5.0354	1	4.8178	0.000538
All	Men	5	Never	"smoking_status"	2	1	2005	2009	-0.7215	-3.1106	1.7264	0	-0.6543	0.526345
All	Men	5	Never	"smoking_status"	2	2	2009	2019	1.2292	0.8460	1.6139	1	7.0900	0.000020
All	Women	1	Never	"smoking_status"	0	0	2001	2019	0.8222	0.7549	0.8895	1	25.8730	0.000000
All	Women	2	Never	"smoking_status"	1	0	2001	2004	2.4925	1.3575	3.6403	1	4.7418	0.000315
All	Women	2	Never	"smoking_status"	1	1	2004	2019	0.6444	0.5498	0.7392	1	14.6390	0.000000
All	Women	3	Never	"smoking_status"	0	0	2001	2019	0.7375	0.5522	0.9232	1	8.4187	0.000000
All	Women	4	Never	"smoking_status"	0	0	2001	2019	0.8767	0.7372	1.0165	1	13.3031	0.000000
All	Women	5	Never	"smoking_status"	3	0	2001	2005	-0.8827	-1.8568	0.1010	0	-2.0703	0.072197
All	Women	5	Never	"smoking_status"	3	1	2005	2009	3.6051	1.9998	5.2356	1	5.2301	0.000793
All	Women	5	Never	"smoking_status"	3	2	2009	2012	-1.6417	-4.6660	1.4786	0	-1.2222	0.256403
All	Women	5	Never	"smoking_status"	3	3	2012	2019	1.1927	0.7713	1.6159	1	6.5513	0.000178
All	Men	1	Previously	"smoking_status"	3	0	2001	2004	-0.6155	-2.4266	1.2293	0	-0.7741	0.461144
All	Men	1	Previously	"smoking_status"	3	1	2004	2008	-3.6000	-5.3567	-1.8107	1	-4.5971	0.001762
All	Men	1	Previously	"smoking_status"	3	2	2008	2011	2.4894	-1.2119	6.3294	0	1.5416	0.161747
All	Men	1	Previously	"smoking_status"	3	3	2011	2019	-0.2655	-0.6649	0.1356	0	-1.5274	0.165172
All	Men	2	Previously	"smoking_status"	3	0	2001	2005	-2.5409	-4.0053	-1.0541	1	-3.9201	0.004418
All	Men	2	Previously	"smoking_status"	3	1	2005	2009	1.3240	-1.0728	3.7788	0	1.2670	0.240785
All	Men	2	Previously	"smoking_status"	3	2	2009	2015	-1.8052	-2.8508	-0.7483	1	-3.9240	0.004393
All	Men	2	Previously	"smoking_status"	3	3	2015	2019	0.4566	-1.0528	1.9891	0	0.6939	0.507385
All	Men	3	Previously	"smoking_status"	3	0	2001	2003	-2.0251	-4.5199	0.5350	0	-1.8290	0.104796
All	Men	3	Previously	"smoking_status"	3	1	2003	2013	-0.0879	-0.3229	0.1476	0	-0.8616	0.414001
All	Men	3	Previously	"smoking_status"	3	2	2013	2016	1.1199	-1.4551	3.7621	0	0.9956	0.348594
All	Men	3	Previously	"smoking_status"	3	3	2016	2019	-4.1080	-5.3368	-2.8633	1	-7.5003	0.000069
All	Men	4	Previously	"smoking_status"	3	0	2001	2008	-1.1556	-1.7144	-0.5937	1	-4.7285	0.001486
All	Men	4	Previously	"smoking_status"	3	1	2008	2011	1.8739	-2.3572	6.2883	0	1.0092	0.342405
All	Men	4	Previously	"smoking_status"	3	2	2011	2014	-2.6729	-6.7152	1.5445	0	-1.4728	0.179025
All	Men	4	Previously	"smoking_status"	3	3	2014	2019	1.2401	0.2844	2.2050	1	2.9964	0.017166
All	Men	5	Previously	"smoking_status"	2	0	2001	2004	-7.4385	-10.0214	-4.7814	1	-6.0112	0.000088
All	Men	5	Previously	"smoking_status"	2	1	2004	2012	0.1077	-0.6467	0.8678	0	0.3132	0.760014
All	Men	5	Previously	"smoking_status"	2	2	2012	2019	1.9075	1.1395	2.6812	1	5.4981	0.000187
All	Women	1	Previously	"smoking_status"	2	0	2001	2004	-2.0781	-4.5620	0.4704	0	-1.7990	0.099486
All	Women	1	Previously	"smoking_status"	2	1	2004	2007	3.6535	-1.5384	9.1191	0	1.5370	0.152556
All	Women	1	Previously	"smoking_status"	2	2	2007	2019	-0.6163	-0.9179	-0.3139	1	-4.4782	0.000934
All	Women	2	Previously	"smoking_status"	1	0	2001	2004	-1.8783	-5.2177	1.5786	0	-1.1746	0.259760
All	Women	2	Previously	"smoking_status"	1	1	2004	2019	0.3176	0.0244	0.6116	1	2.3238	0.035701
All	Women	3	Previously	"smoking_status"	1	0	2001	2017	1.0458	0.6591	1.4341	1	5.8187	0.000045
All	Women	3	Previously	"smoking_status"	1	1	2017	2019	-5.1097	-14.1399	4.8702	0	-1.1249	0.279549
All	Women	4	Previously	"smoking_status"	0	0	2001	2019	0.7316	0.3592	1.1054	1	4.1523	0.000667
All	Women	5	Previously	"smoking_status"	2	0	2001	2009	-0.9340	-1.8243	-0.0357	1	-2.2879	0.042934
All	Women	5	Previously	"smoking_status"	2	1	2009	2016	2.0997	0.6817	3.5376	1	3.2702	0.007462
All	Women	5	Previously	"smoking_status"	2	2	2016	2019	-2.5610	-6.5097	1.5545	0	-1.3803	0.194899
