"age_group"	"sex"	"imd"	"level"	"variable"	"year"	"value"	"Model"	"Flag"	"APC"	"Joinpoints"	"Final Selected Model"
All	Men	2	Non-Drinker	"alcohol_amt"	2011	0.09	0.09	NA	0.2015	0	0
All	Men	2	Non-Drinker	"alcohol_amt"	2012	0.09	0.09	NA	0.2015	0	0
All	Men	2	Non-Drinker	"alcohol_amt"	2013	0.10	0.09	NA	0.2015	0	0
All	Men	2	Non-Drinker	"alcohol_amt"	2014	0.09	0.09	NA	0.2015	0	0
All	Men	2	Non-Drinker	"alcohol_amt"	2015	0.09	0.09	NA	0.2015	0	0
All	Men	2	Non-Drinker	"alcohol_amt"	2016	0.10	0.09	NA	0.2015	0	0
All	Men	2	Non-Drinker	"alcohol_amt"	2017	0.10	0.09	NA	0.2015	0	0
All	Men	2	Non-Drinker	"alcohol_amt"	2018	0.10	0.10	NA	0.2015	0	0
All	Men	2	Non-Drinker	"alcohol_amt"	2019	0.09	0.10	NA	0.2015	0	0
All	Men	3	Non-Drinker	"alcohol_amt"	2011	0.10	0.10	NA	5.8379*	1	1
All	Men	3	Non-Drinker	"alcohol_amt"	2012	0.11	0.11	NA	5.8379*	1	1
All	Men	3	Non-Drinker	"alcohol_amt"	2013	0.11	0.11	NA	5.8379*	1	1
All	Men	3	Non-Drinker	"alcohol_amt"	2014	0.12	0.12	NA	5.8379*	1	1
All	Men	3	Non-Drinker	"alcohol_amt"	2015	0.13	0.13	Joinpoint 1	NA	1	1
All	Men	3	Non-Drinker	"alcohol_amt"	2016	0.13	0.13	NA	2.5085*	1	1
All	Men	3	Non-Drinker	"alcohol_amt"	2017	0.13	0.13	NA	2.5085*	1	1
All	Men	3	Non-Drinker	"alcohol_amt"	2018	0.14	0.14	NA	2.5085*	1	1
All	Men	3	Non-Drinker	"alcohol_amt"	2019	0.14	0.14	NA	2.5085*	1	1
All	Men	4	Non-Drinker	"alcohol_amt"	2011	0.15	0.15	NA	2.7116*	0	0
All	Men	4	Non-Drinker	"alcohol_amt"	2012	0.15	0.16	NA	2.7116*	0	0
All	Men	4	Non-Drinker	"alcohol_amt"	2013	0.17	0.16	NA	2.7116*	0	0
All	Men	4	Non-Drinker	"alcohol_amt"	2014	0.17	0.17	NA	2.7116*	0	0
All	Men	4	Non-Drinker	"alcohol_amt"	2015	0.18	0.17	NA	2.7116*	0	0
All	Men	4	Non-Drinker	"alcohol_amt"	2016	0.17	0.18	NA	2.7116*	0	0
All	Men	4	Non-Drinker	"alcohol_amt"	2017	0.18	0.18	NA	2.7116*	0	0
All	Men	4	Non-Drinker	"alcohol_amt"	2018	0.19	0.19	NA	2.7116*	0	0
All	Men	4	Non-Drinker	"alcohol_amt"	2019	0.19	0.19	NA	2.7116*	0	0
All	Men	5	Non-Drinker	"alcohol_amt"	2011	0.25	0.26	NA	-0.7280	0	0
All	Men	5	Non-Drinker	"alcohol_amt"	2012	0.27	0.25	NA	-0.7280	0	0
All	Men	5	Non-Drinker	"alcohol_amt"	2013	0.26	0.25	NA	-0.7280	0	0
All	Men	5	Non-Drinker	"alcohol_amt"	2014	0.24	0.25	NA	-0.7280	0	0
All	Men	5	Non-Drinker	"alcohol_amt"	2015	0.23	0.25	NA	-0.7280	0	0
All	Men	5	Non-Drinker	"alcohol_amt"	2016	0.24	0.25	NA	-0.7280	0	0
All	Men	5	Non-Drinker	"alcohol_amt"	2017	0.25	0.24	NA	-0.7280	0	0
All	Men	5	Non-Drinker	"alcohol_amt"	2018	0.25	0.24	NA	-0.7280	0	0
All	Men	5	Non-Drinker	"alcohol_amt"	2019	0.25	0.24	NA	-0.7280	0	0
All	Women	1	Non-Drinker	"alcohol_amt"	2011	0.13	0.12	NA	2.4174*	0	0
All	Women	1	Non-Drinker	"alcohol_amt"	2012	0.12	0.13	NA	2.4174*	0	0
All	Women	1	Non-Drinker	"alcohol_amt"	2013	0.13	0.13	NA	2.4174*	0	0
All	Women	1	Non-Drinker	"alcohol_amt"	2014	0.13	0.13	NA	2.4174*	0	0
All	Women	1	Non-Drinker	"alcohol_amt"	2015	0.14	0.14	NA	2.4174*	0	0
All	Women	1	Non-Drinker	"alcohol_amt"	2016	0.14	0.14	NA	2.4174*	0	0
All	Women	1	Non-Drinker	"alcohol_amt"	2017	0.14	0.14	NA	2.4174*	0	0
All	Women	1	Non-Drinker	"alcohol_amt"	2018	0.15	0.15	NA	2.4174*	0	0
All	Women	1	Non-Drinker	"alcohol_amt"	2019	0.15	0.15	NA	2.4174*	0	0
All	Women	2	Non-Drinker	"alcohol_amt"	2011	0.15	0.15	NA	1.9138*	1	1
All	Women	2	Non-Drinker	"alcohol_amt"	2012	0.15	0.15	NA	1.9138*	1	1
All	Women	2	Non-Drinker	"alcohol_amt"	2013	0.15	0.15	NA	1.9138*	1	1
All	Women	2	Non-Drinker	"alcohol_amt"	2014	0.15	0.16	NA	1.9138*	1	1
All	Women	2	Non-Drinker	"alcohol_amt"	2015	0.16	0.16	NA	1.9138*	1	1
All	Women	2	Non-Drinker	"alcohol_amt"	2016	0.16	0.16	NA	1.9138*	1	1
All	Women	2	Non-Drinker	"alcohol_amt"	2017	0.17	0.16	Joinpoint 1	NA	1	1
All	Women	2	Non-Drinker	"alcohol_amt"	2018	0.15	0.15	NA	-7.3150	1	1
All	Women	2	Non-Drinker	"alcohol_amt"	2019	0.14	0.14	NA	-7.3150	1	1
All	Women	3	Non-Drinker	"alcohol_amt"	2011	0.19	0.19	NA	0.3056	1	1
All	Women	3	Non-Drinker	"alcohol_amt"	2012	0.19	0.19	NA	0.3056	1	1
All	Women	3	Non-Drinker	"alcohol_amt"	2013	0.20	0.19	NA	0.3056	1	1
All	Women	3	Non-Drinker	"alcohol_amt"	2014	0.19	0.19	NA	0.3056	1	1
All	Women	3	Non-Drinker	"alcohol_amt"	2015	0.19	0.19	NA	0.3056	1	1
All	Women	3	Non-Drinker	"alcohol_amt"	2016	0.19	0.19	NA	0.3056	1	1
All	Women	3	Non-Drinker	"alcohol_amt"	2017	0.19	0.19	Joinpoint 1	NA	1	1
All	Women	3	Non-Drinker	"alcohol_amt"	2018	0.21	0.20	NA	4.8854	1	1
All	Women	3	Non-Drinker	"alcohol_amt"	2019	0.21	0.21	NA	4.8854	1	1
All	Women	4	Non-Drinker	"alcohol_amt"	2011	0.24	0.24	NA	-0.9193	1	1
All	Women	4	Non-Drinker	"alcohol_amt"	2012	0.24	0.24	NA	-0.9193	1	1
All	Women	4	Non-Drinker	"alcohol_amt"	2013	0.24	0.24	NA	-0.9193	1	1
All	Women	4	Non-Drinker	"alcohol_amt"	2014	0.23	0.24	NA	-0.9193	1	1
All	Women	4	Non-Drinker	"alcohol_amt"	2015	0.23	0.23	Joinpoint 1	NA	1	1
All	Women	4	Non-Drinker	"alcohol_amt"	2016	0.24	0.24	NA	2.0129*	1	1
All	Women	4	Non-Drinker	"alcohol_amt"	2017	0.24	0.24	NA	2.0129*	1	1
All	Women	4	Non-Drinker	"alcohol_amt"	2018	0.25	0.25	NA	2.0129*	1	1
All	Women	4	Non-Drinker	"alcohol_amt"	2019	0.25	0.25	NA	2.0129*	1	1
All	Women	5	Non-Drinker	"alcohol_amt"	2011	0.33	0.33	NA	-1.2087*	1	1
All	Women	5	Non-Drinker	"alcohol_amt"	2012	0.33	0.33	NA	-1.2087*	1	1
All	Women	5	Non-Drinker	"alcohol_amt"	2013	0.32	0.32	NA	-1.2087*	1	1
All	Women	5	Non-Drinker	"alcohol_amt"	2014	0.32	0.32	NA	-1.2087*	1	1
All	Women	5	Non-Drinker	"alcohol_amt"	2015	0.32	0.32	NA	-1.2087*	1	1
All	Women	5	Non-Drinker	"alcohol_amt"	2016	0.31	0.31	Joinpoint 1	NA	1	1
All	Women	5	Non-Drinker	"alcohol_amt"	2017	0.32	0.32	NA	1.5555	1	1
All	Women	5	Non-Drinker	"alcohol_amt"	2018	0.32	0.32	NA	1.5555	1	1
All	Women	5	Non-Drinker	"alcohol_amt"	2019	0.33	0.33	NA	1.5555	1	1
All	Men	1	Healthy Weight	"bmi"	2001	0.28	0.27	NA	0.8695*	2	2
All	Men	1	Healthy Weight	"bmi"	2002	0.28	0.28	NA	0.8695*	2	2
All	Men	1	Healthy Weight	"bmi"	2003	0.28	0.28	NA	0.8695*	2	2
All	Men	1	Healthy Weight	"bmi"	2004	0.28	0.28	NA	0.8695*	2	2
All	Men	1	Healthy Weight	"bmi"	2005	0.28	0.28	NA	0.8695*	2	2
All	Men	1	Healthy Weight	"bmi"	2006	0.29	0.29	Joinpoint 1	NA	2	2
All	Men	1	Healthy Weight	"bmi"	2007	0.28	0.28	NA	-2.5734	2	2
All	Men	1	Healthy Weight	"bmi"	2008	0.27	0.27	NA	-2.5734	2	2
All	Men	1	Healthy Weight	"bmi"	2009	0.26	0.26	Joinpoint 2	NA	2	2
All	Men	1	Healthy Weight	"bmi"	2010	0.26	0.27	NA	0.8464*	2	2
All	Men	1	Healthy Weight	"bmi"	2011	0.27	0.27	NA	0.8464*	2	2
All	Men	1	Healthy Weight	"bmi"	2012	0.27	0.27	NA	0.8464*	2	2
All	Men	1	Healthy Weight	"bmi"	2013	0.27	0.27	NA	0.8464*	2	2
All	Men	1	Healthy Weight	"bmi"	2014	0.27	0.28	NA	0.8464*	2	2
All	Men	1	Healthy Weight	"bmi"	2015	0.28	0.28	NA	0.8464*	2	2
All	Men	1	Healthy Weight	"bmi"	2016	0.29	0.28	NA	0.8464*	2	2
All	Men	1	Healthy Weight	"bmi"	2017	0.28	0.28	NA	0.8464*	2	2
All	Men	1	Healthy Weight	"bmi"	2018	0.28	0.28	NA	0.8464*	2	2
All	Men	1	Healthy Weight	"bmi"	2019	0.28	0.29	NA	0.8464*	2	2
All	Men	2	Healthy Weight	"bmi"	2001	0.28	0.29	NA	-1.4225*	2	2
All	Men	2	Healthy Weight	"bmi"	2002	0.29	0.29	NA	-1.4225*	2	2
All	Men	2	Healthy Weight	"bmi"	2003	0.28	0.28	NA	-1.4225*	2	2
All	Men	2	Healthy Weight	"bmi"	2004	0.29	0.28	NA	-1.4225*	2	2
All	Men	2	Healthy Weight	"bmi"	2005	0.27	0.28	NA	-1.4225*	2	2
All	Men	2	Healthy Weight	"bmi"	2006	0.28	0.27	NA	-1.4225*	2	2
All	Men	2	Healthy Weight	"bmi"	2007	0.27	0.27	NA	-1.4225*	2	2
All	Men	2	Healthy Weight	"bmi"	2008	0.27	0.26	NA	-1.4225*	2	2
All	Men	2	Healthy Weight	"bmi"	2009	0.25	0.26	Joinpoint 1	NA	2	2
All	Men	2	Healthy Weight	"bmi"	2010	0.26	0.26	NA	1.1945*	2	2
All	Men	2	Healthy Weight	"bmi"	2011	0.26	0.27	NA	1.1945*	2	2
All	Men	2	Healthy Weight	"bmi"	2012	0.28	0.27	NA	1.1945*	2	2
All	Men	2	Healthy Weight	"bmi"	2013	0.27	0.27	NA	1.1945*	2	2
All	Men	2	Healthy Weight	"bmi"	2014	0.28	0.28	NA	1.1945*	2	2
All	Men	2	Healthy Weight	"bmi"	2015	0.28	0.28	NA	1.1945*	2	2
All	Men	2	Healthy Weight	"bmi"	2016	0.28	0.28	NA	1.1945*	2	2
All	Men	2	Healthy Weight	"bmi"	2017	0.29	0.29	Joinpoint 2	NA	2	2
All	Men	2	Healthy Weight	"bmi"	2018	0.28	0.28	NA	-2.4187	2	2
All	Men	2	Healthy Weight	"bmi"	2019	0.27	0.27	NA	-2.4187	2	2
All	Men	3	Healthy Weight	"bmi"	2001	0.29	0.29	NA	0.3827	3	3
All	Men	3	Healthy Weight	"bmi"	2002	0.30	0.30	NA	0.3827	3	3
All	Men	3	Healthy Weight	"bmi"	2003	0.30	0.30	NA	0.3827	3	3
All	Men	3	Healthy Weight	"bmi"	2004	0.30	0.30	NA	0.3827	3	3
All	Men	3	Healthy Weight	"bmi"	2005	0.29	0.30	NA	0.3827	3	3
All	Men	3	Healthy Weight	"bmi"	2006	0.30	0.30	Joinpoint 1	NA	3	3
All	Men	3	Healthy Weight	"bmi"	2007	0.30	0.30	NA	-1.5143*	3	3
All	Men	3	Healthy Weight	"bmi"	2008	0.30	0.29	NA	-1.5143*	3	3
All	Men	3	Healthy Weight	"bmi"	2009	0.28	0.29	NA	-1.5143*	3	3
All	Men	3	Healthy Weight	"bmi"	2010	0.28	0.28	NA	-1.5143*	3	3
All	Men	3	Healthy Weight	"bmi"	2011	0.28	0.28	NA	-1.5143*	3	3
All	Men	3	Healthy Weight	"bmi"	2012	0.27	0.27	NA	-1.5143*	3	3
All	Men	3	Healthy Weight	"bmi"	2013	0.27	0.27	NA	-1.5143*	3	3
All	Men	3	Healthy Weight	"bmi"	2014	0.27	0.27	Joinpoint 2	NA	3	3
All	Men	3	Healthy Weight	"bmi"	2015	0.28	0.28	NA	5.9919*	3	3
All	Men	3	Healthy Weight	"bmi"	2016	0.30	0.30	NA	5.9919*	3	3
All	Men	3	Healthy Weight	"bmi"	2017	0.32	0.32	Joinpoint 3	NA	3	3
All	Men	3	Healthy Weight	"bmi"	2018	0.30	0.30	NA	-3.9134*	3	3
All	Men	3	Healthy Weight	"bmi"	2019	0.29	0.29	NA	-3.9134*	3	3
All	Men	4	Healthy Weight	"bmi"	2001	0.30	0.30	NA	1.3158*	1	1
All	Men	4	Healthy Weight	"bmi"	2002	0.31	0.31	NA	1.3158*	1	1
All	Men	4	Healthy Weight	"bmi"	2003	0.32	0.31	NA	1.3158*	1	1
All	Men	4	Healthy Weight	"bmi"	2004	0.32	0.32	NA	1.3158*	1	1
All	Men	4	Healthy Weight	"bmi"	2005	0.32	0.32	NA	1.3158*	1	1
All	Men	4	Healthy Weight	"bmi"	2006	0.31	0.32	NA	1.3158*	1	1
All	Men	4	Healthy Weight	"bmi"	2007	0.32	0.33	NA	1.3158*	1	1
All	Men	4	Healthy Weight	"bmi"	2008	0.34	0.33	NA	1.3158*	1	1
All	Men	4	Healthy Weight	"bmi"	2009	0.34	0.34	NA	1.3158*	1	1
All	Men	4	Healthy Weight	"bmi"	2010	0.34	0.34	Joinpoint 1	NA	1	1
All	Men	4	Healthy Weight	"bmi"	2011	0.33	0.34	NA	-1.6926*	1	1
All	Men	4	Healthy Weight	"bmi"	2012	0.34	0.33	NA	-1.6926*	1	1
All	Men	4	Healthy Weight	"bmi"	2013	0.34	0.33	NA	-1.6926*	1	1
All	Men	4	Healthy Weight	"bmi"	2014	0.32	0.32	NA	-1.6926*	1	1
All	Men	4	Healthy Weight	"bmi"	2015	0.31	0.31	NA	-1.6926*	1	1
All	Men	4	Healthy Weight	"bmi"	2016	0.30	0.31	NA	-1.6926*	1	1
All	Men	4	Healthy Weight	"bmi"	2017	0.30	0.30	NA	-1.6926*	1	1
All	Men	4	Healthy Weight	"bmi"	2018	0.30	0.30	NA	-1.6926*	1	1
All	Men	4	Healthy Weight	"bmi"	2019	0.30	0.29	NA	-1.6926*	1	1
All	Men	5	Healthy Weight	"bmi"	2001	0.32	0.33	NA	-0.0734	1	1
All	Men	5	Healthy Weight	"bmi"	2002	0.33	0.33	NA	-0.0734	1	1
All	Men	5	Healthy Weight	"bmi"	2003	0.33	0.33	NA	-0.0734	1	1
All	Men	5	Healthy Weight	"bmi"	2004	0.34	0.33	NA	-0.0734	1	1
All	Men	5	Healthy Weight	"bmi"	2005	0.34	0.33	NA	-0.0734	1	1
All	Men	5	Healthy Weight	"bmi"	2006	0.36	0.33	NA	-0.0734	1	1
All	Men	5	Healthy Weight	"bmi"	2007	0.34	0.33	NA	-0.0734	1	1
All	Men	5	Healthy Weight	"bmi"	2008	0.34	0.33	NA	-0.0734	1	1
All	Men	5	Healthy Weight	"bmi"	2009	0.30	0.33	NA	-0.0734	1	1
All	Men	5	Healthy Weight	"bmi"	2010	0.33	0.33	NA	-0.0734	1	1
All	Men	5	Healthy Weight	"bmi"	2011	0.33	0.33	NA	-0.0734	1	1
All	Men	5	Healthy Weight	"bmi"	2012	0.33	0.33	NA	-0.0734	1	1
All	Men	5	Healthy Weight	"bmi"	2013	0.33	0.33	Joinpoint 1	NA	1	1
All	Men	5	Healthy Weight	"bmi"	2014	0.33	0.32	NA	-2.8890*	1	1
All	Men	5	Healthy Weight	"bmi"	2015	0.33	0.31	NA	-2.8890*	1	1
All	Men	5	Healthy Weight	"bmi"	2016	0.29	0.30	NA	-2.8890*	1	1
All	Men	5	Healthy Weight	"bmi"	2017	0.28	0.29	NA	-2.8890*	1	1
All	Men	5	Healthy Weight	"bmi"	2018	0.28	0.29	NA	-2.8890*	1	1
All	Men	5	Healthy Weight	"bmi"	2019	0.29	0.28	NA	-2.8890*	1	1
All	Women	1	Healthy Weight	"bmi"	2001	0.46	0.46	NA	-1.0090*	2	2
All	Women	1	Healthy Weight	"bmi"	2002	0.46	0.45	NA	-1.0090*	2	2
All	Women	1	Healthy Weight	"bmi"	2003	0.45	0.45	NA	-1.0090*	2	2
All	Women	1	Healthy Weight	"bmi"	2004	0.44	0.44	NA	-1.0090*	2	2
All	Women	1	Healthy Weight	"bmi"	2005	0.44	0.44	NA	-1.0090*	2	2
All	Women	1	Healthy Weight	"bmi"	2006	0.43	0.43	NA	-1.0090*	2	2
All	Women	1	Healthy Weight	"bmi"	2007	0.42	0.43	NA	-1.0090*	2	2
All	Women	1	Healthy Weight	"bmi"	2008	0.42	0.43	NA	-1.0090*	2	2
All	Women	1	Healthy Weight	"bmi"	2009	0.43	0.42	NA	-1.0090*	2	2
All	Women	1	Healthy Weight	"bmi"	2010	0.42	0.42	Joinpoint 1	NA	2	2
All	Women	1	Healthy Weight	"bmi"	2011	0.42	0.43	NA	2.3829	2	2
All	Women	1	Healthy Weight	"bmi"	2012	0.43	0.44	NA	2.3829	2	2
All	Women	1	Healthy Weight	"bmi"	2013	0.45	0.45	Joinpoint 2	NA	2	2
All	Women	1	Healthy Weight	"bmi"	2014	0.45	0.44	NA	-0.9288*	2	2
All	Women	1	Healthy Weight	"bmi"	2015	0.44	0.44	NA	-0.9288*	2	2
All	Women	1	Healthy Weight	"bmi"	2016	0.43	0.44	NA	-0.9288*	2	2
All	Women	1	Healthy Weight	"bmi"	2017	0.43	0.43	NA	-0.9288*	2	2
All	Women	1	Healthy Weight	"bmi"	2018	0.43	0.43	NA	-0.9288*	2	2
All	Women	1	Healthy Weight	"bmi"	2019	0.43	0.42	NA	-0.9288*	2	2
All	Women	2	Healthy Weight	"bmi"	2001	0.42	0.42	NA	-3.3135*	2	2
All	Women	2	Healthy Weight	"bmi"	2002	0.41	0.41	NA	-3.3135*	2	2
All	Women	2	Healthy Weight	"bmi"	2003	0.39	0.39	NA	-3.3135*	2	2
All	Women	2	Healthy Weight	"bmi"	2004	0.38	0.38	Joinpoint 1	NA	2	2
All	Women	2	Healthy Weight	"bmi"	2005	0.39	0.39	NA	3.8336*	2	2
All	Women	2	Healthy Weight	"bmi"	2006	0.41	0.41	NA	3.8336*	2	2
All	Women	2	Healthy Weight	"bmi"	2007	0.43	0.43	NA	3.8336*	2	2
All	Women	2	Healthy Weight	"bmi"	2008	0.45	0.44	Joinpoint 2	NA	2	2
All	Women	2	Healthy Weight	"bmi"	2009	0.44	0.44	NA	-1.1872*	2	2
All	Women	2	Healthy Weight	"bmi"	2010	0.44	0.43	NA	-1.1872*	2	2
All	Women	2	Healthy Weight	"bmi"	2011	0.42	0.43	NA	-1.1872*	2	2
All	Women	2	Healthy Weight	"bmi"	2012	0.41	0.42	NA	-1.1872*	2	2
All	Women	2	Healthy Weight	"bmi"	2013	0.41	0.42	NA	-1.1872*	2	2
All	Women	2	Healthy Weight	"bmi"	2014	0.41	0.41	NA	-1.1872*	2	2
All	Women	2	Healthy Weight	"bmi"	2015	0.41	0.41	NA	-1.1872*	2	2
All	Women	2	Healthy Weight	"bmi"	2016	0.41	0.40	NA	-1.1872*	2	2
All	Women	2	Healthy Weight	"bmi"	2017	0.40	0.40	NA	-1.1872*	2	2
All	Women	2	Healthy Weight	"bmi"	2018	0.39	0.39	NA	-1.1872*	2	2
All	Women	2	Healthy Weight	"bmi"	2019	0.39	0.39	NA	-1.1872*	2	2
All	Women	3	Healthy Weight	"bmi"	2001	0.42	0.43	NA	-1.7941*	2	2
All	Women	3	Healthy Weight	"bmi"	2002	0.42	0.42	NA	-1.7941*	2	2
All	Women	3	Healthy Weight	"bmi"	2003	0.41	0.41	NA	-1.7941*	2	2
All	Women	3	Healthy Weight	"bmi"	2004	0.40	0.40	NA	-1.7941*	2	2
All	Women	3	Healthy Weight	"bmi"	2005	0.39	0.40	Joinpoint 1	NA	2	2
All	Women	3	Healthy Weight	"bmi"	2006	0.39	0.39	NA	-0.5586*	2	2
All	Women	3	Healthy Weight	"bmi"	2007	0.39	0.39	NA	-0.5586*	2	2
All	Women	3	Healthy Weight	"bmi"	2008	0.40	0.39	NA	-0.5586*	2	2
All	Women	3	Healthy Weight	"bmi"	2009	0.39	0.39	NA	-0.5586*	2	2
All	Women	3	Healthy Weight	"bmi"	2010	0.38	0.38	NA	-0.5586*	2	2
All	Women	3	Healthy Weight	"bmi"	2011	0.38	0.38	NA	-0.5586*	2	2
All	Women	3	Healthy Weight	"bmi"	2012	0.39	0.38	NA	-0.5586*	2	2
All	Women	3	Healthy Weight	"bmi"	2013	0.38	0.38	NA	-0.5586*	2	2
All	Women	3	Healthy Weight	"bmi"	2014	0.37	0.38	NA	-0.5586*	2	2
All	Women	3	Healthy Weight	"bmi"	2015	0.37	0.37	NA	-0.5586*	2	2
All	Women	3	Healthy Weight	"bmi"	2016	0.37	0.37	Joinpoint 2	NA	2	2
All	Women	3	Healthy Weight	"bmi"	2017	0.36	0.36	NA	-3.8055*	2	2
All	Women	3	Healthy Weight	"bmi"	2018	0.34	0.34	NA	-3.8055*	2	2
All	Women	3	Healthy Weight	"bmi"	2019	0.33	0.33	NA	-3.8055*	2	2
All	Women	4	Healthy Weight	"bmi"	2001	0.38	0.39	NA	0.7992	3	3
All	Women	4	Healthy Weight	"bmi"	2002	0.39	0.39	NA	0.7992	3	3
All	Women	4	Healthy Weight	"bmi"	2003	0.40	0.39	NA	0.7992	3	3
All	Women	4	Healthy Weight	"bmi"	2004	0.40	0.40	NA	0.7992	3	3
All	Women	4	Healthy Weight	"bmi"	2005	0.40	0.40	Joinpoint 1	NA	3	3
All	Women	4	Healthy Weight	"bmi"	2006	0.38	0.38	NA	-3.6190*	3	3
All	Women	4	Healthy Weight	"bmi"	2007	0.38	0.37	NA	-3.6190*	3	3
All	Women	4	Healthy Weight	"bmi"	2008	0.35	0.36	NA	-3.6190*	3	3
All	Women	4	Healthy Weight	"bmi"	2009	0.35	0.34	NA	-3.6190*	3	3
All	Women	4	Healthy Weight	"bmi"	2010	0.33	0.33	Joinpoint 2	NA	3	3
All	Women	4	Healthy Weight	"bmi"	2011	0.35	0.35	NA	4.7411	3	3
All	Women	4	Healthy Weight	"bmi"	2012	0.36	0.36	NA	4.7411	3	3
All	Women	4	Healthy Weight	"bmi"	2013	0.38	0.38	Joinpoint 3	NA	3	3
All	Women	4	Healthy Weight	"bmi"	2014	0.38	0.38	NA	-1.3464	3	3
All	Women	4	Healthy Weight	"bmi"	2015	0.38	0.37	NA	-1.3464	3	3
All	Women	4	Healthy Weight	"bmi"	2016	0.36	0.37	NA	-1.3464	3	3
All	Women	4	Healthy Weight	"bmi"	2017	0.35	0.36	NA	-1.3464	3	3
All	Women	4	Healthy Weight	"bmi"	2018	0.35	0.36	NA	-1.3464	3	3
All	Women	4	Healthy Weight	"bmi"	2019	0.37	0.35	NA	-1.3464	3	3
All	Women	5	Healthy Weight	"bmi"	2001	0.37	0.37	NA	0.8062	2	2
All	Women	5	Healthy Weight	"bmi"	2002	0.37	0.37	NA	0.8062	2	2
All	Women	5	Healthy Weight	"bmi"	2003	0.36	0.37	NA	0.8062	2	2
All	Women	5	Healthy Weight	"bmi"	2004	0.38	0.38	NA	0.8062	2	2
All	Women	5	Healthy Weight	"bmi"	2005	0.38	0.38	NA	0.8062	2	2
All	Women	5	Healthy Weight	"bmi"	2006	0.39	0.38	Joinpoint 1	NA	2	2
All	Women	5	Healthy Weight	"bmi"	2007	0.37	0.37	NA	-2.4333*	2	2
All	Women	5	Healthy Weight	"bmi"	2008	0.36	0.36	NA	-2.4333*	2	2
All	Women	5	Healthy Weight	"bmi"	2009	0.35	0.36	NA	-2.4333*	2	2
All	Women	5	Healthy Weight	"bmi"	2010	0.35	0.35	NA	-2.4333*	2	2
All	Women	5	Healthy Weight	"bmi"	2011	0.34	0.34	NA	-2.4333*	2	2
All	Women	5	Healthy Weight	"bmi"	2012	0.33	0.33	NA	-2.4333*	2	2
All	Women	5	Healthy Weight	"bmi"	2013	0.32	0.32	Joinpoint 2	NA	2	2
All	Women	5	Healthy Weight	"bmi"	2014	0.32	0.32	NA	-0.5103	2	2
All	Women	5	Healthy Weight	"bmi"	2015	0.33	0.32	NA	-0.5103	2	2
All	Women	5	Healthy Weight	"bmi"	2016	0.31	0.32	NA	-0.5103	2	2
All	Women	5	Healthy Weight	"bmi"	2017	0.32	0.32	NA	-0.5103	2	2
All	Women	5	Healthy Weight	"bmi"	2018	0.31	0.31	NA	-0.5103	2	2
All	Women	5	Healthy Weight	"bmi"	2019	0.31	0.31	NA	-0.5103	2	2
All	Men	1	Obese	"bmi"	2001	0.21	0.21	NA	1.3408*	1	1
All	Men	1	Obese	"bmi"	2002	0.21	0.21	NA	1.3408*	1	1
All	Men	1	Obese	"bmi"	2003	0.22	0.22	NA	1.3408*	1	1
All	Men	1	Obese	"bmi"	2004	0.22	0.22	NA	1.3408*	1	1
All	Men	1	Obese	"bmi"	2005	0.22	0.22	NA	1.3408*	1	1
All	Men	1	Obese	"bmi"	2006	0.22	0.22	NA	1.3408*	1	1
All	Men	1	Obese	"bmi"	2007	0.23	0.23	NA	1.3408*	1	1
All	Men	1	Obese	"bmi"	2008	0.23	0.23	NA	1.3408*	1	1
All	Men	1	Obese	"bmi"	2009	0.25	0.23	NA	1.3408*	1	1
All	Men	1	Obese	"bmi"	2010	0.24	0.24	NA	1.3408*	1	1
All	Men	1	Obese	"bmi"	2011	0.25	0.24	NA	1.3408*	1	1
All	Men	1	Obese	"bmi"	2012	0.24	0.24	NA	1.3408*	1	1
All	Men	1	Obese	"bmi"	2013	0.24	0.25	NA	1.3408*	1	1
All	Men	1	Obese	"bmi"	2014	0.24	0.25	NA	1.3408*	1	1
All	Men	1	Obese	"bmi"	2015	0.25	0.25	NA	1.3408*	1	1
All	Men	1	Obese	"bmi"	2016	0.26	0.26	NA	1.3408*	1	1
All	Men	1	Obese	"bmi"	2017	0.26	0.26	Joinpoint 1	NA	1	1
All	Men	1	Obese	"bmi"	2018	0.25	0.25	NA	-5.1492	1	1
All	Men	1	Obese	"bmi"	2019	0.23	0.23	NA	-5.1492	1	1
All	Men	2	Obese	"bmi"	2001	0.25	0.25	NA	-2.2550	3	3
All	Men	2	Obese	"bmi"	2002	0.24	0.24	NA	-2.2550	3	3
All	Men	2	Obese	"bmi"	2003	0.24	0.24	NA	-2.2550	3	3
All	Men	2	Obese	"bmi"	2004	0.23	0.23	Joinpoint 1	NA	3	3
All	Men	2	Obese	"bmi"	2005	0.24	0.24	NA	3.3859*	3	3
All	Men	2	Obese	"bmi"	2006	0.25	0.25	NA	3.3859*	3	3
All	Men	2	Obese	"bmi"	2007	0.26	0.26	NA	3.3859*	3	3
All	Men	2	Obese	"bmi"	2008	0.27	0.27	NA	3.3859*	3	3
All	Men	2	Obese	"bmi"	2009	0.27	0.27	Joinpoint 2	NA	3	3
All	Men	2	Obese	"bmi"	2010	0.26	0.26	NA	-3.8198	3	3
All	Men	2	Obese	"bmi"	2011	0.25	0.25	NA	-3.8198	3	3
All	Men	2	Obese	"bmi"	2012	0.24	0.24	Joinpoint 3	NA	3	3
