"Year","Country","Cancer_Site","Sex","ASR"
2016,"Nothern Ireland","Oesophageal","Men",21.3
2017,"Nothern Ireland","Oesophageal","Men",23.2
2018,"Nothern Ireland","Oesophageal","Men",20.8
2019,"Nothern Ireland","Oesophageal","Men",18.8
2000,"Nothern Ireland","Oesophageal","Women",10.3
2001,"Nothern Ireland","Oesophageal","Women",9
2002,"Nothern Ireland","Oesophageal","Women",8
2003,"Nothern Ireland","Oesophageal","Women",7.2
2004,"Nothern Ireland","Oesophageal","Women",7.4
2005,"Nothern Ireland","Oesophageal","Women",6.8
2006,"Nothern Ireland","Oesophageal","Women",7.7
2007,"Nothern Ireland","Oesophageal","Women",9.5
2008,"Nothern Ireland","Oesophageal","Women",8.1
2009,"Nothern Ireland","Oesophageal","Women",7.7
2010,"Nothern Ireland","Oesophageal","Women",8.5
2011,"Nothern Ireland","Oesophageal","Women",7.7
2012,"Nothern Ireland","Oesophageal","Women",9.2
2013,"Nothern Ireland","Oesophageal","Women",8
2014,"Nothern Ireland","Oesophageal","Women",8.3
2015,"Nothern Ireland","Oesophageal","Women",8.8
2016,"Nothern Ireland","Oesophageal","Women",8
2017,"Nothern Ireland","Oesophageal","Women",5.7
2018,"Nothern Ireland","Oesophageal","Women",6.8
2019,"Nothern Ireland","Oesophageal","Women",6.4
2000,"Scotland","Oesophageal","Men",24.8148947056447
2001,"Scotland","Oesophageal","Men",26.8456230191013
2002,"Scotland","Oesophageal","Men",28.1971114620352
2003,"Scotland","Oesophageal","Men",28.3208961059138
2004,"Scotland","Oesophageal","Men",29.2222739287572
2005,"Scotland","Oesophageal","Men",26.8685572146307
2006,"Scotland","Oesophageal","Men",27.3482946518771
2007,"Scotland","Oesophageal","Men",26.8316991640173
2008,"Scotland","Oesophageal","Men",27.0408475196566
2009,"Scotland","Oesophageal","Men",26.3604004582325
2010,"Scotland","Oesophageal","Men",26.4591965232407
2011,"Scotland","Oesophageal","Men",25.296146955539
2012,"Scotland","Oesophageal","Men",27.0209975695306
2013,"Scotland","Oesophageal","Men",25.8048542206649
2014,"Scotland","Oesophageal","Men",27.8921159443546
2015,"Scotland","Oesophageal","Men",26.2630712258141
2016,"Scotland","Oesophageal","Men",24.9414847971693
2017,"Scotland","Oesophageal","Men",27.6007156766848
2018,"Scotland","Oesophageal","Men",24.0963716299474
2019,"Scotland","Oesophageal","Men",22.5452675831656
2000,"Scotland","Oesophageal","Women",11.8508605532772
2001,"Scotland","Oesophageal","Women",11.9091094340045
2002,"Scotland","Oesophageal","Women",12.4872702278745
2003,"Scotland","Oesophageal","Women",11.9492602298603
2004,"Scotland","Oesophageal","Women",13.1767202229559
2005,"Scotland","Oesophageal","Women",12.1796612995796
2006,"Scotland","Oesophageal","Women",12.0904018129578
2007,"Scotland","Oesophageal","Women",11.4653437345708
2008,"Scotland","Oesophageal","Women",10.7260236793531
2009,"Scotland","Oesophageal","Women",11.4138768004349
2010,"Scotland","Oesophageal","Women",12.5669222803241
2011,"Scotland","Oesophageal","Women",11.0340771744555
2012,"Scotland","Oesophageal","Women",11.3854248772783
2013,"Scotland","Oesophageal","Women",12.5367477210898
2014,"Scotland","Oesophageal","Women",11.0133429999155
2015,"Scotland","Oesophageal","Women",11.6610187015972
2016,"Scotland","Oesophageal","Women",9.9976121576374
2017,"Scotland","Oesophageal","Women",10.9932797060488
2018,"Scotland","Oesophageal","Women",10.0011371731253
2019,"Scotland","Oesophageal","Women",9.19223887634859
2002,"Wales","Oesophageal","Men",22.5
2003,"Wales","Oesophageal","Men",23.4
2004,"Wales","Oesophageal","Men",22
2005,"Wales","Oesophageal","Men",21.1
2006,"Wales","Oesophageal","Men",24
2007,"Wales","Oesophageal","Men",24.6
2008,"Wales","Oesophageal","Men",24.1
2009,"Wales","Oesophageal","Men",23.4
2010,"Wales","Oesophageal","Men",23.6
2011,"Wales","Oesophageal","Men",19.4
2012,"Wales","Oesophageal","Men",20.5
2013,"Wales","Oesophageal","Men",19.4
2014,"Wales","Oesophageal","Men",22
2015,"Wales","Oesophageal","Men",22.2
2016,"Wales","Oesophageal","Men",19.1
2017,"Wales","Oesophageal","Men",20.4
2018,"Wales","Oesophageal","Men",22.9
2019,"Wales","Oesophageal","Men",20.2
2002,"Wales","Oesophageal","Women",12
2003,"Wales","Oesophageal","Women",10.2
2004,"Wales","Oesophageal","Women",9.9
2005,"Wales","Oesophageal","Women",10
2006,"Wales","Oesophageal","Women",10.4
2007,"Wales","Oesophageal","Women",10.1
2008,"Wales","Oesophageal","Women",10.2
2009,"Wales","Oesophageal","Women",10.2
2010,"Wales","Oesophageal","Women",9.1
2011,"Wales","Oesophageal","Women",10.3
2012,"Wales","Oesophageal","Women",8.2
2013,"Wales","Oesophageal","Women",8.6
2014,"Wales","Oesophageal","Women",8.8
2015,"Wales","Oesophageal","Women",9.5
2016,"Wales","Oesophageal","Women",8.5
2017,"Wales","Oesophageal","Women",8.6
2018,"Wales","Oesophageal","Women",8.7
2019,"Wales","Oesophageal","Women",7.6
2000,"England","Pancreatic","Men",17.1
2001,"England","Pancreatic","Men",16.7
2002,"England","Pancreatic","Men",16.8
2003,"England","Pancreatic","Men",16.3
2004,"England","Pancreatic","Men",17.2
2005,"England","Pancreatic","Men",16.9
2006,"England","Pancreatic","Men",17.5
2007,"England","Pancreatic","Men",17
2008,"England","Pancreatic","Men",18.1
2009,"England","Pancreatic","Men",17.9
2010,"England","Pancreatic","Men",17.8
2011,"England","Pancreatic","Men",18
2012,"England","Pancreatic","Men",18.7
2013,"England","Pancreatic","Men",19.3
2014,"England","Pancreatic","Men",18.8
2015,"England","Pancreatic","Men",19
2016,"England","Pancreatic","Men",19.7
2017,"England","Pancreatic","Men",19.8
2018,"England","Pancreatic","Men",19.5
2019,"England","Pancreatic","Men",19.5
2000,"England","Pancreatic","Women",13
2001,"England","Pancreatic","Women",12.9
2002,"England","Pancreatic","Women",12.7
2003,"England","Pancreatic","Women",13
2004,"England","Pancreatic","Women",13.5
2005,"England","Pancreatic","Women",13.8
2006,"England","Pancreatic","Women",14.2
2007,"England","Pancreatic","Women",14
2008,"England","Pancreatic","Women",14.4
2009,"England","Pancreatic","Women",14.6
2010,"England","Pancreatic","Women",14.4
2011,"England","Pancreatic","Women",14.8
2012,"England","Pancreatic","Women",15
2013,"England","Pancreatic","Women",15.5
2014,"England","Pancreatic","Women",15.2
2015,"England","Pancreatic","Women",15.6
2016,"England","Pancreatic","Women",15.2
2017,"England","Pancreatic","Women",15.5
2018,"England","Pancreatic","Women",15.1
2019,"England","Pancreatic","Women",15.6
2000,"Nothern Ireland","Pancreatic","Men",13.3
2001,"Nothern Ireland","Pancreatic","Men",19.3
2002,"Nothern Ireland","Pancreatic","Men",16.5
2003,"Nothern Ireland","Pancreatic","Men",11
2004,"Nothern Ireland","Pancreatic","Men",13.3
2005,"Nothern Ireland","Pancreatic","Men",18.7
2006,"Nothern Ireland","Pancreatic","Men",17.6
2007,"Nothern Ireland","Pancreatic","Men",19.2
2008,"Nothern Ireland","Pancreatic","Men",19.4
2009,"Nothern Ireland","Pancreatic","Men",20.4
2010,"Nothern Ireland","Pancreatic","Men",14.8
2011,"Nothern Ireland","Pancreatic","Men",15.4
2012,"Nothern Ireland","Pancreatic","Men",19.2
2013,"Nothern Ireland","Pancreatic","Men",16.9
2014,"Nothern Ireland","Pancreatic","Men",17.5
2015,"Nothern Ireland","Pancreatic","Men",22.3
2016,"Nothern Ireland","Pancreatic","Men",20
2017,"Nothern Ireland","Pancreatic","Men",20.4
2018,"Nothern Ireland","Pancreatic","Men",21.2
2019,"Nothern Ireland","Pancreatic","Men",17.8
2000,"Nothern Ireland","Pancreatic","Women",11.7
2001,"Nothern Ireland","Pancreatic","Women",10.8
2002,"Nothern Ireland","Pancreatic","Women",12.7
2003,"Nothern Ireland","Pancreatic","Women",13.8
2004,"Nothern Ireland","Pancreatic","Women",11.4
2005,"Nothern Ireland","Pancreatic","Women",11.2
2006,"Nothern Ireland","Pancreatic","Women",13.6
2007,"Nothern Ireland","Pancreatic","Women",11.4
2008,"Nothern Ireland","Pancreatic","Women",14.9
2009,"Nothern Ireland","Pancreatic","Women",13.1
2010,"Nothern Ireland","Pancreatic","Women",13.4
2011,"Nothern Ireland","Pancreatic","Women",14.8
2012,"Nothern Ireland","Pancreatic","Women",15.9
2013,"Nothern Ireland","Pancreatic","Women",16
2014,"Nothern Ireland","Pancreatic","Women",15.6
2015,"Nothern Ireland","Pancreatic","Women",15.5
2016,"Nothern Ireland","Pancreatic","Women",13.3
2017,"Nothern Ireland","Pancreatic","Women",13.9
2018,"Nothern Ireland","Pancreatic","Women",13
2019,"Nothern Ireland","Pancreatic","Women",14.7
2000,"Scotland","Pancreatic","Men",18.8190491806032
2001,"Scotland","Pancreatic","Men",15.0470503530667
2002,"Scotland","Pancreatic","Men",16.069193249565
2003,"Scotland","Pancreatic","Men",16.7418155549942
2004,"Scotland","Pancreatic","Men",15.7151031566863
2005,"Scotland","Pancreatic","Men",15.5640591615735
2006,"Scotland","Pancreatic","Men",16.0534410504791
2007,"Scotland","Pancreatic","Men",16.4801217279969
2008,"Scotland","Pancreatic","Men",18.1868495141267
2009,"Scotland","Pancreatic","Men",18.6374857278266
2010,"Scotland","Pancreatic","Men",17.5694223842243
2011,"Scotland","Pancreatic","Men",18.3766507722662
2012,"Scotland","Pancreatic","Men",17.9716253136936
2013,"Scotland","Pancreatic","Men",18.6664097796914
2014,"Scotland","Pancreatic","Men",17.5552841284319
2015,"Scotland","Pancreatic","Men",18.1548144111018
2016,"Scotland","Pancreatic","Men",17.9938054268577
2017,"Scotland","Pancreatic","Men",17.5725072826721
2018,"Scotland","Pancreatic","Men",17.9902083658818
2019,"Scotland","Pancreatic","Men",19.2241533861911
2000,"Scotland","Pancreatic","Women",13.2197806573946
2001,"Scotland","Pancreatic","Women",12.9079922844234
2002,"Scotland","Pancreatic","Women",12.0646006606115
2003,"Scotland","Pancreatic","Women",14.723227491154
2004,"Scotland","Pancreatic","Women",12.3483213796881
2005,"Scotland","Pancreatic","Women",13.7385317916812
2006,"Scotland","Pancreatic","Women",12.5639208420172
2007,"Scotland","Pancreatic","Women",13.5806726510953
2008,"Scotland","Pancreatic","Women",13.1715748250658
2009,"Scotland","Pancreatic","Women",14.4753607625002
2010,"Scotland","Pancreatic","Women",13.721015039119
2011,"Scotland","Pancreatic","Women",15.0460765413571
2012,"Scotland","Pancreatic","Women",14.5518873978789
2013,"Scotland","Pancreatic","Women",14.5408646876425
2014,"Scotland","Pancreatic","Women",15.3036391199987
2015,"Scotland","Pancreatic","Women",15.0185692788184
2016,"Scotland","Pancreatic","Women",14.6828396175617
2017,"Scotland","Pancreatic","Women",14.1677323690784
2018,"Scotland","Pancreatic","Women",13.7359383071589
2019,"Scotland","Pancreatic","Women",14.9922445736359
2002,"Wales","Pancreatic","Men",17.9
2003,"Wales","Pancreatic","Men",18.3
2004,"Wales","Pancreatic","Men",18.2
2005,"Wales","Pancreatic","Men",18.2
2006,"Wales","Pancreatic","Men",17.5
2007,"Wales","Pancreatic","Men",17.6
2008,"Wales","Pancreatic","Men",15.9
2009,"Wales","Pancreatic","Men",18.7
2010,"Wales","Pancreatic","Men",19.8
2011,"Wales","Pancreatic","Men",19.8
2012,"Wales","Pancreatic","Men",18.2
2013,"Wales","Pancreatic","Men",19.1
2014,"Wales","Pancreatic","Men",19.8
2015,"Wales","Pancreatic","Men",17.2
2016,"Wales","Pancreatic","Men",17.7
2017,"Wales","Pancreatic","Men",16.4
2018,"Wales","Pancreatic","Men",19.1
2019,"Wales","Pancreatic","Men",18.7
2002,"Wales","Pancreatic","Women",14.2
2003,"Wales","Pancreatic","Women",15.3
2004,"Wales","Pancreatic","Women",14.4
2005,"Wales","Pancreatic","Women",14.1
2006,"Wales","Pancreatic","Women",14.6
2007,"Wales","Pancreatic","Women",15
2008,"Wales","Pancreatic","Women",15.1
2009,"Wales","Pancreatic","Women",14.9
2010,"Wales","Pancreatic","Women",16.3
2011,"Wales","Pancreatic","Women",16.2
2012,"Wales","Pancreatic","Women",14.8
2013,"Wales","Pancreatic","Women",15.4
2014,"Wales","Pancreatic","Women",13.9
2015,"Wales","Pancreatic","Women",16.6
2016,"Wales","Pancreatic","Women",14.4
2017,"Wales","Pancreatic","Women",14.6
2018,"Wales","Pancreatic","Women",15.3
2019,"Wales","Pancreatic","Women",15.8
2000,"England","Prostate","Men",149.2
2001,"England","Prostate","Men",166
2002,"England","Prostate","Men",164.9
2003,"England","Prostate","Men",164.1
2004,"England","Prostate","Men",173.8
2005,"England","Prostate","Men",166.3
2006,"England","Prostate","Men",173.2
2007,"England","Prostate","Men",170.7
2008,"England","Prostate","Men",170.5
2009,"England","Prostate","Men",183.2
2010,"England","Prostate","Men",180.6
2011,"England","Prostate","Men",178.6
2012,"England","Prostate","Men",182.9
2013,"England","Prostate","Men",195.9
2014,"England","Prostate","Men",184.5
2015,"England","Prostate","Men",183.4
2016,"England","Prostate","Men",179.7
2017,"England","Prostate","Men",177.4
2018,"England","Prostate","Men",207.3
2019,"England","Prostate","Men",193.6
2000,"Nothern Ireland","Prostate","Men",127.1
2001,"Nothern Ireland","Prostate","Men",125.5
2002,"Nothern Ireland","Prostate","Men",140.6
2003,"Nothern Ireland","Prostate","Men",158.2
2004,"Nothern Ireland","Prostate","Men",162.1
2005,"Nothern Ireland","Prostate","Men",159.5
2006,"Nothern Ireland","Prostate","Men",160
2007,"Nothern Ireland","Prostate","Men",170.7
2008,"Nothern Ireland","Prostate","Men",178.7
2009,"Nothern Ireland","Prostate","Men",188.2
2010,"Nothern Ireland","Prostate","Men",162.5
2011,"Nothern Ireland","Prostate","Men",173.9
2012,"Nothern Ireland","Prostate","Men",171.9
2013,"Nothern Ireland","Prostate","Men",158
2014,"Nothern Ireland","Prostate","Men",171.3
2015,"Nothern Ireland","Prostate","Men",166.2
2016,"Nothern Ireland","Prostate","Men",172.1
2017,"Nothern Ireland","Prostate","Men",160.1
2018,"Nothern Ireland","Prostate","Men",176.6
2019,"Nothern Ireland","Prostate","Men",182.3
2000,"Scotland","Prostate","Men",131.484491368045
2001,"Scotland","Prostate","Men",136.591624229035
2002,"Scotland","Prostate","Men",146.730859804288
2003,"Scotland","Prostate","Men",148.606510779714
2004,"Scotland","Prostate","Men",155.476107598219
2005,"Scotland","Prostate","Men",141.861825113839
2006,"Scotland","Prostate","Men",150.210322216065
2007,"Scotland","Prostate","Men",146.527507044342
2008,"Scotland","Prostate","Men",153.326726906322
2009,"Scotland","Prostate","Men",154.971872843279
2010,"Scotland","Prostate","Men",145.831158568144
2011,"Scotland","Prostate","Men",156.451427409623
2012,"Scotland","Prostate","Men",148.510578203232
2013,"Scotland","Prostate","Men",158.038017422672
2014,"Scotland","Prostate","Men",155.660202226546
2015,"Scotland","Prostate","Men",149.699952312723
2016,"Scotland","Prostate","Men",152.277549510937
2017,"Scotland","Prostate","Men",155.210378002596
2018,"Scotland","Prostate","Men",179.865224619819
2019,"Scotland","Prostate","Men",156.256809406185
2002,"Wales","Prostate","Men",176.7
2003,"Wales","Prostate","Men",187.4
2004,"Wales","Prostate","Men",203.6
2005,"Wales","Prostate","Men",193.9
2006,"Wales","Prostate","Men",191.5
2007,"Wales","Prostate","Men",207.2
2008,"Wales","Prostate","Men",201.7
2009,"Wales","Prostate","Men",192
2010,"Wales","Prostate","Men",194.3
2011,"Wales","Prostate","Men",178.5
2012,"Wales","Prostate","Men",180.5
2013,"Wales","Prostate","Men",192.6
2014,"Wales","Prostate","Men",183.8
2015,"Wales","Prostate","Men",182.1
2016,"Wales","Prostate","Men",193.7
2017,"Wales","Prostate","Men",185.5
2018,"Wales","Prostate","Men",211.2
2019,"Wales","Prostate","Men",193.2
