"Cancer_Site"	"Country"	"Sex"	"Year"	"ASR"	"Model"	"Flag"	"APC"	"Joinpoints"	"Final Selected Model"
Colorectal	Scotland	Women	2011	65.90	64.15	NA	-0.3306	0	0
Colorectal	Scotland	Women	2012	65.50	63.94	NA	-0.3306	0	0
Colorectal	Scotland	Women	2013	63.26	63.73	NA	-0.3306	0	0
Colorectal	Scotland	Women	2014	60.04	63.52	NA	-0.3306	0	0
Colorectal	Scotland	Women	2015	60.83	63.31	NA	-0.3306	0	0
Colorectal	Scotland	Women	2016	62.71	63.10	NA	-0.3306	0	0
Colorectal	Scotland	Women	2017	56.88	62.89	NA	-0.3306	0	0
Colorectal	Scotland	Women	2018	66.92	62.68	NA	-0.3306	0	0
Colorectal	Scotland	Women	2019	64.39	62.48	NA	-0.3306	0	0
Colorectal	Wales	Men	2002	91.00	93.11	NA	1.5660*	1	1
Colorectal	Wales	Men	2003	97.70	94.57	NA	1.5660*	1	1
Colorectal	Wales	Men	2004	96.30	96.05	NA	1.5660*	1	1
Colorectal	Wales	Men	2005	97.50	97.55	NA	1.5660*	1	1
Colorectal	Wales	Men	2006	97.70	99.08	NA	1.5660*	1	1
Colorectal	Wales	Men	2007	100.10	100.63	NA	1.5660*	1	1
Colorectal	Wales	Men	2008	102.10	102.21	NA	1.5660*	1	1
Colorectal	Wales	Men	2009	105.60	103.81	NA	1.5660*	1	1
Colorectal	Wales	Men	2010	109.10	105.44	Joinpoint 1	NA	1	1
Colorectal	Wales	Men	2011	98.00	103.38	NA	-1.9519*	1	1
Colorectal	Wales	Men	2012	104.30	101.36	NA	-1.9519*	1	1
Colorectal	Wales	Men	2013	99.20	99.38	NA	-1.9519*	1	1
Colorectal	Wales	Men	2014	98.60	97.44	NA	-1.9519*	1	1
Colorectal	Wales	Men	2015	91.90	95.54	NA	-1.9519*	1	1
Colorectal	Wales	Men	2016	93.80	93.68	NA	-1.9519*	1	1
Colorectal	Wales	Men	2017	90.30	91.85	NA	-1.9519*	1	1
Colorectal	Wales	Men	2018	88.50	90.05	NA	-1.9519*	1	1
Colorectal	Wales	Men	2019	92.30	88.30	NA	-1.9519*	1	1
Colorectal	Wales	Women	2002	56.40	54.96	NA	2.0282	1	1
Colorectal	Wales	Women	2003	55.10	56.08	NA	2.0282	1	1
Colorectal	Wales	Women	2004	57.70	57.21	NA	2.0282	1	1
Colorectal	Wales	Women	2005	55.40	58.37	NA	2.0282	1	1
Colorectal	Wales	Women	2006	60.30	59.56	NA	2.0282	1	1
Colorectal	Wales	Women	2007	62.70	60.77	NA	2.0282	1	1
Colorectal	Wales	Women	2008	61.00	62.00	Joinpoint 1	NA	1	1
Colorectal	Wales	Women	2009	62.20	61.61	NA	-0.6202	1	1
Colorectal	Wales	Women	2010	57.40	61.23	NA	-0.6202	1	1
Colorectal	Wales	Women	2011	65.00	60.85	NA	-0.6202	1	1
Colorectal	Wales	Women	2012	63.90	60.48	NA	-0.6202	1	1
Colorectal	Wales	Women	2013	57.90	60.10	NA	-0.6202	1	1
Colorectal	Wales	Women	2014	61.70	59.73	NA	-0.6202	1	1
Colorectal	Wales	Women	2015	58.50	59.36	NA	-0.6202	1	1
Colorectal	Wales	Women	2016	56.70	58.99	NA	-0.6202	1	1
Colorectal	Wales	Women	2017	57.40	58.62	NA	-0.6202	1	1
Colorectal	Wales	Women	2018	55.10	58.26	NA	-0.6202	1	1
Colorectal	Wales	Women	2019	62.60	57.90	NA	-0.6202	1	1
Lung	England	Men	2000	112.00	112.63	NA	-4.6634*	2	2
Lung	England	Men	2001	108.60	107.38	NA	-4.6634*	2	2
Lung	England	Men	2002	102.80	102.37	Joinpoint 1	NA	2	2
Lung	England	Men	2003	100.10	101.71	NA	-0.6498*	2	2
Lung	England	Men	2004	101.70	101.05	NA	-0.6498*	2	2
Lung	England	Men	2005	99.40	100.39	NA	-0.6498*	2	2
Lung	England	Men	2006	101.40	99.74	NA	-0.6498*	2	2
Lung	England	Men	2007	98.90	99.09	NA	-0.6498*	2	2
Lung	England	Men	2008	99.70	98.45	NA	-0.6498*	2	2
Lung	England	Men	2009	96.10	97.81	NA	-0.6498*	2	2
Lung	England	Men	2010	96.20	97.17	NA	-0.6498*	2	2
Lung	England	Men	2011	96.30	96.54	NA	-0.6498*	2	2
Lung	England	Men	2012	97.00	95.91	NA	-0.6498*	2	2
Lung	England	Men	2013	95.30	95.29	Joinpoint 2	NA	2	2
Lung	England	Men	2014	93.30	93.59	NA	-1.7845*	2	2
Lung	England	Men	2015	91.40	91.92	NA	-1.7845*	2	2
Lung	England	Men	2016	92.00	90.28	NA	-1.7845*	2	2
Lung	England	Men	2017	88.40	88.67	NA	-1.7845*	2	2
Lung	England	Men	2018	86.60	87.09	NA	-1.7845*	2	2
Lung	England	Men	2019	85.50	85.53	NA	-1.7845*	2	2
Lung	England	Women	2000	53.30	53.46	NA	-1.0766	2	2
Lung	England	Women	2001	53.20	52.88	NA	-1.0766	2	2
Lung	England	Women	2002	52.30	52.31	Joinpoint 1	NA	2	2
Lung	England	Women	2003	53.80	53.54	NA	2.3339*	2	2
Lung	England	Women	2004	53.90	54.78	NA	2.3339*	2	2
Lung	England	Women	2005	55.90	56.06	NA	2.3339*	2	2
Lung	England	Women	2006	58.00	57.37	NA	2.3339*	2	2
Lung	England	Women	2007	58.70	58.71	NA	2.3339*	2	2
Lung	England	Women	2008	61.20	60.08	NA	2.3339*	2	2
Lung	England	Women	2009	61.10	61.48	NA	2.3339*	2	2
Lung	England	Women	2010	61.90	62.92	NA	2.3339*	2	2
Lung	England	Women	2011	63.90	64.39	NA	2.3339*	2	2
Lung	England	Women	2012	66.20	65.89	Joinpoint 2	NA	2	2
Lung	England	Women	2013	66.50	66.23	NA	0.5174*	2	2
Lung	England	Women	2014	66.50	66.57	NA	0.5174*	2	2
Lung	England	Women	2015	67.10	66.92	NA	0.5174*	2	2
Lung	England	Women	2016	67.30	67.26	NA	0.5174*	2	2
Lung	England	Women	2017	68.50	67.61	NA	0.5174*	2	2
Lung	England	Women	2018	67.80	67.96	NA	0.5174*	2	2
Lung	England	Women	2019	67.70	68.31	NA	0.5174*	2	2
Lung	Nothern Ireland	Men	2000	103.10	104.04	NA	0.2524	1	1
Lung	Nothern Ireland	Men	2001	110.10	104.30	NA	0.2524	1	1
Lung	Nothern Ireland	Men	2002	98.70	104.57	NA	0.2524	1	1
Lung	Nothern Ireland	Men	2003	102.30	104.83	NA	0.2524	1	1
Lung	Nothern Ireland	Men	2004	112.00	105.10	NA	0.2524	1	1
Lung	Nothern Ireland	Men	2005	102.20	105.36	NA	0.2524	1	1
Lung	Nothern Ireland	Men	2006	103.10	105.63	NA	0.2524	1	1
Lung	Nothern Ireland	Men	2007	104.20	105.89	NA	0.2524	1	1
Lung	Nothern Ireland	Men	2008	115.30	106.16	NA	0.2524	1	1
Lung	Nothern Ireland	Men	2009	104.20	106.43	NA	0.2524	1	1
Lung	Nothern Ireland	Men	2010	105.80	106.70	NA	0.2524	1	1
Lung	Nothern Ireland	Men	2011	106.40	106.97	Joinpoint 1	NA	1	1
Lung	Nothern Ireland	Men	2012	104.90	105.32	NA	-1.5423*	1	1
Lung	Nothern Ireland	Men	2013	105.40	103.69	NA	-1.5423*	1	1
Lung	Nothern Ireland	Men	2014	99.80	102.09	NA	-1.5423*	1	1
Lung	Nothern Ireland	Men	2015	100.30	100.52	NA	-1.5423*	1	1
Lung	Nothern Ireland	Men	2016	96.20	98.97	NA	-1.5423*	1	1
Lung	Nothern Ireland	Men	2017	102.60	97.44	NA	-1.5423*	1	1
Lung	Nothern Ireland	Men	2018	96.60	95.94	NA	-1.5423*	1	1
Lung	Nothern Ireland	Men	2019	92.50	94.46	NA	-1.5423*	1	1
Lung	Nothern Ireland	Women	2000	50.40	47.22	NA	2.7209*	0	0
Lung	Nothern Ireland	Women	2001	46.60	48.51	NA	2.7209*	0	0
Lung	Nothern Ireland	Women	2002	53.40	49.83	NA	2.7209*	0	0
Lung	Nothern Ireland	Women	2003	52.00	51.18	NA	2.7209*	0	0
Lung	Nothern Ireland	Women	2004	52.60	52.57	NA	2.7209*	0	0
Lung	Nothern Ireland	Women	2005	54.20	54.01	NA	2.7209*	0	0
Lung	Nothern Ireland	Women	2006	51.20	55.47	NA	2.7209*	0	0
Lung	Nothern Ireland	Women	2007	57.70	56.98	NA	2.7209*	0	0
Lung	Nothern Ireland	Women	2008	54.50	58.53	NA	2.7209*	0	0
Lung	Nothern Ireland	Women	2009	61.30	60.13	NA	2.7209*	0	0
Lung	Nothern Ireland	Women	2010	54.60	61.76	NA	2.7209*	0	0
Lung	Nothern Ireland	Women	2011	59.60	63.44	NA	2.7209*	0	0
Lung	Nothern Ireland	Women	2012	67.70	65.17	NA	2.7209*	0	0
Lung	Nothern Ireland	Women	2013	68.90	66.94	NA	2.7209*	0	0
Lung	Nothern Ireland	Women	2014	72.60	68.76	NA	2.7209*	0	0
Lung	Nothern Ireland	Women	2015	71.10	70.64	NA	2.7209*	0	0
Lung	Nothern Ireland	Women	2016	83.70	72.56	NA	2.7209*	0	0
Lung	Nothern Ireland	Women	2017	74.70	74.53	NA	2.7209*	0	0
Lung	Nothern Ireland	Women	2018	70.60	76.56	NA	2.7209*	0	0
Lung	Nothern Ireland	Women	2019	78.60	78.64	NA	2.7209*	0	0
Lung	Scotland	Men	2000	146.77	147.44	NA	-1.2745*	1	1
Lung	Scotland	Men	2001	143.07	145.56	NA	-1.2745*	1	1
Lung	Scotland	Men	2002	149.25	143.70	NA	-1.2745*	1	1
Lung	Scotland	Men	2003	140.52	141.87	NA	-1.2745*	1	1
Lung	Scotland	Men	2004	139.48	140.07	NA	-1.2745*	1	1
Lung	Scotland	Men	2005	137.81	138.28	NA	-1.2745*	1	1
Lung	Scotland	Men	2006	136.86	136.52	NA	-1.2745*	1	1
Lung	Scotland	Men	2007	135.00	134.78	NA	-1.2745*	1	1
Lung	Scotland	Men	2008	128.83	133.06	NA	-1.2745*	1	1
Lung	Scotland	Men	2009	137.39	131.36	NA	-1.2745*	1	1
Lung	Scotland	Men	2010	127.93	129.69	NA	-1.2745*	1	1
Lung	Scotland	Men	2011	128.99	128.04	NA	-1.2745*	1	1
Lung	Scotland	Men	2012	125.19	126.41	NA	-1.2745*	1	1
Lung	Scotland	Men	2013	124.93	124.79	NA	-1.2745*	1	1
Lung	Scotland	Men	2014	126.58	123.20	Joinpoint 1	NA	1	1
Lung	Scotland	Men	2015	116.52	119.71	NA	-2.8383*	1	1
Lung	Scotland	Men	2016	113.94	116.31	NA	-2.8383*	1	1
Lung	Scotland	Men	2017	113.88	113.01	NA	-2.8383*	1	1
Lung	Scotland	Men	2018	111.51	109.80	NA	-2.8383*	1	1
Lung	Scotland	Men	2019	106.33	106.68	NA	-2.8383*	1	1
Lung	Scotland	Women	2000	83.67	79.97	NA	1.6887*	1	1
Lung	Scotland	Women	2001	75.93	81.32	NA	1.6887*	1	1
Lung	Scotland	Women	2002	83.36	82.69	NA	1.6887*	1	1
Lung	Scotland	Women	2003	82.20	84.09	NA	1.6887*	1	1
Lung	Scotland	Women	2004	87.78	85.51	NA	1.6887*	1	1
Lung	Scotland	Women	2005	85.47	86.95	NA	1.6887*	1	1
Lung	Scotland	Women	2006	89.28	88.42	NA	1.6887*	1	1
Lung	Scotland	Women	2007	92.33	89.91	NA	1.6887*	1	1
Lung	Scotland	Women	2008	93.58	91.43	NA	1.6887*	1	1
Lung	Scotland	Women	2009	92.52	92.97	NA	1.6887*	1	1
Lung	Scotland	Women	2010	93.65	94.54	NA	1.6887*	1	1
Lung	Scotland	Women	2011	95.44	96.14	NA	1.6887*	1	1
Lung	Scotland	Women	2012	97.21	97.76	Joinpoint 1	NA	1	1
Lung	Scotland	Women	2013	97.93	97.33	NA	-0.4429	1	1
Lung	Scotland	Women	2014	99.04	96.90	NA	-0.4429	1	1
Lung	Scotland	Women	2015	92.32	96.47	NA	-0.4429	1	1
Lung	Scotland	Women	2016	93.87	96.04	NA	-0.4429	1	1
Lung	Scotland	Women	2017	97.45	95.62	NA	-0.4429	1	1
Lung	Scotland	Women	2018	98.70	95.19	NA	-0.4429	1	1
Lung	Scotland	Women	2019	92.92	94.77	NA	-0.4429	1	1
Lung	Wales	Men	2002	109.80	111.22	NA	-0.4608	1	1
Lung	Wales	Men	2003	112.70	110.71	NA	-0.4608	1	1
Lung	Wales	Men	2004	112.90	110.20	NA	-0.4608	1	1
Lung	Wales	Men	2005	104.60	109.69	NA	-0.4608	1	1
Lung	Wales	Men	2006	111.20	109.18	NA	-0.4608	1	1
Lung	Wales	Men	2007	108.30	108.68	NA	-0.4608	1	1
Lung	Wales	Men	2008	110.40	108.18	Joinpoint 1	NA	1	1
Lung	Wales	Men	2009	104.20	105.89	NA	-2.1166*	1	1
Lung	Wales	Men	2010	102.80	103.65	NA	-2.1166*	1	1
Lung	Wales	Men	2011	105.40	101.45	NA	-2.1166*	1	1
Lung	Wales	Men	2012	93.40	99.31	NA	-2.1166*	1	1
Lung	Wales	Men	2013	101.50	97.20	NA	-2.1166*	1	1
Lung	Wales	Men	2014	94.90	95.15	NA	-2.1166*	1	1
Lung	Wales	Men	2015	92.90	93.13	NA	-2.1166*	1	1
Lung	Wales	Men	2016	90.90	91.16	NA	-2.1166*	1	1
Lung	Wales	Men	2017	85.30	89.23	NA	-2.1166*	1	1
Lung	Wales	Men	2018	90.40	87.34	NA	-2.1166*	1	1
Lung	Wales	Men	2019	86.00	85.49	NA	-2.1166*	1	1
Lung	Wales	Women	2002	57.00	59.55	NA	1.1224*	0	0
Lung	Wales	Women	2003	55.30	60.22	NA	1.1224*	0	0
Lung	Wales	Women	2004	63.50	60.89	NA	1.1224*	0	0
Lung	Wales	Women	2005	61.50	61.58	NA	1.1224*	0	0
Lung	Wales	Women	2006	65.30	62.27	NA	1.1224*	0	0
Lung	Wales	Women	2007	60.90	62.97	NA	1.1224*	0	0
Lung	Wales	Women	2008	68.90	63.67	NA	1.1224*	0	0
Lung	Wales	Women	2009	61.50	64.39	NA	1.1224*	0	0
Lung	Wales	Women	2010	66.00	65.11	NA	1.1224*	0	0
Lung	Wales	Women	2011	66.70	65.84	NA	1.1224*	0	0
Lung	Wales	Women	2012	71.80	66.58	NA	1.1224*	0	0
Lung	Wales	Women	2013	66.90	67.33	NA	1.1224*	0	0
Lung	Wales	Women	2014	68.30	68.08	NA	1.1224*	0	0
Lung	Wales	Women	2015	70.80	68.85	NA	1.1224*	0	0
Lung	Wales	Women	2016	73.00	69.62	NA	1.1224*	0	0
Lung	Wales	Women	2017	67.70	70.40	NA	1.1224*	0	0
Lung	Wales	Women	2018	68.40	71.19	NA	1.1224*	0	0
Lung	Wales	Women	2019	68.20	71.99	NA	1.1224*	0	0
Oesophageal	England	Men	2000	21.20	21.27	NA	0.7126*	1	1
Oesophageal	England	Men	2001	21.50	21.42	NA	0.7126*	1	1
Oesophageal	England	Men	2002	21.70	21.58	NA	0.7126*	1	1
Oesophageal	England	Men	2003	21.80	21.73	NA	0.7126*	1	1
Oesophageal	England	Men	2004	21.80	21.89	NA	0.7126*	1	1
Oesophageal	England	Men	2005	21.90	22.04	NA	0.7126*	1	1
Oesophageal	England	Men	2006	22.00	22.20	NA	0.7126*	1	1
Oesophageal	England	Men	2007	22.20	22.36	NA	0.7126*	1	1
Oesophageal	England	Men	2008	23.20	22.52	NA	0.7126*	1	1
Oesophageal	England	Men	2009	22.40	22.68	NA	0.7126*	1	1
Oesophageal	England	Men	2010	22.80	22.84	Joinpoint 1	NA	1	1
Oesophageal	England	Men	2011	22.50	22.78	NA	-0.2453	1	1
Oesophageal	England	Men	2012	23.30	22.73	NA	-0.2453	1	1
Oesophageal	England	Men	2013	22.50	22.67	NA	-0.2453	1	1
Oesophageal	England	Men	2014	22.00	22.61	NA	-0.2453	1	1
Oesophageal	England	Men	2015	23.00	22.56	NA	-0.2453	1	1
Oesophageal	England	Men	2016	22.80	22.50	NA	-0.2453	1	1
Oesophageal	England	Men	2017	22.40	22.45	NA	-0.2453	1	1
Oesophageal	England	Men	2018	22.60	22.39	NA	-0.2453	1	1
Oesophageal	England	Men	2019	22.00	22.34	NA	-0.2453	1	1
Oesophageal	England	Women	2000	9.70	9.52	NA	-0.5685*	1	1
Oesophageal	England	Women	2001	9.60	9.47	NA	-0.5685*	1	1
Oesophageal	England	Women	2002	9.30	9.41	NA	-0.5685*	1	1
Oesophageal	England	Women	2003	9.40	9.36	NA	-0.5685*	1	1
Oesophageal	England	Women	2004	9.10	9.31	NA	-0.5685*	1	1
Oesophageal	England	Women	2005	9.30	9.25	NA	-0.5685*	1	1
Oesophageal	England	Women	2006	9.30	9.20	NA	-0.5685*	1	1
Oesophageal	England	Women	2007	9.10	9.15	NA	-0.5685*	1	1
Oesophageal	England	Women	2008	9.00	9.10	NA	-0.5685*	1	1
Oesophageal	England	Women	2009	8.80	9.05	NA	-0.5685*	1	1
Oesophageal	England	Women	2010	9.00	8.99	NA	-0.5685*	1	1
Oesophageal	England	Women	2011	8.70	8.94	NA	-0.5685*	1	1
Oesophageal	England	Women	2012	9.10	8.89	NA	-0.5685*	1	1
Oesophageal	England	Women	2013	9.10	8.84	NA	-0.5685*	1	1
Oesophageal	England	Women	2014	8.80	8.79	Joinpoint 1	NA	1	1
Oesophageal	England	Women	2015	8.80	8.64	NA	-1.7578*	1	1
Oesophageal	England	Women	2016	8.40	8.49	NA	-1.7578*	1	1
Oesophageal	England	Women	2017	8.10	8.34	NA	-1.7578*	1	1
Oesophageal	England	Women	2018	8.30	8.19	NA	-1.7578*	1	1
Oesophageal	England	Women	2019	8.10	8.05	NA	-1.7578*	1	1
Oesophageal	Nothern Ireland	Men	2000	13.90	17.71	NA	1.0111*	0	0
Oesophageal	Nothern Ireland	Men	2001	19.80	17.89	NA	1.0111*	0	0
Oesophageal	Nothern Ireland	Men	2002	16.90	18.07	NA	1.0111*	0	0
Oesophageal	Nothern Ireland	Men	2003	18.40	18.25	NA	1.0111*	0	0
Oesophageal	Nothern Ireland	Men	2004	18.90	18.44	NA	1.0111*	0	0
Oesophageal	Nothern Ireland	Men	2005	19.60	18.62	NA	1.0111*	0	0
Oesophageal	Nothern Ireland	Men	2006	21.00	18.81	NA	1.0111*	0	0
Oesophageal	Nothern Ireland	Men	2007	21.70	19.00	NA	1.0111*	0	0
Oesophageal	Nothern Ireland	Men	2008	19.80	19.20	NA	1.0111*	0	0
Oesophageal	Nothern Ireland	Men	2009	17.80	19.39	NA	1.0111*	0	0
Oesophageal	Nothern Ireland	Men	2010	18.70	19.59	NA	1.0111*	0	0
Oesophageal	Nothern Ireland	Men	2011	20.00	19.78	NA	1.0111*	0	0
Oesophageal	Nothern Ireland	Men	2012	21.70	19.98	NA	1.0111*	0	0
Oesophageal	Nothern Ireland	Men	2013	19.80	20.19	NA	1.0111*	0	0
Oesophageal	Nothern Ireland	Men	2014	21.80	20.39	NA	1.0111*	0	0
Oesophageal	Nothern Ireland	Men	2015	18.10	20.60	NA	1.0111*	0	0
Oesophageal	Nothern Ireland	Men	2016	21.30	20.80	NA	1.0111*	0	0
Oesophageal	Nothern Ireland	Men	2017	23.20	21.01	NA	1.0111*	0	0
Oesophageal	Nothern Ireland	Men	2018	20.80	21.23	NA	1.0111*	0	0
Oesophageal	Nothern Ireland	Men	2019	18.80	21.44	NA	1.0111*	0	0
Oesophageal	Nothern Ireland	Women	2000	10.30	10.15	NA	-10.3277	2	2
Oesophageal	Nothern Ireland	Women	2001	9.00	9.10	NA	-10.3277	2	2
Oesophageal	Nothern Ireland	Women	2002	8.00	8.16	NA	-10.3277	2	2
Oesophageal	Nothern Ireland	Women	2003	7.20	7.32	Joinpoint 1	NA	2	2
Oesophageal	Nothern Ireland	Women	2004	7.40	7.44	NA	1.5818	2	2
Oesophageal	Nothern Ireland	Women	2005	6.80	7.55	NA	1.5818	2	2
Oesophageal	Nothern Ireland	Women	2006	7.70	7.67	NA	1.5818	2	2
Oesophageal	Nothern Ireland	Women	2007	9.50	7.79	NA	1.5818	2	2
Oesophageal	Nothern Ireland	Women	2008	8.10	7.92	NA	1.5818	2	2
Oesophageal	Nothern Ireland	Women	2009	7.70	8.04	NA	1.5818	2	2
Oesophageal	Nothern Ireland	Women	2010	8.50	8.17	NA	1.5818	2	2
Oesophageal	Nothern Ireland	Women	2011	7.70	8.30	NA	1.5818	2	2
Oesophageal	Nothern Ireland	Women	2012	9.20	8.43	NA	1.5818	2	2
Oesophageal	Nothern Ireland	Women	2013	8.00	8.56	NA	1.5818	2	2
Oesophageal	Nothern Ireland	Women	2014	8.30	8.70	Joinpoint 2	NA	2	2
Oesophageal	Nothern Ireland	Women	2015	8.80	8.10	NA	-6.9231*	2	2
Oesophageal	Nothern Ireland	Women	2016	8.00	7.54	NA	-6.9231*	2	2
Oesophageal	Nothern Ireland	Women	2017	5.70	7.02	NA	-6.9231*	2	2
Oesophageal	Nothern Ireland	Women	2018	6.80	6.53	NA	-6.9231*	2	2
Oesophageal	Nothern Ireland	Women	2019	6.40	6.08	NA	-6.9231*	2	2
Oesophageal	Scotland	Men	2000	24.81	24.99	NA	5.8755	2	2
Oesophageal	Scotland	Men	2001	26.85	26.46	NA	5.8755	2	2
Oesophageal	Scotland	Men	2002	28.20	28.02	Joinpoint 1	NA	2	2
Oesophageal	Scotland	Men	2003	28.32	27.87	NA	-0.5144*	2	2
Oesophageal	Scotland	Men	2004	29.22	27.73	NA	-0.5144*	2	2
Oesophageal	Scotland	Men	2005	26.87	27.59	NA	-0.5144*	2	2
Oesophageal	Scotland	Men	2006	27.35	27.45	NA	-0.5144*	2	2
Oesophageal	Scotland	Men	2007	26.83	27.30	NA	-0.5144*	2	2
Oesophageal	Scotland	Men	2008	27.04	27.16	NA	-0.5144*	2	2
Oesophageal	Scotland	Men	2009	26.36	27.02	NA	-0.5144*	2	2
Oesophageal	Scotland	Men	2010	26.46	26.88	NA	-0.5144*	2	2
Oesophageal	Scotland	Men	2011	25.30	26.75	NA	-0.5144*	2	2
Oesophageal	Scotland	Men	2012	27.02	26.61	NA	-0.5144*	2	2
Oesophageal	Scotland	Men	2013	25.80	26.47	NA	-0.5144*	2	2
Oesophageal	Scotland	Men	2014	27.89	26.34	NA	-0.5144*	2	2
Oesophageal	Scotland	Men	2015	26.26	26.20	NA	-0.5144*	2	2
Oesophageal	Scotland	Men	2016	24.94	26.07	NA	-0.5144*	2	2
Oesophageal	Scotland	Men	2017	27.60	25.93	Joinpoint 2	NA	2	2
Oesophageal	Scotland	Men	2018	24.10	24.16	NA	-6.8218	2	2
Oesophageal	Scotland	Men	2019	22.55	22.51	NA	-6.8218	2	2
Oesophageal	Scotland	Women	2000	11.85	12.25	NA	-0.4943	1	1
Oesophageal	Scotland	Women	2001	11.91	12.19	NA	-0.4943	1	1
Oesophageal	Scotland	Women	2002	12.49	12.13	NA	-0.4943	1	1
Oesophageal	Scotland	Women	2003	11.95	12.07	NA	-0.4943	1	1
Oesophageal	Scotland	Women	2004	13.18	12.01	NA	-0.4943	1	1
Oesophageal	Scotland	Women	2005	12.18	11.95	NA	-0.4943	1	1
Oesophageal	Scotland	Women	2006	12.09	11.89	NA	-0.4943	1	1
Oesophageal	Scotland	Women	2007	11.47	11.83	NA	-0.4943	1	1
Oesophageal	Scotland	Women	2008	10.73	11.77	NA	-0.4943	1	1
Oesophageal	Scotland	Women	2009	11.41	11.72	NA	-0.4943	1	1
Oesophageal	Scotland	Women	2010	12.57	11.66	NA	-0.4943	1	1
Oesophageal	Scotland	Women	2011	11.03	11.60	NA	-0.4943	1	1
Oesophageal	Scotland	Women	2012	11.39	11.54	NA	-0.4943	1	1
Oesophageal	Scotland	Women	2013	12.54	11.49	NA	-0.4943	1	1
Oesophageal	Scotland	Women	2014	11.01	11.43	NA	-0.4943	1	1
Oesophageal	Scotland	Women	2015	11.66	11.37	Joinpoint 1	NA	1	1
Oesophageal	Scotland	Women	2016	10.00	10.84	NA	-4.6677	1	1
Oesophageal	Scotland	Women	2017	10.99	10.34	NA	-4.6677	1	1
Oesophageal	Scotland	Women	2018	10.00	9.85	NA	-4.6677	1	1
Oesophageal	Scotland	Women	2019	9.19	9.39	NA	-4.6677	1	1
Oesophageal	Wales	Men	2002	22.50	23.33	NA	-0.7603*	0	0
Oesophageal	Wales	Men	2003	23.40	23.15	NA	-0.7603*	0	0
Oesophageal	Wales	Men	2004	22.00	22.98	NA	-0.7603*	0	0
Oesophageal	Wales	Men	2005	21.10	22.80	NA	-0.7603*	0	0
Oesophageal	Wales	Men	2006	24.00	22.63	NA	-0.7603*	0	0
Oesophageal	Wales	Men	2007	24.60	22.46	NA	-0.7603*	0	0
Oesophageal	Wales	Men	2008	24.10	22.29	NA	-0.7603*	0	0
Oesophageal	Wales	Men	2009	23.40	22.12	NA	-0.7603*	0	0
Oesophageal	Wales	Men	2010	23.60	21.95	NA	-0.7603*	0	0
Oesophageal	Wales	Men	2011	19.40	21.78	NA	-0.7603*	0	0
Oesophageal	Wales	Men	2012	20.50	21.62	NA	-0.7603*	0	0
Oesophageal	Wales	Men	2013	19.40	21.45	NA	-0.7603*	0	0
Oesophageal	Wales	Men	2014	22.00	21.29	NA	-0.7603*	0	0
Oesophageal	Wales	Men	2015	22.20	21.13	NA	-0.7603*	0	0
Oesophageal	Wales	Men	2016	19.10	20.97	NA	-0.7603*	0	0
Oesophageal	Wales	Men	2017	20.40	20.81	NA	-0.7603*	0	0
Oesophageal	Wales	Men	2018	22.90	20.65	NA	-0.7603*	0	0
Oesophageal	Wales	Men	2019	20.20	20.49	NA	-0.7603*	0	0
Oesophageal	Wales	Women	2002	12.00	10.95	NA	-1.7322*	0	0
Oesophageal	Wales	Women	2003	10.20	10.76	NA	-1.7322*	0	0
Oesophageal	Wales	Women	2004	9.90	10.57	NA	-1.7322*	0	0
Oesophageal	Wales	Women	2005	10.00	10.39	NA	-1.7322*	0	0
Oesophageal	Wales	Women	2006	10.40	10.21	NA	-1.7322*	0	0
Oesophageal	Wales	Women	2007	10.10	10.03	NA	-1.7322*	0	0
Oesophageal	Wales	Women	2008	10.20	9.86	NA	-1.7322*	0	0
Oesophageal	Wales	Women	2009	10.20	9.69	NA	-1.7322*	0	0
Oesophageal	Wales	Women	2010	9.10	9.52	NA	-1.7322*	0	0
Oesophageal	Wales	Women	2011	10.30	9.36	NA	-1.7322*	0	0
Oesophageal	Wales	Women	2012	8.20	9.19	NA	-1.7322*	0	0
Oesophageal	Wales	Women	2013	8.60	9.04	NA	-1.7322*	0	0
Oesophageal	Wales	Women	2014	8.80	8.88	NA	-1.7322*	0	0
Oesophageal	Wales	Women	2015	9.50	8.73	NA	-1.7322*	0	0
Oesophageal	Wales	Women	2016	8.50	8.57	NA	-1.7322*	0	0
Oesophageal	Wales	Women	2017	8.60	8.43	NA	-1.7322*	0	0
Oesophageal	Wales	Women	2018	8.70	8.28	NA	-1.7322*	0	0
Oesophageal	Wales	Women	2019	7.60	8.14	NA	-1.7322*	0	0
Pancreatic	England	Men	2000	17.10	16.99	NA	-0.6147	1	1
Pancreatic	England	Men	2001	16.70	16.88	NA	-0.6147	1	1
Pancreatic	England	Men	2002	16.80	16.78	NA	-0.6147	1	1
Pancreatic	England	Men	2003	16.30	16.67	Joinpoint 1	NA	1	1
Pancreatic	England	Men	2004	17.20	16.86	NA	1.1425*	1	1
Pancreatic	England	Men	2005	16.90	17.06	NA	1.1425*	1	1
Pancreatic	England	Men	2006	17.50	17.25	NA	1.1425*	1	1
Pancreatic	England	Men	2007	17.00	17.45	NA	1.1425*	1	1
Pancreatic	England	Men	2008	18.10	17.65	NA	1.1425*	1	1
Pancreatic	England	Men	2009	17.90	17.85	NA	1.1425*	1	1
