"Year","Country","Cancer_Site","Sex","Mortalities","ASR"
2013,"Wales","Lung","Women",NA,49.7
2014,"Wales","Lung","Women",NA,53.7
2015,"Wales","Lung","Women",NA,49.7
2016,"Wales","Lung","Women",NA,52.1
2017,"Wales","Lung","Women",NA,51.4
2018,"Wales","Lung","Women",NA,49.9
2019,"Wales","Lung","Women",NA,49.4
2001,"England","Oesophageal","Men","3631",20.9
2002,"England","Oesophageal","Men","3745",21.1
2003,"England","Oesophageal","Men","3866",21.6
2004,"England","Oesophageal","Men","3825",21.1
2005,"England","Oesophageal","Men","3985",21.6
2006,"England","Oesophageal","Men","3985",21.2
2007,"England","Oesophageal","Men","3909",20.5
2008,"England","Oesophageal","Men","4085",20.9
2009,"England","Oesophageal","Men","4205",21.2
2010,"England","Oesophageal","Men","4188",20.7
2011,"England","Oesophageal","Men","4182",20.2
2012,"England","Oesophageal","Men","4349",20.6
2013,"England","Oesophageal","Men","4320",20.1
2014,"England","Oesophageal","Men","4274",19.3
2015,"England","Oesophageal","Men","4469",19.9
2016,"England","Oesophageal","Men","4482",19.6
2017,"England","Oesophageal","Men","4512",19.3
2018,"England","Oesophageal","Men","4562",19.1
2019,"England","Oesophageal","Men","4550",18.6
2001,"England","Oesophageal","Women","2037",8.4
2002,"England","Oesophageal","Women","2169",8.9
2003,"England","Oesophageal","Women","2130",8.7
2004,"England","Oesophageal","Women","2069",8.4
2005,"England","Oesophageal","Women","2076",8.4
2006,"England","Oesophageal","Women","2081",8.3
2007,"England","Oesophageal","Women","2044",8.1
2008,"England","Oesophageal","Women","2046",8
2009,"England","Oesophageal","Women","2017",7.8
2010,"England","Oesophageal","Women","2021",7.7
2011,"England","Oesophageal","Women","2015",7.5
2012,"England","Oesophageal","Women","1983",7.4
2013,"England","Oesophageal","Women","2014",7.4
2014,"England","Oesophageal","Women","2046",7.4
2015,"England","Oesophageal","Women","2019",7.2
2016,"England","Oesophageal","Women","2049",7.2
2017,"England","Oesophageal","Women","1946",6.7
2018,"England","Oesophageal","Women","1983",6.8
2019,"England","Oesophageal","Women","2130",7.1
2000,"Nothern Ireland","Oesophageal","Men","92",18
2001,"Nothern Ireland","Oesophageal","Men","90",17.6
2002,"Nothern Ireland","Oesophageal","Men","111",21.7
2003,"Nothern Ireland","Oesophageal","Men","103",19.4
2004,"Nothern Ireland","Oesophageal","Men","90",16.6
2005,"Nothern Ireland","Oesophageal","Men","109",20
2006,"Nothern Ireland","Oesophageal","Men","114",20
2007,"Nothern Ireland","Oesophageal","Men","107",20
2008,"Nothern Ireland","Oesophageal","Men","108",17.5
2009,"Nothern Ireland","Oesophageal","Men","123",20.3
2010,"Nothern Ireland","Oesophageal","Men","93",14.1
2011,"Nothern Ireland","Oesophageal","Men","99",15.2
2012,"Nothern Ireland","Oesophageal","Men","108",18.2
2013,"Nothern Ireland","Oesophageal","Men","119",18
2014,"Nothern Ireland","Oesophageal","Men","132",19.8
2015,"Nothern Ireland","Oesophageal","Men","121",17.2
2016,"Nothern Ireland","Oesophageal","Men","165",23.3
2017,"Nothern Ireland","Oesophageal","Men","129",17.5
2018,"Nothern Ireland","Oesophageal","Men","133",17.5
2019,"Nothern Ireland","Oesophageal","Men","137",18.2
2000,"Nothern Ireland","Oesophageal","Women","65",9.4
2001,"Nothern Ireland","Oesophageal","Women","60",8.9
2002,"Nothern Ireland","Oesophageal","Women","54",7.5
2003,"Nothern Ireland","Oesophageal","Women","51",7
2004,"Nothern Ireland","Oesophageal","Women","49",6.8
2005,"Nothern Ireland","Oesophageal","Women","57",8
2006,"Nothern Ireland","Oesophageal","Women","47",6.1
2007,"Nothern Ireland","Oesophageal","Women","54",7.3
2008,"Nothern Ireland","Oesophageal","Women","67",8.8
2009,"Nothern Ireland","Oesophageal","Women","56",7.2
2010,"Nothern Ireland","Oesophageal","Women","66",8.3
2011,"Nothern Ireland","Oesophageal","Women","50",6.3
2012,"Nothern Ireland","Oesophageal","Women","54",6.7
2013,"Nothern Ireland","Oesophageal","Women","53",6.4
2014,"Nothern Ireland","Oesophageal","Women","61",7.3
2015,"Nothern Ireland","Oesophageal","Women","61",7.1
2016,"Nothern Ireland","Oesophageal","Women","58",6.8
2017,"Nothern Ireland","Oesophageal","Women","47",5.3
2018,"Nothern Ireland","Oesophageal","Women","49",5.4
2019,"Nothern Ireland","Oesophageal","Women","45",4.9
2000,"Scotland","Oesophageal","Men","427",24.5129896727843
2001,"Scotland","Oesophageal","Men","472",26.7701907940431
2002,"Scotland","Oesophageal","Men","462",25.6748953880296
2003,"Scotland","Oesophageal","Men","501",28.236469298992
2004,"Scotland","Oesophageal","Men","511",28.4161034707701
2005,"Scotland","Oesophageal","Men","495",26.6013666724396
2006,"Scotland","Oesophageal","Men","490",25.8101491257585
2007,"Scotland","Oesophageal","Men","485",25.2630082345163
2008,"Scotland","Oesophageal","Men","520",25.898355438494
2009,"Scotland","Oesophageal","Men","507",25.2040643138015
2010,"Scotland","Oesophageal","Men","533",25.9665872874898
2011,"Scotland","Oesophageal","Men","541",25.937246816978
2012,"Scotland","Oesophageal","Men","533",24.8813337897819
2013,"Scotland","Oesophageal","Men","538",25.3324376094319
2014,"Scotland","Oesophageal","Men","535",24.1320555462442
2015,"Scotland","Oesophageal","Men","552",24.839272449849
2016,"Scotland","Oesophageal","Men","553",24.1738862996105
2017,"Scotland","Oesophageal","Men","555",23.7628882181687
2018,"Scotland","Oesophageal","Men","584",24.8120412612969
2019,"Scotland","Oesophageal","Men","526",21.6973681885134
2000,"Scotland","Oesophageal","Women","281",11.3989749370451
2001,"Scotland","Oesophageal","Women","280",11.1683482662974
2002,"Scotland","Oesophageal","Women","301",11.9496546879861
2003,"Scotland","Oesophageal","Women","275",10.8580302860404
2004,"Scotland","Oesophageal","Women","290",11.4248091164232
2005,"Scotland","Oesophageal","Women","303",11.8488494833442
2006,"Scotland","Oesophageal","Women","275",10.6355217270971
2007,"Scotland","Oesophageal","Women","301",11.503659158156
2008,"Scotland","Oesophageal","Women","311",11.7304541265263
2009,"Scotland","Oesophageal","Women","239",9.11817639837328
2010,"Scotland","Oesophageal","Women","278",10.3286686690798
2011,"Scotland","Oesophageal","Women","283",10.4875375326222
2012,"Scotland","Oesophageal","Women","280",10.1644348643742
2013,"Scotland","Oesophageal","Women","290",10.3657385084852
2014,"Scotland","Oesophageal","Women","315",11.0667315963653
2015,"Scotland","Oesophageal","Women","264",9.27208137086503
2016,"Scotland","Oesophageal","Women","267",9.22053976802512
2017,"Scotland","Oesophageal","Women","278",9.53079509660057
2018,"Scotland","Oesophageal","Women","289",9.69515995751017
2019,"Scotland","Oesophageal","Women","307",10.1745057537077
2002,"Wales","Oesophageal","Men",NA,23
2003,"Wales","Oesophageal","Men",NA,23.5
2004,"Wales","Oesophageal","Men",NA,20.2
2005,"Wales","Oesophageal","Men",NA,21.5
2006,"Wales","Oesophageal","Men",NA,22.8
2007,"Wales","Oesophageal","Men",NA,25
2008,"Wales","Oesophageal","Men",NA,24.4
2009,"Wales","Oesophageal","Men",NA,21
2010,"Wales","Oesophageal","Men",NA,22.6
2011,"Wales","Oesophageal","Men",NA,22.7
2012,"Wales","Oesophageal","Men",NA,18.2
2013,"Wales","Oesophageal","Men",NA,20.9
2014,"Wales","Oesophageal","Men",NA,20
2015,"Wales","Oesophageal","Men",NA,22.6
2016,"Wales","Oesophageal","Men",NA,20.9
2017,"Wales","Oesophageal","Men",NA,20
2018,"Wales","Oesophageal","Men",NA,21.1
2019,"Wales","Oesophageal","Men",NA,21.6
2002,"Wales","Oesophageal","Women",NA,9.6
2003,"Wales","Oesophageal","Women",NA,9.6
2004,"Wales","Oesophageal","Women",NA,9.7
2005,"Wales","Oesophageal","Women",NA,8.8
2006,"Wales","Oesophageal","Women",NA,8.8
2007,"Wales","Oesophageal","Women",NA,9.5
2008,"Wales","Oesophageal","Women",NA,9.7
2009,"Wales","Oesophageal","Women",NA,9.2
2010,"Wales","Oesophageal","Women",NA,8.5
2011,"Wales","Oesophageal","Women",NA,7.7
2012,"Wales","Oesophageal","Women",NA,8.4
2013,"Wales","Oesophageal","Women",NA,6.9
2014,"Wales","Oesophageal","Women",NA,8.9
2015,"Wales","Oesophageal","Women",NA,8.7
2016,"Wales","Oesophageal","Women",NA,7.5
2017,"Wales","Oesophageal","Women",NA,8.1
2018,"Wales","Oesophageal","Women",NA,8.3
2019,"Wales","Oesophageal","Women",NA,7.8
2001,"England","Pancreatic","Men","2710",15.8
2002,"England","Pancreatic","Men","2769",15.8
2003,"England","Pancreatic","Men","2856",16
2004,"England","Pancreatic","Men","2841",15.8
2005,"England","Pancreatic","Men","2897",15.8
2006,"England","Pancreatic","Men","3060",16.4
2007,"England","Pancreatic","Men","3108",16.3
2008,"England","Pancreatic","Men","3172",16.4
2009,"England","Pancreatic","Men","3257",16.6
2010,"England","Pancreatic","Men","3218",16
2011,"England","Pancreatic","Men","3501",17
2012,"England","Pancreatic","Men","3599",17.2
2013,"England","Pancreatic","Men","3539",16.5
2014,"England","Pancreatic","Men","3716",16.9
2015,"England","Pancreatic","Men","3763",16.8
2016,"England","Pancreatic","Men","4003",17.6
2017,"England","Pancreatic","Men","3977",17.1
2018,"England","Pancreatic","Men","4163",17.5
2019,"England","Pancreatic","Men","4093",16.8
2001,"England","Pancreatic","Women","2953",12.4
2002,"England","Pancreatic","Women","2960",12.3
2003,"England","Pancreatic","Women","2975",12.3
2004,"England","Pancreatic","Women","3047",12.6
2005,"England","Pancreatic","Women","3177",13
2006,"England","Pancreatic","Women","3123",12.7
2007,"England","Pancreatic","Women","3286",13.2
2008,"England","Pancreatic","Women","3334",13.3
2009,"England","Pancreatic","Women","3436",13.6
2010,"England","Pancreatic","Women","3378",13.1
2011,"England","Pancreatic","Women","3453",13.3
2012,"England","Pancreatic","Women","3632",13.8
2013,"England","Pancreatic","Women","3549",13.3
2014,"England","Pancreatic","Women","3714",13.6
2015,"England","Pancreatic","Women","3731",13.5
2016,"England","Pancreatic","Women","3813",13.6
2017,"England","Pancreatic","Women","3892",13.7
2018,"England","Pancreatic","Women","3868",13.4
2019,"England","Pancreatic","Women","4003",13.6
2000,"Nothern Ireland","Pancreatic","Men","78",15.9
2001,"Nothern Ireland","Pancreatic","Men","90",19.8
2002,"Nothern Ireland","Pancreatic","Men","101",20.2
2003,"Nothern Ireland","Pancreatic","Men","71",13.8
2004,"Nothern Ireland","Pancreatic","Men","72",12.9
2005,"Nothern Ireland","Pancreatic","Men","89",16.8
2006,"Nothern Ireland","Pancreatic","Men","96",16.9
2007,"Nothern Ireland","Pancreatic","Men","107",18.4
2008,"Nothern Ireland","Pancreatic","Men","119",20.9
2009,"Nothern Ireland","Pancreatic","Men","113",20.1
2010,"Nothern Ireland","Pancreatic","Men","89",15.3
2011,"Nothern Ireland","Pancreatic","Men","84",13.3
2012,"Nothern Ireland","Pancreatic","Men","103",16.4
2013,"Nothern Ireland","Pancreatic","Men","114",17.4
2014,"Nothern Ireland","Pancreatic","Men","101",15.4
2015,"Nothern Ireland","Pancreatic","Men","118",17.8
2016,"Nothern Ireland","Pancreatic","Men","134",18.9
2017,"Nothern Ireland","Pancreatic","Men","139",19.5
2018,"Nothern Ireland","Pancreatic","Men","124",18
2019,"Nothern Ireland","Pancreatic","Men","123",16.6
2000,"Nothern Ireland","Pancreatic","Women","86",12.7
2001,"Nothern Ireland","Pancreatic","Women","87",12.5
2002,"Nothern Ireland","Pancreatic","Women","90",13.2
2003,"Nothern Ireland","Pancreatic","Women","102",14.3
2004,"Nothern Ireland","Pancreatic","Women","79",10.8
2005,"Nothern Ireland","Pancreatic","Women","87",12.1
2006,"Nothern Ireland","Pancreatic","Women","102",13.6
2007,"Nothern Ireland","Pancreatic","Women","95",12.8
2008,"Nothern Ireland","Pancreatic","Women","108",14.3
2009,"Nothern Ireland","Pancreatic","Women","99",12.9
2010,"Nothern Ireland","Pancreatic","Women","99",12.4
2011,"Nothern Ireland","Pancreatic","Women","113",14.2
2012,"Nothern Ireland","Pancreatic","Women","141",17.4
2013,"Nothern Ireland","Pancreatic","Women","123",15.4
2014,"Nothern Ireland","Pancreatic","Women","107",12.7
2015,"Nothern Ireland","Pancreatic","Women","112",13.2
2016,"Nothern Ireland","Pancreatic","Women","121",14.1
2017,"Nothern Ireland","Pancreatic","Women","127",14.6
2018,"Nothern Ireland","Pancreatic","Women","118",13.2
2019,"Nothern Ireland","Pancreatic","Women","112",12.3
2000,"Scotland","Pancreatic","Men","294",17.0923315383301
2001,"Scotland","Pancreatic","Men","280",15.7991015225647
2002,"Scotland","Pancreatic","Men","281",16.0582036027562
2003,"Scotland","Pancreatic","Men","297",16.3600016992916
2004,"Scotland","Pancreatic","Men","300",16.4216123434501
2005,"Scotland","Pancreatic","Men","284",15.5430632480486
2006,"Scotland","Pancreatic","Men","269",14.5132903048783
2007,"Scotland","Pancreatic","Men","338",17.8764671970423
2008,"Scotland","Pancreatic","Men","319",16.3618108574762
2009,"Scotland","Pancreatic","Men","309",16.0513459264148
2010,"Scotland","Pancreatic","Men","346",17.229374970753
2011,"Scotland","Pancreatic","Men","358",17.2158802680473
2012,"Scotland","Pancreatic","Men","369",17.4679559198334
2013,"Scotland","Pancreatic","Men","354",16.5516735481203
2014,"Scotland","Pancreatic","Men","364",16.6934200849968
2015,"Scotland","Pancreatic","Men","365",16.4003284308598
2016,"Scotland","Pancreatic","Men","353",15.4916576246065
2017,"Scotland","Pancreatic","Men","403",17.347080350023
2018,"Scotland","Pancreatic","Men","419",18.0818644921162
2019,"Scotland","Pancreatic","Men","423",17.4796720225446
2000,"Scotland","Pancreatic","Women","339",13.7131515670185
2001,"Scotland","Pancreatic","Women","315",12.6408895305203
2002,"Scotland","Pancreatic","Women","281",11.263953785138
2003,"Scotland","Pancreatic","Women","344",13.6957148386295
2004,"Scotland","Pancreatic","Women","315",12.56714678939
2005,"Scotland","Pancreatic","Women","319",12.6273460565669
2006,"Scotland","Pancreatic","Women","298",11.7017184068154
2007,"Scotland","Pancreatic","Women","375",14.4577363809872
2008,"Scotland","Pancreatic","Women","323",12.2803669701382
2009,"Scotland","Pancreatic","Women","382",14.2812440137374
2010,"Scotland","Pancreatic","Women","323",12.0196603715294
2011,"Scotland","Pancreatic","Women","344",12.7543816182717
2012,"Scotland","Pancreatic","Women","373",13.6540463661227
2013,"Scotland","Pancreatic","Women","388",14.0362189875653
2014,"Scotland","Pancreatic","Women","349",12.4197855262549
2015,"Scotland","Pancreatic","Women","384",13.412059914302
2016,"Scotland","Pancreatic","Women","366",12.7519682865946
2017,"Scotland","Pancreatic","Women","378",12.9511277684801
2018,"Scotland","Pancreatic","Women","392",13.2231902800529
2019,"Scotland","Pancreatic","Women","399",13.3637775810115
2002,"Wales","Pancreatic","Men",NA,16.4
2003,"Wales","Pancreatic","Men",NA,16.8
2004,"Wales","Pancreatic","Men",NA,16.4
2005,"Wales","Pancreatic","Men",NA,16.1
2006,"Wales","Pancreatic","Men",NA,15.5
2007,"Wales","Pancreatic","Men",NA,15.8
2008,"Wales","Pancreatic","Men",NA,15.7
2009,"Wales","Pancreatic","Men",NA,16.2
2010,"Wales","Pancreatic","Men",NA,17
2011,"Wales","Pancreatic","Men",NA,18.2
2012,"Wales","Pancreatic","Men",NA,15.2
2013,"Wales","Pancreatic","Men",NA,16
2014,"Wales","Pancreatic","Men",NA,17.4
2015,"Wales","Pancreatic","Men",NA,15.3
2016,"Wales","Pancreatic","Men",NA,16.4
2017,"Wales","Pancreatic","Men",NA,17.9
2018,"Wales","Pancreatic","Men",NA,17
2019,"Wales","Pancreatic","Men",NA,17.1
2002,"Wales","Pancreatic","Women",NA,13.4
2003,"Wales","Pancreatic","Women",NA,12.7
2004,"Wales","Pancreatic","Women",NA,13.1
2005,"Wales","Pancreatic","Women",NA,12.4
2006,"Wales","Pancreatic","Women",NA,11.6
2007,"Wales","Pancreatic","Women",NA,14.4
2008,"Wales","Pancreatic","Women",NA,12.9
2009,"Wales","Pancreatic","Women",NA,13.6
2010,"Wales","Pancreatic","Women",NA,14.2
2011,"Wales","Pancreatic","Women",NA,13.3
2012,"Wales","Pancreatic","Women",NA,14
2013,"Wales","Pancreatic","Women",NA,13.2
2014,"Wales","Pancreatic","Women",NA,13.1
2015,"Wales","Pancreatic","Women",NA,13.8
2016,"Wales","Pancreatic","Women",NA,13.8
2017,"Wales","Pancreatic","Women",NA,13.9
2018,"Wales","Pancreatic","Women",NA,13.4
2019,"Wales","Pancreatic","Women",NA,15
2001,"England","Prostate","Men","8282",56
2002,"England","Prostate","Men","8471",56.5
2003,"England","Prostate","Men","8570",56.7
2004,"England","Prostate","Men","8531",55.3
2005,"England","Prostate","Men","8492",53.9
2006,"England","Prostate","Men","8506",52.7
2007,"England","Prostate","Men","8659",52.6
2008,"England","Prostate","Men","8597",51.1
2009,"England","Prostate","Men","8842",50.8
2010,"England","Prostate","Men","9082",51.2
2011,"England","Prostate","Men","9123",50.2
2012,"England","Prostate","Men","9133",49
2013,"England","Prostate","Men","9187",48.1
2014,"England","Prostate","Men","9530",48.2
2015,"England","Prostate","Men","10017",49.6
2016,"England","Prostate","Men","9851",47.5
2017,"England","Prostate","Men","10146",47.7
2018,"England","Prostate","Men","10068",46.1
2019,"England","Prostate","Men","10263",45.5
2000,"Nothern Ireland","Prostate","Men","209",52.6
2001,"Nothern Ireland","Prostate","Men","214",53
2002,"Nothern Ireland","Prostate","Men","193",48.8
2003,"Nothern Ireland","Prostate","Men","219",56.4
2004,"Nothern Ireland","Prostate","Men","240",55.3
2005,"Nothern Ireland","Prostate","Men","221",54.9
2006,"Nothern Ireland","Prostate","Men","217",48.8
2007,"Nothern Ireland","Prostate","Men","227",52.2
2008,"Nothern Ireland","Prostate","Men","232",51.7
2009,"Nothern Ireland","Prostate","Men","207",43.1
2010,"Nothern Ireland","Prostate","Men","247",49.6
2011,"Nothern Ireland","Prostate","Men","234",45.9
2012,"Nothern Ireland","Prostate","Men","266",49.4
2013,"Nothern Ireland","Prostate","Men","271",49.4
2014,"Nothern Ireland","Prostate","Men","243",43
2015,"Nothern Ireland","Prostate","Men","267",47.1
2016,"Nothern Ireland","Prostate","Men","293",48.8
2017,"Nothern Ireland","Prostate","Men","300",50.1
2018,"Nothern Ireland","Prostate","Men","276",44.5
2019,"Nothern Ireland","Prostate","Men","290",45.6
2000,"Scotland","Prostate","Men","773",56.3110358584751
2001,"Scotland","Prostate","Men","777",55.6531545277288
2002,"Scotland","Prostate","Men","775",54.4016210917368
2003,"Scotland","Prostate","Men","786",54.2075176662853
2004,"Scotland","Prostate","Men","802",54.1345796740715
2005,"Scotland","Prostate","Men","765",51.0433974080321
2006,"Scotland","Prostate","Men","779",49.5545467632355
2007,"Scotland","Prostate","Men","793",51.7897689963618
2008,"Scotland","Prostate","Men","792",50.4549066515328
2009,"Scotland","Prostate","Men","790",47.6739405144034
2010,"Scotland","Prostate","Men","849",49.75658915175
2011,"Scotland","Prostate","Men","900",52.3023710725185
2012,"Scotland","Prostate","Men","881",49.6707305540882
2013,"Scotland","Prostate","Men","876",47.2335024543292
2014,"Scotland","Prostate","Men","906",46.7141429329158
2015,"Scotland","Prostate","Men","985",51.2987716459544
2016,"Scotland","Prostate","Men","894",44.675102232036
2017,"Scotland","Prostate","Men","986",49.0141272328893
2018,"Scotland","Prostate","Men","923",43.9441351098251
2019,"Scotland","Prostate","Men","1033",48.1429040120882
2002,"Wales","Prostate","Men",NA,54
2003,"Wales","Prostate","Men",NA,60.8
2004,"Wales","Prostate","Men",NA,63.5
2005,"Wales","Prostate","Men",NA,52
2006,"Wales","Prostate","Men",NA,53.8
2007,"Wales","Prostate","Men",NA,54.6
2008,"Wales","Prostate","Men",NA,52.8
2009,"Wales","Prostate","Men",NA,49.3
2010,"Wales","Prostate","Men",NA,48.8
2011,"Wales","Prostate","Men",NA,47.1
2012,"Wales","Prostate","Men",NA,47.1
2013,"Wales","Prostate","Men",NA,43.9
2014,"Wales","Prostate","Men",NA,50.4
2015,"Wales","Prostate","Men",NA,44.9
2016,"Wales","Prostate","Men",NA,46.5
2017,"Wales","Prostate","Men",NA,46.5
2018,"Wales","Prostate","Men",NA,46.9
2019,"Wales","Prostate","Men",NA,44.4
