"Cancer label"	"incmort"	"Sex"	"Year"	"ASR (World)"	"Model"	"Flag"	"APC"	"Joinpoints"	"Final Selected Model"
Breast	"Mortality"	2	2009	17.35	17.38	NA	-2.4024*	1	1
Breast	"Mortality"	2	2010	16.62	16.97	NA	-2.4024*	1	1
Breast	"Mortality"	2	2011	16.62	16.56	NA	-2.4024*	1	1
Breast	"Mortality"	2	2012	16.27	16.16	NA	-2.4024*	1	1
Breast	"Mortality"	2	2013	15.75	15.77	NA	-2.4024*	1	1
Breast	"Mortality"	2	2014	15.31	15.39	Joinpoint 1	NA	1	1
Breast	"Mortality"	2	2015	15.12	15.19	NA	-1.2904	1	1
Breast	"Mortality"	2	2016	15.04	15.00	NA	-1.2904	1	1
Colorectum	"Incidence"	2	1997	23.66	24.26	NA	-1.0620*	2	2
Colorectum	"Incidence"	2	1998	24.47	24.01	NA	-1.0620*	2	2
Colorectum	"Incidence"	2	1999	24.03	23.75	NA	-1.0620*	2	2
Colorectum	"Incidence"	2	2000	23.74	23.50	NA	-1.0620*	2	2
Colorectum	"Incidence"	2	2001	23.16	23.25	NA	-1.0620*	2	2
Colorectum	"Incidence"	2	2002	22.69	23.00	NA	-1.0620*	2	2
Colorectum	"Incidence"	2	2003	22.57	22.76	Joinpoint 1	NA	2	2
Colorectum	"Incidence"	2	2004	23.22	23.15	NA	1.7053*	2	2
Colorectum	"Incidence"	2	2005	23.67	23.54	NA	1.7053*	2	2
Colorectum	"Incidence"	2	2006	23.83	23.94	NA	1.7053*	2	2
Colorectum	"Incidence"	2	2007	24.61	24.35	NA	1.7053*	2	2
Colorectum	"Incidence"	2	2008	24.85	24.77	NA	1.7053*	2	2
Colorectum	"Incidence"	2	2009	25.30	25.19	NA	1.7053*	2	2
Colorectum	"Incidence"	2	2010	25.42	25.62	NA	1.7053*	2	2
Colorectum	"Incidence"	2	2011	26.03	26.06	Joinpoint 2	NA	2	2
Colorectum	"Incidence"	2	2012	26.21	25.90	NA	-0.6028	2	2
Colorectum	"Incidence"	2	2013	25.01	25.74	NA	-0.6028	2	2
Colorectum	"Incidence"	2	2014	25.47	25.59	NA	-0.6028	2	2
Colorectum	"Incidence"	2	2015	26.08	25.43	NA	-0.6028	2	2
Colorectum	"Incidence"	2	2016	25.36	25.28	NA	-0.6028	2	2
Colorectum	"Incidence"	2	2017	24.89	25.13	NA	-0.6028	2	2
Colorectum	"Mortality"	2	1996	11.11	11.16	NA	-3.2953*	2	2
Colorectum	"Mortality"	2	1997	10.83	10.79	NA	-3.2953*	2	2
Colorectum	"Mortality"	2	1998	10.36	10.43	NA	-3.2953*	2	2
Colorectum	"Mortality"	2	1999	10.28	10.09	NA	-3.2953*	2	2
Colorectum	"Mortality"	2	2000	9.64	9.76	NA	-3.2953*	2	2
Colorectum	"Mortality"	2	2001	9.37	9.44	Joinpoint 1	NA	2	2
Colorectum	"Mortality"	2	2002	9.28	9.30	NA	-1.4109*	2	2
Colorectum	"Mortality"	2	2003	9.12	9.17	NA	-1.4109*	2	2
Colorectum	"Mortality"	2	2004	9.04	9.04	NA	-1.4109*	2	2
Colorectum	"Mortality"	2	2005	8.96	8.91	NA	-1.4109*	2	2
Colorectum	"Mortality"	2	2006	8.83	8.79	NA	-1.4109*	2	2
Colorectum	"Mortality"	2	2007	8.83	8.66	NA	-1.4109*	2	2
Colorectum	"Mortality"	2	2008	8.75	8.54	NA	-1.4109*	2	2
Colorectum	"Mortality"	2	2009	8.31	8.42	NA	-1.4109*	2	2
Colorectum	"Mortality"	2	2010	8.11	8.30	NA	-1.4109*	2	2
Colorectum	"Mortality"	2	2011	7.97	8.19	NA	-1.4109*	2	2
Colorectum	"Mortality"	2	2012	8.27	8.07	NA	-1.4109*	2	2
Colorectum	"Mortality"	2	2013	8.05	7.96	NA	-1.4109*	2	2
Colorectum	"Mortality"	2	2014	7.75	7.84	Joinpoint 2	NA	2	2
Colorectum	"Mortality"	2	2015	8.00	7.98	NA	1.6908	2	2
Colorectum	"Mortality"	2	2016	8.10	8.11	NA	1.6908	2	2
Lung	"Incidence"	2	1997	22.37	22.50	NA	0.0988	2	2
Lung	"Incidence"	2	1998	22.45	22.52	NA	0.0988	2	2
Lung	"Incidence"	2	1999	22.60	22.54	NA	0.0988	2	2
Lung	"Incidence"	2	2000	22.94	22.57	NA	0.0988	2	2
Lung	"Incidence"	2	2001	22.66	22.59	NA	0.0988	2	2
Lung	"Incidence"	2	2002	22.21	22.61	NA	0.0988	2	2
Lung	"Incidence"	2	2003	22.58	22.63	Joinpoint 1	NA	2	2
Lung	"Incidence"	2	2004	22.79	23.08	NA	1.9926*	2	2
Lung	"Incidence"	2	2005	23.67	23.54	NA	1.9926*	2	2
Lung	"Incidence"	2	2006	24.31	24.01	NA	1.9926*	2	2
Lung	"Incidence"	2	2007	24.55	24.49	NA	1.9926*	2	2
Lung	"Incidence"	2	2008	25.17	24.98	NA	1.9926*	2	2
Lung	"Incidence"	2	2009	25.68	25.48	NA	1.9926*	2	2
Lung	"Incidence"	2	2010	25.80	25.98	NA	1.9926*	2	2
Lung	"Incidence"	2	2011	26.36	26.50	NA	1.9926*	2	2
Lung	"Incidence"	2	2012	27.16	27.03	Joinpoint 2	NA	2	2
Lung	"Incidence"	2	2013	26.83	27.11	NA	0.2826	2	2
Lung	"Incidence"	2	2014	27.11	27.18	NA	0.2826	2	2
Lung	"Incidence"	2	2015	27.41	27.26	NA	0.2826	2	2
Lung	"Incidence"	2	2016	27.13	27.34	NA	0.2826	2	2
Lung	"Incidence"	2	2017	27.58	27.41	NA	0.2826	2	2
Lung	"Mortality"	2	1996	19.60	19.48	NA	-0.6626*	2	2
Lung	"Mortality"	2	1997	18.99	19.35	NA	-0.6626*	2	2
Lung	"Mortality"	2	1998	19.43	19.22	NA	-0.6626*	2	2
Lung	"Mortality"	2	1999	19.22	19.09	NA	-0.6626*	2	2
Lung	"Mortality"	2	2000	18.93	18.97	NA	-0.6626*	2	2
Lung	"Mortality"	2	2001	18.77	18.84	NA	-0.6626*	2	2
Lung	"Mortality"	2	2002	18.71	18.71	NA	-0.6626*	2	2
Lung	"Mortality"	2	2003	18.69	18.59	Joinpoint 1	NA	2	2
Lung	"Mortality"	2	2004	18.69	18.85	NA	1.3862*	2	2
Lung	"Mortality"	2	2005	18.96	19.11	NA	1.3862*	2	2
Lung	"Mortality"	2	2006	19.70	19.37	NA	1.3862*	2	2
Lung	"Mortality"	2	2007	19.64	19.64	NA	1.3862*	2	2
Lung	"Mortality"	2	2008	20.07	19.92	Joinpoint 2	NA	2	2
Lung	"Mortality"	2	2009	19.50	19.77	NA	-0.7283*	2	2
Lung	"Mortality"	2	2010	19.55	19.63	NA	-0.7283*	2	2
Lung	"Mortality"	2	2011	19.45	19.48	NA	-0.7283*	2	2
Lung	"Mortality"	2	2012	19.42	19.34	NA	-0.7283*	2	2
Lung	"Mortality"	2	2013	19.14	19.20	NA	-0.7283*	2	2
Lung	"Mortality"	2	2014	19.23	19.06	NA	-0.7283*	2	2
Lung	"Mortality"	2	2015	19.05	18.92	NA	-0.7283*	2	2
Lung	"Mortality"	2	2016	18.61	18.78	NA	-0.7283*	2	2
Oesophagus	"Incidence"	2	1997	3.54	3.61	NA	-0.3257*	1	1
Oesophagus	"Incidence"	2	1998	3.53	3.60	NA	-0.3257*	1	1
Oesophagus	"Incidence"	2	1999	3.73	3.59	NA	-0.3257*	1	1
Oesophagus	"Incidence"	2	2000	3.61	3.57	NA	-0.3257*	1	1
Oesophagus	"Incidence"	2	2001	3.63	3.56	NA	-0.3257*	1	1
Oesophagus	"Incidence"	2	2002	3.52	3.55	NA	-0.3257*	1	1
Oesophagus	"Incidence"	2	2003	3.54	3.54	NA	-0.3257*	1	1
Oesophagus	"Incidence"	2	2004	3.41	3.53	NA	-0.3257*	1	1
Oesophagus	"Incidence"	2	2005	3.54	3.52	NA	-0.3257*	1	1
Oesophagus	"Incidence"	2	2006	3.59	3.50	NA	-0.3257*	1	1
Oesophagus	"Incidence"	2	2007	3.49	3.49	NA	-0.3257*	1	1
Oesophagus	"Incidence"	2	2008	3.47	3.48	NA	-0.3257*	1	1
Oesophagus	"Incidence"	2	2009	3.43	3.47	NA	-0.3257*	1	1
Oesophagus	"Incidence"	2	2010	3.40	3.46	NA	-0.3257*	1	1
Oesophagus	"Incidence"	2	2011	3.36	3.45	NA	-0.3257*	1	1
Oesophagus	"Incidence"	2	2012	3.54	3.44	NA	-0.3257*	1	1
Oesophagus	"Incidence"	2	2013	3.51	3.43	NA	-0.3257*	1	1
Oesophagus	"Incidence"	2	2014	3.39	3.41	NA	-0.3257*	1	1
Oesophagus	"Incidence"	2	2015	3.39	3.40	Joinpoint 1	NA	1	1
Oesophagus	"Incidence"	2	2016	3.27	3.28	NA	-3.6809	1	1
Oesophagus	"Incidence"	2	2017	3.16	3.16	NA	-3.6809	1	1
Oesophagus	"Mortality"	2	1996	3.25	3.21	NA	-0.2719	1	1
Oesophagus	"Mortality"	2	1997	3.22	3.20	NA	-0.2719	1	1
Oesophagus	"Mortality"	2	1998	3.06	3.19	NA	-0.2719	1	1
Oesophagus	"Mortality"	2	1999	3.27	3.18	NA	-0.2719	1	1
Oesophagus	"Mortality"	2	2000	3.19	3.17	NA	-0.2719	1	1
Oesophagus	"Mortality"	2	2001	3.06	3.16	NA	-0.2719	1	1
Oesophagus	"Mortality"	2	2002	3.22	3.16	Joinpoint 1	NA	1	1
Oesophagus	"Mortality"	2	2003	3.11	3.11	NA	-1.4878*	1	1
Oesophagus	"Mortality"	2	2004	3.02	3.06	NA	-1.4878*	1	1
Oesophagus	"Mortality"	2	2005	2.99	3.02	NA	-1.4878*	1	1
Oesophagus	"Mortality"	2	2006	3.07	2.97	NA	-1.4878*	1	1
Oesophagus	"Mortality"	2	2007	2.98	2.93	NA	-1.4878*	1	1
Oesophagus	"Mortality"	2	2008	2.95	2.88	NA	-1.4878*	1	1
Oesophagus	"Mortality"	2	2009	2.83	2.84	NA	-1.4878*	1	1
Oesophagus	"Mortality"	2	2010	2.75	2.80	NA	-1.4878*	1	1
Oesophagus	"Mortality"	2	2011	2.64	2.76	NA	-1.4878*	1	1
Oesophagus	"Mortality"	2	2012	2.69	2.72	NA	-1.4878*	1	1
Oesophagus	"Mortality"	2	2013	2.67	2.68	NA	-1.4878*	1	1
Oesophagus	"Mortality"	2	2014	2.67	2.64	NA	-1.4878*	1	1
Oesophagus	"Mortality"	2	2015	2.59	2.60	NA	-1.4878*	1	1
Oesophagus	"Mortality"	2	2016	2.60	2.56	NA	-1.4878*	1	1
Pancreas	"Incidence"	2	1997	4.85	4.83	NA	1.1977*	0	0
Pancreas	"Incidence"	2	1998	4.60	4.89	NA	1.1977*	0	0
Pancreas	"Incidence"	2	1999	5.21	4.95	NA	1.1977*	0	0
Pancreas	"Incidence"	2	2000	5.09	5.01	NA	1.1977*	0	0
Pancreas	"Incidence"	2	2001	4.95	5.07	NA	1.1977*	0	0
Pancreas	"Incidence"	2	2002	4.95	5.13	NA	1.1977*	0	0
Pancreas	"Incidence"	2	2003	5.00	5.19	NA	1.1977*	0	0
Pancreas	"Incidence"	2	2004	5.30	5.25	NA	1.1977*	0	0
Pancreas	"Incidence"	2	2005	5.46	5.32	NA	1.1977*	0	0
Pancreas	"Incidence"	2	2006	5.56	5.38	NA	1.1977*	0	0
Pancreas	"Incidence"	2	2007	5.44	5.44	NA	1.1977*	0	0
Pancreas	"Incidence"	2	2008	5.54	5.51	NA	1.1977*	0	0
Pancreas	"Incidence"	2	2009	5.72	5.58	NA	1.1977*	0	0
Pancreas	"Incidence"	2	2010	5.66	5.64	NA	1.1977*	0	0
Pancreas	"Incidence"	2	2011	5.87	5.71	NA	1.1977*	0	0
Pancreas	"Incidence"	2	2012	5.91	5.78	NA	1.1977*	0	0
Pancreas	"Incidence"	2	2013	5.97	5.85	NA	1.1977*	0	0
Pancreas	"Incidence"	2	2014	5.87	5.92	NA	1.1977*	0	0
Pancreas	"Incidence"	2	2015	5.90	5.99	NA	1.1977*	0	0
Pancreas	"Incidence"	2	2016	5.74	6.06	NA	1.1977*	0	0
Pancreas	"Incidence"	2	2017	6.08	6.13	NA	1.1977*	0	0
Pancreas	"Mortality"	2	1996	4.65	4.62	NA	0.5858*	0	0
Pancreas	"Mortality"	2	1997	4.62	4.64	NA	0.5858*	0	0
Pancreas	"Mortality"	2	1998	4.49	4.67	NA	0.5858*	0	0
Pancreas	"Mortality"	2	1999	4.79	4.70	NA	0.5858*	0	0
Pancreas	"Mortality"	2	2000	4.80	4.72	NA	0.5858*	0	0
Pancreas	"Mortality"	2	2001	4.70	4.75	NA	0.5858*	0	0
Pancreas	"Mortality"	2	2002	4.77	4.78	NA	0.5858*	0	0
Pancreas	"Mortality"	2	2003	4.60	4.81	NA	0.5858*	0	0
Pancreas	"Mortality"	2	2004	4.83	4.84	NA	0.5858*	0	0
Pancreas	"Mortality"	2	2005	5.01	4.86	NA	0.5858*	0	0
Pancreas	"Mortality"	2	2006	4.83	4.89	NA	0.5858*	0	0
Pancreas	"Mortality"	2	2007	5.08	4.92	NA	0.5858*	0	0
Pancreas	"Mortality"	2	2008	5.07	4.95	NA	0.5858*	0	0
Pancreas	"Mortality"	2	2009	5.10	4.98	NA	0.5858*	0	0
Pancreas	"Mortality"	2	2010	4.99	5.01	NA	0.5858*	0	0
Pancreas	"Mortality"	2	2011	5.09	5.04	NA	0.5858*	0	0
Pancreas	"Mortality"	2	2012	5.28	5.07	NA	0.5858*	0	0
Pancreas	"Mortality"	2	2013	4.97	5.10	NA	0.5858*	0	0
Pancreas	"Mortality"	2	2014	5.06	5.13	NA	0.5858*	0	0
Pancreas	"Mortality"	2	2015	5.13	5.16	NA	0.5858*	0	0
Pancreas	"Mortality"	2	2016	5.02	5.19	NA	0.5858*	0	0
