"variable"	"age_group"	"sex"	"cancer_site"	"rate_type"	"Model"	"#Obs"	"#Param"	"DF"	"SSE"	"MSE"	"Auto Corr"	"Segment"	"Joinpoint"	"Joinpoint 95% LCL"	"Joinpoint 95% UCL"	"Intercept Estimate"	"Intercept Std Error"	"Intercept Test Statistic"	"Intercept P-Value"	"Slope Estimate"	"Slope Std Error"	"Slope Test Statistic"	"Slope P-Value"	"SlopeChg Estimate"	"SlopeChg Std Error"	"SlopeChg Test Statistic"	"SlopeChg P-Value"	"Covar-Int vs Int"	"Covar-Int vs Slope"	"Covar-Slope vs Slope"	"Corr-Int vs Int"	"Corr-Int vs Slope"	"Corr-Slope vs Slope"
BMI	50+	Women	Liver	rate	1	15	4	11	0.022241	0.002022	Uncorrelated	0	NA	NA	NA	-111.830911	14.241721	-7.852345	0.000014	0.056908	0.007091	8.025702	0.000011	NA	NA	NA	NA	202.826616	0.000000	490.669105	1.000000	0.000000	1.000000
BMI	50+	Women	Liver	rate	1	15	4	11	0.022241	0.002022	Uncorrelated	1	2013	2009	2016	-13.502450	22.151052	-0.609562	0.555748	0.008061	0.010985	0.733852	0.479891	-0.048847	0.013075	-3.735990	0.003872	0.000050	0.000000	0.000121	1.000000	0.000000	1.000000
BMI	20-49	Men	Multiple Myeloma	attributable_rate	2	15	6	9	0.069780	0.007753	Uncorrelated	0	NA	NA	NA	124.649665	204.765362	0.608744	0.561920	-0.063359	0.102102	-0.620552	0.554553	NA	NA	NA	NA	41928.853415	0.000000	0.000521	1.000000	0.000000	1.000000
BMI	20-49	Men	Multiple Myeloma	attributable_rate	2	15	6	9	0.069780	0.007753	Uncorrelated	1	2007	2007	2014	-209.117935	45.889675	-4.556971	0.002614	0.102942	0.022831	4.508944	0.002769	0.166302	0.104623	1.589529	0.155966	0.010425	0.000000	1211.145574	1.000000	0.000000	1.000000
BMI	20-49	Men	Multiple Myeloma	attributable_rate	2	15	6	9	0.069780	0.007753	Uncorrelated	2	2013	2010	2017	-11.668871	34.801517	-0.335298	0.747225	0.004855	0.017258	0.281329	0.786593	-0.098087	0.028620	-3.427245	0.011026	2105.862257	0.000000	0.000298	1.000000	0.000000	1.000000
BMI	50+	Men	Multiple Myeloma	attributable_rate	0	15	2	13	0.036349	0.002796	Uncorrelated	0	NA	NA	NA	-78.152562	6.358056	-12.291896	0.000000	0.039435	0.003160	12.479115	0.000000	NA	NA	NA	NA	40.424872	-0.020092	0.000010	1.000000	-0.999998	1.000000
BMI	20-49	Women	Multiple Myeloma	attributable_rate	1	15	4	11	0.116552	0.010596	Uncorrelated	0	NA	NA	NA	-211.520057	27.193332	-7.778379	0.000015	0.103869	0.013539	7.671782	0.000017	NA	NA	NA	NA	739.477316	0.000000	1788.910548	1.000000	0.000000	1.000000
BMI	20-49	Women	Multiple Myeloma	attributable_rate	1	15	4	11	0.116552	0.010596	Uncorrelated	1	2013	2007	2017	-80.165355	42.295515	-1.895363	0.087287	0.038616	0.020975	1.841071	0.095431	-0.065253	0.024965	-2.613798	0.025872	0.000183	0.000000	0.000440	1.000000	0.000000	1.000000
BMI	50+	Women	Multiple Myeloma	attributable_rate	0	15	2	13	0.046801	0.003600	Uncorrelated	0	NA	NA	NA	-66.980107	7.214490	-9.284109	0.000000	0.033630	0.003586	9.378734	0.000000	NA	NA	NA	NA	52.048860	-0.025869	0.000013	1.000000	-0.999998	1.000000
BMI	20-49	Men	Multiple Myeloma	non_attributable_rate	0	15	2	13	0.164026	0.012617	Uncorrelated	0	NA	NA	NA	-79.824728	13.506252	-5.910206	0.000051	0.039821	0.006713	5.932128	0.000050	NA	NA	NA	NA	182.418832	-0.090665	0.000045	1.000000	-0.999998	1.000000
BMI	50+	Men	Multiple Myeloma	non_attributable_rate	0	15	2	13	0.035510	0.002732	Uncorrelated	0	NA	NA	NA	-50.753032	6.284276	-8.076195	0.000002	0.026907	0.003123	8.614571	0.000001	NA	NA	NA	NA	39.492119	-0.019628	0.000010	1.000000	-0.999998	1.000000
BMI	20-49	Women	Multiple Myeloma	non_attributable_rate	0	15	2	13	0.152930	0.011764	Uncorrelated	0	NA	NA	NA	-127.205412	13.041414	-9.753958	0.000000	0.063201	0.006482	9.750516	0.000000	NA	NA	NA	NA	170.078488	-0.084532	0.000042	1.000000	-0.999998	1.000000
BMI	50+	Women	Multiple Myeloma	non_attributable_rate	0	15	2	13	0.046686	0.003591	Uncorrelated	0	NA	NA	NA	-50.116233	7.205592	-6.955186	0.000010	0.026369	0.003581	7.362910	0.000005	NA	NA	NA	NA	51.920553	-0.025805	0.000013	1.000000	-0.999998	1.000000
BMI	20-49	Men	Multiple Myeloma	rate	0	15	2	13	0.165446	0.012727	Uncorrelated	0	NA	NA	NA	-81.716782	13.564601	-6.024267	0.000043	0.040805	0.006742	6.052518	0.000041	NA	NA	NA	NA	183.998410	-0.091450	0.000045	1.000000	-0.999998	1.000000
BMI	50+	Men	Multiple Myeloma	rate	0	15	2	13	0.035345	0.002719	Uncorrelated	0	NA	NA	NA	-53.164502	6.269615	-8.479707	0.000001	0.028158	0.003116	9.036238	0.000001	NA	NA	NA	NA	39.308076	-0.019537	0.000010	1.000000	-0.999998	1.000000
BMI	20-49	Women	Multiple Myeloma	rate	0	15	2	13	0.154926	0.011917	Uncorrelated	0	NA	NA	NA	-129.168292	13.126228	-9.840473	0.000000	0.064213	0.006524	9.842620	0.000000	NA	NA	NA	NA	172.297869	-0.085635	0.000043	1.000000	-0.999998	1.000000
BMI	50+	Women	Multiple Myeloma	rate	0	15	2	13	0.046540	0.003580	Uncorrelated	0	NA	NA	NA	-51.391764	7.194355	-7.143346	0.000008	0.027052	0.003576	7.565573	0.000004	NA	NA	NA	NA	51.758740	-0.025725	0.000013	1.000000	-0.999998	1.000000
BMI	20-49	Women	Ovary	attributable_rate	1	15	4	11	0.011175	0.001016	Uncorrelated	0	NA	NA	NA	-96.885282	12.043112	-8.044871	0.000011	0.047779	0.005998	7.966334	0.000012	NA	NA	NA	NA	145.036548	0.000000	146.194518	1.000000	0.000000	1.000000
BMI	20-49	Women	Ovary	attributable_rate	1	15	4	11	0.011175	0.001016	Uncorrelated	1	2012	2010	2015	-5.038069	12.091093	-0.416676	0.685718	0.002129	0.005998	0.354958	0.729993	-0.045650	0.008482	-5.382056	0.000309	0.000036	0.000000	0.000036	1.000000	0.000000	1.000000
BMI	50+	Women	Ovary	attributable_rate	1	15	4	11	0.005264	0.000479	Uncorrelated	0	NA	NA	NA	-18.999540	10.902221	-1.742722	0.111991	0.010015	0.005431	1.844091	0.094960	NA	NA	NA	NA	118.858417	0.000000	49.919870	1.000000	0.000000	1.000000
BMI	50+	Women	Ovary	attributable_rate	1	15	4	11	0.005264	0.000479	Uncorrelated	1	2011	2008	2015	23.903849	7.065399	3.383227	0.006965	-0.011320	0.003506	-3.229062	0.009035	-0.021334	0.006464	-3.300551	0.008006	0.000029	0.000000	0.000012	1.000000	0.000000	1.000000
BMI	20-49	Women	Ovary	non_attributable_rate	1	15	4	11	0.007721	0.000702	Uncorrelated	0	NA	NA	NA	-134.646186	77.088187	-1.746651	0.111282	0.068191	0.038438	1.774036	0.106453	NA	NA	NA	NA	5942.588631	0.000000	20.944443	1.000000	0.000000	1.000000
BMI	20-49	Women	Ovary	non_attributable_rate	1	15	4	11	0.007721	0.000702	Uncorrelated	1	2007	2007	2014	-0.632262	4.576510	-0.138154	0.892861	0.001418	0.002273	0.623798	0.546725	-0.066773	0.038506	-1.734121	0.113557	0.001478	0.000000	0.000005	1.000000	0.000000	1.000000
BMI	50+	Women	Ovary	non_attributable_rate	0	15	2	13	0.007795	0.000600	Uncorrelated	0	NA	NA	NA	31.228978	2.944411	10.606190	0.000000	-0.013627	0.001463	-9.311542	0.000000	NA	NA	NA	NA	8.669554	-0.004309	0.000002	1.000000	-0.999998	1.000000
BMI	20-49	Women	Ovary	rate	1	15	4	11	0.008094	0.000736	Uncorrelated	0	NA	NA	NA	-137.978561	79.197478	-1.742209	0.112084	0.069873	0.039490	1.769374	0.107261	NA	NA	NA	NA	6272.240480	0.000000	22.106289	1.000000	0.000000	1.000000
BMI	20-49	Women	Ovary	rate	1	15	4	11	0.008094	0.000736	Uncorrelated	1	2007	2007	2014	-2.139993	4.701733	-0.455150	0.658723	0.002190	0.002335	0.938048	0.370323	-0.067682	0.039559	-1.710918	0.117883	0.001559	0.000000	0.000005	1.000000	0.000000	1.000000
BMI	50+	Women	Ovary	rate	0	15	2	13	0.007884	0.000606	Uncorrelated	0	NA	NA	NA	29.950978	2.961116	10.114760	0.000000	-0.012960	0.001472	-8.805701	0.000001	NA	NA	NA	NA	8.768209	-0.004358	0.000002	1.000000	-0.999998	1.000000
BMI	20-49	Men	Pancreas	attributable_rate	1	15	4	11	0.043285	0.003935	Uncorrelated	0	NA	NA	NA	-111.670130	20.166133	-5.537508	0.000248	0.054679	0.010040	5.445901	0.000282	NA	NA	NA	NA	406.672906	0.000000	983.804960	1.000000	0.000000	1.000000
BMI	20-49	Men	Pancreas	attributable_rate	1	15	4	11	0.043285	0.003935	Uncorrelated	1	2013	2007	2017	-26.180501	31.365665	-0.834687	0.423386	0.012210	0.015555	0.784994	0.450654	-0.042469	0.018514	-2.293928	0.044714	0.000101	0.000000	0.000242	1.000000	0.000000	1.000000
BMI	50+	Men	Pancreas	attributable_rate	1	15	4	11	0.005446	0.000495	Uncorrelated	0	NA	NA	NA	-70.340451	5.747685	-12.238049	0.000000	0.035874	0.002862	12.536054	0.000000	NA	NA	NA	NA	33.035883	0.000000	79.918934	1.000000	0.000000	1.000000
BMI	50+	Men	Pancreas	attributable_rate	1	15	4	11	0.005446	0.000495	Uncorrelated	1	2013	2007	2017	-41.582150	8.939739	-4.651383	0.000906	0.021588	0.004433	4.869487	0.000652	-0.014286	0.005277	-2.707442	0.022030	0.000008	0.000000	0.000020	1.000000	0.000000	1.000000
BMI	20-49	Women	Pancreas	attributable_rate	0	15	2	13	0.059197	0.004554	Uncorrelated	0	NA	NA	NA	-79.965883	8.113872	-9.855453	0.000000	0.038658	0.004033	9.586037	0.000000	NA	NA	NA	NA	65.834913	-0.032721	0.000016	1.000000	-0.999998	1.000000
BMI	50+	Women	Pancreas	attributable_rate	1	15	4	11	0.002435	0.000221	Uncorrelated	0	NA	NA	NA	-42.481076	4.833597	-8.788709	0.000005	0.021863	0.002407	9.084697	0.000004	NA	NA	NA	NA	23.363657	0.000000	56.520317	1.000000	0.000000	1.000000
BMI	50+	Women	Pancreas	attributable_rate	1	15	4	11	0.002435	0.000221	Uncorrelated	1	2013	2008	2016	-5.505096	7.518000	-0.732255	0.480823	0.003494	0.003728	0.937266	0.370705	-0.018369	0.004437	-4.139407	0.002014	0.000006	0.000000	0.000014	1.000000	0.000000	1.000000
BMI	20-49	Men	Pancreas	non_attributable_rate	0	15	2	13	0.048306	0.003716	Uncorrelated	0	NA	NA	NA	-34.726562	7.329600	-4.737853	0.000388	0.017448	0.003643	4.789430	0.000353	NA	NA	NA	NA	53.723030	-0.026701	0.000013	1.000000	-0.999998	1.000000
BMI	50+	Men	Pancreas	non_attributable_rate	0	15	2	13	0.005269	0.000405	Uncorrelated	0	NA	NA	NA	-11.874991	2.420619	-4.905767	0.000287	0.007729	0.001203	6.424704	0.000023	NA	NA	NA	NA	5.859394	-0.002912	0.000001	1.000000	-0.999998	1.000000
BMI	20-49	Women	Pancreas	non_attributable_rate	0	15	2	13	0.053728	0.004133	Uncorrelated	0	NA	NA	NA	-47.468070	7.730009	-6.140752	0.000035	0.023661	0.003842	6.158484	0.000034	NA	NA	NA	NA	59.753035	-0.029698	0.000015	1.000000	-0.999998	1.000000
BMI	50+	Women	Pancreas	non_attributable_rate	1	15	4	11	0.001885	0.000171	Uncorrelated	0	NA	NA	NA	-19.467212	3.823908	-5.090921	0.000470	0.011412	0.001904	5.994048	0.000133	NA	NA	NA	NA	14.622273	0.000000	35.373551	1.000000	0.000000	1.000000
BMI	50+	Women	Pancreas	non_attributable_rate	1	15	4	11	0.001885	0.000171	Uncorrelated	1	2013	2011	2017	3.314220	5.947567	0.557240	0.589618	0.000095	0.002949	0.032102	0.975023	-0.011317	0.003511	-3.223758	0.009117	0.000004	0.000000	0.000009	1.000000	0.000000	1.000000
BMI	20-49	Men	Pancreas	rate	0	15	2	13	0.048483	0.003729	Uncorrelated	0	NA	NA	NA	-38.961696	7.342963	-5.305991	0.000142	0.019611	0.003650	5.373366	0.000127	NA	NA	NA	NA	53.919108	-0.026799	0.000013	1.000000	-0.999998	1.000000
BMI	50+	Men	Pancreas	rate	0	15	2	13	0.005261	0.000405	Uncorrelated	0	NA	NA	NA	-17.789761	2.418874	-7.354562	0.000006	0.010742	0.001202	8.934735	0.000001	NA	NA	NA	NA	5.850953	-0.002908	0.000001	1.000000	-0.999998	1.000000
BMI	20-49	Women	Pancreas	rate	0	15	2	13	0.053785	0.004137	Uncorrelated	0	NA	NA	NA	-50.033086	7.734094	-6.469160	0.000021	0.024982	0.003844	6.498991	0.000020	NA	NA	NA	NA	59.816205	-0.029730	0.000015	1.000000	-0.999998	1.000000
BMI	50+	Women	Pancreas	rate	1	15	4	11	0.001837	0.000167	Uncorrelated	0	NA	NA	NA	-21.795123	3.863938	-5.640650	0.000215	0.012633	0.001924	6.566588	0.000063	NA	NA	NA	NA	14.930020	0.000000	36.118038	1.000000	0.000000	1.000000
BMI	50+	Women	Pancreas	rate	1	15	4	11	0.001837	0.000167	Uncorrelated	1	2013	2011	2016	2.574083	6.009828	0.428312	0.677502	0.000527	0.002980	0.176770	0.863218	-0.012106	0.003547	-3.412715	0.006628	0.000004	0.000000	0.000009	1.000000	0.000000	1.000000
BMI	20-49	Men	Thyroid	attributable_rate	2	15	6	9	0.013237	0.001471	Uncorrelated	0	NA	NA	NA	-98.714244	87.194621	-1.132114	0.294873	0.048135	0.043478	1.107125	0.304828	NA	NA	NA	NA	7602.901974	0.000000	0.000473	1.000000	0.000000	1.000000
BMI	20-49	Men	Thyroid	attributable_rate	2	15	6	9	0.013237	0.001471	Uncorrelated	1	2007	2007	2009	-286.483261	43.673399	-6.559674	0.000316	0.141692	0.021739	6.517927	0.000329	0.093557	0.048610	1.924662	0.095671	0.001890	0.000000	91.415726	1.000000	0.000000	1.000000
BMI	20-49	Men	Thyroid	attributable_rate	2	15	6	9	0.013237	0.001471	Uncorrelated	2	2011	2010	2013	-76.013627	9.561157	-7.950254	0.000095	0.037033	0.004744	7.806632	0.000107	-0.104659	0.022250	-4.703690	0.002199	1907.365774	0.000000	0.000023	1.000000	0.000000	1.000000
BMI	50+	Men	Thyroid	attributable_rate	1	15	4	11	0.040930	0.003721	Uncorrelated	0	NA	NA	NA	-170.194543	19.823337	-8.585565	0.000006	0.084281	0.009870	8.539351	0.000007	NA	NA	NA	NA	392.964696	0.000000	950.642669	1.000000	0.000000	1.000000
BMI	50+	Men	Thyroid	attributable_rate	1	15	4	11	0.040930	0.003721	Uncorrelated	1	2013	2008	2016	-67.697222	30.832494	-2.195645	0.052829	0.033363	0.015290	2.182018	0.054061	-0.050918	0.018199	-2.797851	0.018864	0.000097	0.000000	0.000234	1.000000	0.000000	1.000000
BMI	20-49	Women	Thyroid	attributable_rate	1	15	4	11	0.012319	0.001120	Uncorrelated	0	NA	NA	NA	-189.939295	10.417891	-18.232029	0.000000	0.094207	0.005187	18.162577	0.000000	NA	NA	NA	NA	108.532458	0.000000	262.556882	1.000000	0.000000	1.000000
BMI	20-49	Women	Thyroid	attributable_rate	1	15	4	11	0.012319	0.001120	Uncorrelated	1	2013	2011	2014	-77.162436	16.203607	-4.762053	0.000766	0.038183	0.008036	4.751805	0.000778	-0.056024	0.009564	-5.857726	0.000160	0.000027	0.000000	0.000065	1.000000	0.000000	1.000000
BMI	50+	Women	Thyroid	attributable_rate	1	15	4	11	0.012885	0.001171	Uncorrelated	0	NA	NA	NA	-137.272456	9.285365	-14.783744	0.000000	0.068207	0.004622	14.757371	0.000000	NA	NA	NA	NA	86.217996	0.000000	521.435498	1.000000	0.000000	1.000000
BMI	50+	Women	Thyroid	attributable_rate	1	15	4	11	0.012885	0.001171	Uncorrelated	1	2014	2011	2016	-50.224246	22.834962	-2.199445	0.052490	0.024985	0.011321	2.206934	0.051829	-0.043222	0.012228	-3.534538	0.005406	0.000021	0.000000	0.000128	1.000000	0.000000	1.000000
BMI	20-49	Men	Thyroid	non_attributable_rate	1	15	4	11	0.021769	0.001979	Uncorrelated	0	NA	NA	NA	-174.110584	21.389005	-8.140191	0.000010	0.086963	0.010655	8.162036	0.000010	NA	NA	NA	NA	457.489554	0.000000	192.143052	1.000000	0.000000	1.000000
BMI	20-49	Men	Thyroid	non_attributable_rate	1	15	4	11	0.021769	0.001979	Uncorrelated	1	2011	2009	2014	-72.716623	13.861567	-5.245916	0.000376	0.036543	0.006877	5.313444	0.000341	-0.050420	0.012681	-3.975862	0.002618	0.000114	0.000000	0.000047	1.000000	0.000000	1.000000
BMI	50+	Men	Thyroid	non_attributable_rate	1	15	4	11	0.037862	0.003442	Uncorrelated	0	NA	NA	NA	-122.548510	15.598275	-7.856543	0.000014	0.061657	0.007764	7.941214	0.000013	NA	NA	NA	NA	243.306168	0.000000	1471.484827	1.000000	0.000000	1.000000
BMI	50+	Men	Thyroid	non_attributable_rate	1	15	4	11	0.037862	0.003442	Uncorrelated	1	2014	2007	2017	-25.852592	38.359938	-0.673948	0.515620	0.013645	0.019018	0.717479	0.489499	-0.048012	0.020542	-2.337240	0.041534	0.000060	0.000000	0.000362	1.000000	0.000000	1.000000
BMI	20-49	Women	Thyroid	non_attributable_rate	1	15	4	11	0.011707	0.001064	Uncorrelated	0	NA	NA	NA	-135.735164	10.128927	-13.400744	0.000000	0.068499	0.005043	13.582902	0.000000	NA	NA	NA	NA	102.595168	0.000000	248.193655	1.000000	0.000000	1.000000
BMI	20-49	Women	Thyroid	non_attributable_rate	1	15	4	11	0.011707	0.001064	Uncorrelated	1	2013	2010	2017	-64.854141	15.754163	-4.116635	0.002088	0.033287	0.007813	4.260708	0.001661	-0.035212	0.009299	-3.786652	0.003563	0.000025	0.000000	0.000061	1.000000	0.000000	1.000000
BMI	50+	Women	Thyroid	non_attributable_rate	1	15	4	11	0.015490	0.001408	Uncorrelated	0	NA	NA	NA	-110.839992	10.129621	-10.942166	0.000001	0.056147	0.005042	11.135632	0.000001	NA	NA	NA	NA	102.609214	0.000000	620.567505	1.000000	0.000000	1.000000
BMI	50+	Women	Thyroid	non_attributable_rate	1	15	4	11	0.015490	0.001408	Uncorrelated	1	2014	2011	2016	-39.653961	24.911192	-1.591813	0.142511	0.020802	0.012351	1.684253	0.123037	-0.035346	0.013340	-2.649558	0.024332	0.000025	0.000000	0.000153	1.000000	0.000000	1.000000
BMI	20-49	Men	Thyroid	rate	2	15	6	9	0.012928	0.001436	Uncorrelated	0	NA	NA	NA	-64.421929	90.184753	-0.714333	0.498143	0.032323	0.044969	0.718791	0.495557	NA	NA	NA	NA	8133.289608	0.000000	0.000506	1.000000	0.000000	1.000000
BMI	20-49	Men	Thyroid	rate	2	15	6	9	0.012928	0.001436	Uncorrelated	1	2007	2007	2014	-216.217284	45.171074	-4.786631	0.001997	0.107956	0.022484	4.801385	0.001963	0.075633	0.050277	1.504339	0.176206	0.002022	0.000000	97.792997	1.000000	0.000000	1.000000
BMI	20-49	Men	Thyroid	rate	2	15	6	9	0.012928	0.001436	Uncorrelated	2	2011	2010	2017	-66.923763	9.889034	-6.767472	0.000261	0.033718	0.004906	6.872043	0.000237	-0.074238	0.023013	-3.225869	0.014535	2040.425916	0.000000	0.000024	1.000000	0.000000	1.000000
BMI	50+	Men	Thyroid	rate	1	15	4	11	0.038248	0.003477	Uncorrelated	0	NA	NA	NA	-126.172391	15.642372	-8.066065	0.000011	0.063513	0.007786	8.157224	0.000010	NA	NA	NA	NA	244.683802	0.000000	1479.816581	1.000000	0.000000	1.000000
BMI	50+	Men	Thyroid	rate	1	15	4	11	0.038248	0.003477	Uncorrelated	1	2014	2007	2017	-28.756274	38.468384	-0.747530	0.471956	0.015144	0.019072	0.794032	0.445610	-0.048369	0.020600	-2.348010	0.040779	0.000061	0.000000	0.000364	1.000000	0.000000	1.000000
BMI	20-49	Women	Thyroid	rate	1	15	4	11	0.011705	0.001064	Uncorrelated	0	NA	NA	NA	-139.414170	10.127750	-13.765563	0.000000	0.070368	0.005042	13.955048	0.000000	NA	NA	NA	NA	102.571312	0.000000	248.135943	1.000000	0.000000	1.000000
BMI	20-49	Women	Thyroid	rate	1	15	4	11	0.011705	0.001064	Uncorrelated	1	2013	2010	2017	-65.623423	15.752331	-4.165950	0.001930	0.033710	0.007812	4.315365	0.001524	-0.036657	0.009298	-3.942556	0.002763	0.000025	0.000000	0.000061	1.000000	0.000000	1.000000
BMI	50+	Women	Thyroid	rate	1	15	4	11	0.015042	0.001367	Uncorrelated	0	NA	NA	NA	-113.138641	9.992016	-11.322904	0.000001	0.057343	0.004974	11.529513	0.000000	NA	NA	NA	NA	99.840383	0.000000	603.821967	1.000000	0.000000	1.000000
BMI	50+	Women	Thyroid	rate	1	15	4	11	0.015042	0.001367	Uncorrelated	1	2014	2011	2016	-40.489788	24.572789	-1.647749	0.130423	0.021272	0.012183	1.746024	0.111395	-0.036072	0.013159	-2.741242	0.020788	0.000025	0.000000	0.000148	1.000000	0.000000	1.000000
