"variable"	"age_group"	"sex"	"cancer_site"	"rate_type"	"Model"	"# Joinpoints"	"# Observations"	"# Parameters"	"D.F."	"SSE"	"BIC"	"BIC3"	"Weight"	"WBIC"
BMI	50+	Women	Multiple Myeloma	non_attributable_rate	3	2	15	6	9	       0.0204707	      -5.5135907	      -5.1525173	       0.6378111	      -5.2832941
BMI	20-49	Men	Multiple Myeloma	rate	1	0	15	2	13	       0.1654465	      -4.1460844	      -4.1460844	       0.0000000	      -4.1460844
BMI	20-49	Men	Multiple Myeloma	rate	2	1	15	4	11	       0.1287728	      -4.0356090	      -3.8550724	       0.2216648	      -3.9955904
BMI	20-49	Men	Multiple Myeloma	rate	3	2	15	6	9	       0.0784701	      -4.1698683	      -3.8087949	       0.7259292	      -3.9077546
BMI	50+	Men	Multiple Myeloma	rate	1	0	15	2	13	       0.0353448	      -5.6895816	      -5.6895816	       0.0000000	      -5.6895816
BMI	50+	Men	Multiple Myeloma	rate	2	1	15	4	11	       0.0298274	      -5.4982311	      -5.3176944	       0.1561014	      -5.4700491
BMI	50+	Men	Multiple Myeloma	rate	3	2	15	6	9	       0.0227395	      -5.4084837	      -5.0474104	       0.3185470	      -5.2934649
BMI	20-49	Women	Multiple Myeloma	rate	1	0	15	2	13	       0.1549257	      -4.2117868	      -4.2117868	       0.0000000	      -4.2117868
BMI	20-49	Women	Multiple Myeloma	rate	2	1	15	4	11	       0.1154398	      -4.1449092	      -3.9643726	       0.2548694	      -4.0988960
BMI	20-49	Women	Multiple Myeloma	rate	3	2	15	6	9	       0.0984746	      -3.9427865	      -3.5817131	       0.5692100	      -3.7372599
BMI	50+	Women	Multiple Myeloma	rate	1	0	15	2	13	       0.0465401	      -5.4144182	      -5.4144182	       0.0000000	      -5.4144182
BMI	50+	Women	Multiple Myeloma	rate	2	1	15	4	11	       0.0391672	      -5.2258182	      -5.0452815	       0.1584193	      -5.1972177
BMI	50+	Women	Multiple Myeloma	rate	3	2	15	6	9	       0.0205337	      -5.5105195	      -5.1494462	       0.6287569	      -5.2834922
BMI	20-49	Women	Ovary	attributable_rate	1	0	15	2	13	       0.0481296	      -5.3808337	      -5.3808337	       0.0000000	      -5.3808337
BMI	20-49	Women	Ovary	attributable_rate	2	1	15	4	11	       0.0111752	      -6.4799591	      -6.2994225	       0.7678099	      -6.3413413
BMI	20-49	Women	Ovary	attributable_rate	3	2	15	6	9	       0.0070850	      -6.5746029	      -6.2135296	       0.7740200	      -6.2951249
BMI	50+	Women	Ovary	attributable_rate	1	0	15	2	13	       0.0129101	      -6.6967196	      -6.6967196	       0.0000000	      -6.6967196
BMI	50+	Women	Ovary	attributable_rate	2	1	15	4	11	       0.0052635	      -7.2328560	      -7.0523193	       0.5922944	      -7.1259251
BMI	50+	Women	Ovary	attributable_rate	3	2	15	6	9	       0.0048219	      -6.9594071	      -6.5983337	       0.5727968	      -6.7525854
BMI	20-49	Women	Ovary	non_attributable_rate	1	0	15	2	13	       0.0209694	      -6.2116666	      -6.2116666	       0.0000000	      -6.2116666
BMI	20-49	Women	Ovary	non_attributable_rate	2	1	15	4	11	       0.0077208	      -6.8497388	      -6.6692022	       0.6318062	      -6.7356746
BMI	20-49	Women	Ovary	non_attributable_rate	3	2	15	6	9	       0.0055684	      -6.8154856	      -6.4544123	       0.6572517	      -6.5781696
BMI	50+	Women	Ovary	non_attributable_rate	1	0	15	2	13	       0.0077954	      -7.2011942	      -7.2011942	       0.0000000	      -7.2011942
BMI	50+	Women	Ovary	non_attributable_rate	2	1	15	4	11	       0.0053313	      -7.2200557	      -7.0395190	       0.3160944	      -7.1629891
BMI	50+	Women	Ovary	non_attributable_rate	3	2	15	6	9	       0.0036595	      -7.2352588	      -6.8741855	       0.4909203	      -7.0580006
BMI	20-49	Women	Ovary	rate	1	0	15	2	13	       0.0217058	      -6.1771512	      -6.1771512	       0.0000000	      -6.1771512
BMI	20-49	Women	Ovary	rate	2	1	15	4	11	       0.0080940	      -6.8025364	      -6.6219998	       0.6271052	      -6.6893209
BMI	20-49	Women	Ovary	rate	3	2	15	6	9	       0.0056243	      -6.8054856	      -6.4444122	       0.6519321	      -6.5700903
BMI	50+	Women	Ovary	rate	1	0	15	2	13	       0.0078841	      -7.1898790	      -7.1898790	       0.0000000	      -7.1898790
BMI	50+	Women	Ovary	rate	2	1	15	4	11	       0.0052338	      -7.2385270	      -7.0579903	       0.3361651	      -7.1778368
BMI	50+	Women	Ovary	rate	3	2	15	6	9	       0.0035869	      -7.2552908	      -6.8942174	       0.5056477	      -7.0727149
BMI	20-49	Men	Pancreas	attributable_rate	1	0	15	2	13	       0.0735856	      -4.9562825	      -4.9562825	       0.0000000	      -4.9562825
BMI	20-49	Men	Pancreas	attributable_rate	2	1	15	4	11	       0.0432852	      -5.1258479	      -4.9453113	       0.4117709	      -5.0515082
BMI	20-49	Men	Pancreas	attributable_rate	3	2	15	6	9	       0.0384994	      -4.8819430	      -4.5208697	       0.2270394	      -4.7999652
BMI	50+	Men	Pancreas	attributable_rate	1	0	15	2	13	       0.0088751	      -7.0714792	      -7.0714792	       0.0000000	      -7.0714792
BMI	50+	Men	Pancreas	attributable_rate	2	1	15	4	11	       0.0054463	      -7.1987256	      -7.0181889	       0.3863435	      -7.1289764
BMI	50+	Men	Pancreas	attributable_rate	3	2	15	6	9	       0.0052408	      -6.8761023	      -6.5150290	       0.2731063	      -6.7774909
BMI	20-49	Women	Pancreas	attributable_rate	1	0	15	2	13	       0.0591970	      -5.1738613	      -5.1738613	       0.0000000	      -5.1738613
BMI	20-49	Women	Pancreas	attributable_rate	2	1	15	4	11	       0.0553858	      -4.8793358	      -4.6987992	       0.0643819	      -4.8677125
BMI	20-49	Women	Pancreas	attributable_rate	3	2	15	6	9	       0.0426339	      -4.7799346	      -4.4188613	       0.4814197	      -4.6061068
BMI	50+	Women	Pancreas	attributable_rate	1	0	15	2	13	       0.0081032	      -7.1624724	      -7.1624724	       0.0000000	      -7.1624724
BMI	50+	Women	Pancreas	attributable_rate	2	1	15	4	11	       0.0024348	      -8.0037952	      -7.8232585	       0.6995268	      -7.8775049
BMI	50+	Women	Pancreas	attributable_rate	3	2	15	6	9	       0.0019780	      -7.8505178	      -7.4894444	       0.5582186	      -7.6489599
BMI	20-49	Men	Pancreas	non_attributable_rate	1	0	15	2	13	       0.0483063	      -5.3771698	      -5.3771698	       0.0000000	      -5.3771698
BMI	20-49	Men	Pancreas	non_attributable_rate	2	1	15	4	11	       0.0461599	      -5.0615472	      -4.8810106	       0.0444334	      -5.0535254
BMI	20-49	Men	Pancreas	non_attributable_rate	3	2	15	6	9	       0.0453843	      -4.7174196	      -4.3563462	       0.2822041	      -4.6155232
BMI	50+	Men	Pancreas	non_attributable_rate	1	0	15	2	13	       0.0052686	      -7.5929654	      -7.5929654	       0.0000000	      -7.5929654
BMI	50+	Men	Pancreas	non_attributable_rate	2	1	15	4	11	       0.0038915	      -7.5348584	      -7.3543217	       0.2613765	      -7.4876704
BMI	50+	Men	Pancreas	non_attributable_rate	3	2	15	6	9	       0.0037215	      -7.2184588	      -6.8573855	       0.3883382	      -7.0782403
BMI	20-49	Women	Pancreas	non_attributable_rate	1	0	15	2	13	       0.0537283	      -5.2707916	      -5.2707916	       0.0000000	      -5.2707916
BMI	20-49	Women	Pancreas	non_attributable_rate	2	1	15	4	11	       0.0485665	      -5.0107244	      -4.8301877	       0.0960726	      -4.9933798
BMI	20-49	Women	Pancreas	non_attributable_rate	3	2	15	6	9	       0.0434384	      -4.7612421	      -4.4001687	       0.3907292	      -4.6201602
BMI	50+	Women	Pancreas	non_attributable_rate	1	0	15	2	13	       0.0040370	      -7.8592369	      -7.8592369	       0.0000000	      -7.8592369
BMI	50+	Women	Pancreas	non_attributable_rate	2	1	15	4	11	       0.0018853	      -8.2595915	      -8.0790548	       0.5330018	      -8.1633651
BMI	50+	Women	Pancreas	non_attributable_rate	3	2	15	6	9	       0.0015888	      -8.0696206	      -7.7085473	       0.4722825	      -7.8990920
BMI	20-49	Men	Pancreas	rate	1	0	15	2	13	       0.0484826	      -5.3735266	      -5.3735266	       0.0000000	      -5.3735266
BMI	20-49	Men	Pancreas	rate	2	1	15	4	11	       0.0450723	      -5.0853916	      -4.9048549	       0.0703419	      -5.0726923
BMI	20-49	Men	Pancreas	rate	3	2	15	6	9	       0.0448741	      -4.7287241	      -4.3676507	       0.2349012	      -4.6439075
BMI	50+	Men	Pancreas	rate	1	0	15	2	13	       0.0052610	      -7.5944069	      -7.5944069	       0.0000000	      -7.5944069
BMI	50+	Men	Pancreas	rate	2	1	15	4	11	       0.0038739	      -7.5393977	      -7.3588610	       0.2636610	      -7.4917972
BMI	50+	Men	Pancreas	rate	3	2	15	6	9	       0.0037930	      -7.1994160	      -6.8383427	       0.3989815	      -7.0553544
BMI	20-49	Women	Pancreas	rate	1	0	15	2	13	       0.0537851	      -5.2697349	      -5.2697349	       0.0000000	      -5.2697349
BMI	20-49	Women	Pancreas	rate	2	1	15	4	11	       0.0491388	      -4.9990107	      -4.8184740	       0.0863878	      -4.9834145
BMI	20-49	Women	Pancreas	rate	3	2	15	6	9	       0.0433426	      -4.7634495	      -4.4023762	       0.4000018	      -4.6190195
BMI	50+	Women	Pancreas	rate	1	0	15	2	13	       0.0042994	      -7.7962552	      -7.7962552	       0.0000000	      -7.7962552
BMI	50+	Women	Pancreas	rate	2	1	15	4	11	       0.0018373	      -8.2853546	      -8.1048179	       0.5726599	      -8.1819685
BMI	50+	Women	Pancreas	rate	3	2	15	6	9	       0.0016453	      -8.0346846	      -7.6736113	       0.4536496	      -7.8708838
BMI	20-49	Men	Thyroid	attributable_rate	1	0	15	2	13	       0.1292656	      -4.3928633	      -4.3928633	       0.0000000	      -4.3928633
BMI	20-49	Men	Thyroid	attributable_rate	2	1	15	4	11	       0.0272414	      -5.5889215	      -5.4083848	       0.7892603	      -5.4464311
BMI	20-49	Men	Thyroid	attributable_rate	3	2	15	6	9	       0.0132367	      -5.9495917	      -5.5885183	       0.8917084	      -5.6276195
BMI	50+	Men	Thyroid	attributable_rate	1	0	15	2	13	       0.0844859	      -4.8181480	      -4.8181480	       0.0000000	      -4.8181480
BMI	50+	Men	Thyroid	attributable_rate	2	1	15	4	11	       0.0409300	      -5.1817960	      -5.0012593	       0.5155405	      -5.0887220
BMI	50+	Men	Thyroid	attributable_rate	3	2	15	6	9	       0.0386529	      -4.8779645	      -4.5168911	       0.5505271	      -4.6791838
BMI	20-49	Women	Thyroid	attributable_rate	1	0	15	2	13	       0.0650494	      -5.0795855	      -5.0795855	       0.0000000	      -5.0795855
BMI	20-49	Women	Thyroid	attributable_rate	2	1	15	4	11	       0.0123189	      -6.3825242	      -6.2019875	       0.8106223	      -6.2361771
BMI	20-49	Women	Thyroid	attributable_rate	3	2	15	6	9	       0.0117006	      -6.0729488	      -5.7118754	       0.7568822	      -5.7996588
BMI	50+	Women	Thyroid	attributable_rate	1	0	15	2	13	       0.0394059	      -5.5808175	      -5.5808175	       0.0000000	      -5.5808175
BMI	50+	Women	Thyroid	attributable_rate	2	1	15	4	11	       0.0128855	      -6.3375580	      -6.1570214	       0.6730061	      -6.2160557
BMI	50+	Women	Thyroid	attributable_rate	3	2	15	6	9	       0.0115253	      -6.0880407	      -5.7269673	       0.6261227	      -5.8619645
BMI	20-49	Men	Thyroid	non_attributable_rate	1	0	15	2	13	       0.0644775	      -5.0884162	      -5.0884162	       0.0000000	      -5.0884162
BMI	20-49	Men	Thyroid	non_attributable_rate	2	1	15	4	11	       0.0217695	      -5.8131505	      -5.6326138	       0.6623710	      -5.6935682
BMI	20-49	Men	Thyroid	non_attributable_rate	3	2	15	6	9	       0.0130555	      -5.9633743	      -5.6023009	       0.7804938	      -5.6815588
BMI	50+	Men	Thyroid	non_attributable_rate	1	0	15	2	13	       0.0705870	      -4.9978860	      -4.9978860	       0.0000000	      -4.9978860
BMI	50+	Men	Thyroid	non_attributable_rate	2	1	15	4	11	       0.0378623	      -5.2597041	      -5.0791675	       0.4636088	      -5.1760057
BMI	50+	Men	Thyroid	non_attributable_rate	3	2	15	6	9	       0.0351047	      -4.9742495	      -4.6131761	       0.5293722	      -4.7831073
BMI	20-49	Women	Thyroid	non_attributable_rate	1	0	15	2	13	       0.0325364	      -5.7723724	      -5.7723724	       0.0000000	      -5.7723724
BMI	20-49	Women	Thyroid	non_attributable_rate	2	1	15	4	11	       0.0117068	      -6.4334914	      -6.2529547	       0.6401948	      -6.3179127
BMI	20-49	Women	Thyroid	non_attributable_rate	3	2	15	6	9	       0.0111518	      -6.1209821	      -5.7599087	       0.7326190	      -5.8564529
BMI	50+	Women	Thyroid	non_attributable_rate	1	0	15	2	13	       0.0332262	      -5.7513948	      -5.7513948	       0.0000000	      -5.7513948
BMI	50+	Women	Thyroid	non_attributable_rate	2	1	15	4	11	       0.0154904	      -6.1534386	      -5.9729019	       0.5337891	      -6.0570701
BMI	50+	Women	Thyroid	non_attributable_rate	3	2	15	6	9	       0.0110179	      -6.1330644	      -5.7719911	       0.6757936	      -5.8890534
BMI	20-49	Men	Thyroid	rate	1	0	15	2	13	       0.0686139	      -5.0262372	      -5.0262372	       0.0000000	      -5.0262372
BMI	20-49	Men	Thyroid	rate	2	1	15	4	11	       0.0220810	      -5.7989415	      -5.6184048	       0.6781848	      -5.6765042
BMI	20-49	Men	Thyroid	rate	3	2	15	6	9	       0.0129284	      -5.9731556	      -5.6120822	       0.7974115	      -5.6852315
BMI	50+	Men	Thyroid	rate	1	0	15	2	13	       0.0714625	      -4.9855596	      -4.9855596	       0.0000000	      -4.9855596
BMI	50+	Men	Thyroid	rate	2	1	15	4	11	       0.0382484	      -5.2495562	      -5.0690195	       0.4647760	      -5.1656471
BMI	50+	Men	Thyroid	rate	3	2	15	6	9	       0.0353897	      -4.9661642	      -4.6050909	       0.5242273	      -4.7768797
BMI	20-49	Women	Thyroid	rate	1	0	15	2	13	       0.0342798	      -5.7201747	      -5.7201747	       0.0000000	      -5.7201747
BMI	20-49	Women	Thyroid	rate	2	1	15	4	11	       0.0117050	      -6.4336464	      -6.2531097	       0.6585470	      -6.3147545
BMI	20-49	Women	Thyroid	rate	3	2	15	6	9	       0.0111924	      -6.1173508	      -5.7562775	       0.7471024	      -5.8475921
BMI	50+	Women	Thyroid	rate	1	0	15	2	13	       0.0335145	      -5.7427545	      -5.7427545	       0.0000000	      -5.7427545
BMI	50+	Women	Thyroid	rate	2	1	15	4	11	       0.0150423	      -6.1827912	      -6.0022545	       0.5511696	      -6.0832849
BMI	50+	Women	Thyroid	rate	3	2	15	6	9	       0.0110975	      -6.1258647	      -5.7647914	       0.6764130	      -5.8816300
