"sex"	"age_group"	"cancer_site"	"year"	"count"	"Model"	"Flag"	"APC"	"Joinpoints"	"Final Selected Model"
Women	20-49	Gallbladder	2010	38.00	31.73	NA	3.2321*	0	0
Women	20-49	Gallbladder	2011	40.00	32.75	NA	3.2321*	0	0
Women	20-49	Gallbladder	2012	33.00	33.81	NA	3.2321*	0	0
Women	20-49	Gallbladder	2013	37.00	34.91	NA	3.2321*	0	0
Women	20-49	Gallbladder	2014	32.00	36.03	NA	3.2321*	0	0
Women	20-49	Gallbladder	2015	35.00	37.20	NA	3.2321*	0	0
Women	20-49	Gallbladder	2016	41.00	38.40	NA	3.2321*	0	0
Women	20-49	Gallbladder	2017	42.00	39.64	NA	3.2321*	0	0
Women	20-49	Gallbladder	2018	35.00	40.92	NA	3.2321*	0	0
Women	20-49	Gallbladder	2019	41.00	42.25	NA	3.2321*	0	0
Women	20-49	Kidney	2001	145.00	151.16	NA	5.7592*	1	1
Women	20-49	Kidney	2002	153.00	159.87	NA	5.7592*	1	1
Women	20-49	Kidney	2003	181.00	169.08	NA	5.7592*	1	1
Women	20-49	Kidney	2004	194.00	178.82	NA	5.7592*	1	1
Women	20-49	Kidney	2005	205.00	189.11	NA	5.7592*	1	1
Women	20-49	Kidney	2006	176.00	200.01	NA	5.7592*	1	1
Women	20-49	Kidney	2007	196.00	211.52	NA	5.7592*	1	1
Women	20-49	Kidney	2008	241.00	223.71	NA	5.7592*	1	1
Women	20-49	Kidney	2009	241.00	236.59	NA	5.7592*	1	1
Women	20-49	Kidney	2010	216.00	250.22	NA	5.7592*	1	1
Women	20-49	Kidney	2011	261.00	264.63	NA	5.7592*	1	1
Women	20-49	Kidney	2012	271.00	279.87	NA	5.7592*	1	1
Women	20-49	Kidney	2013	318.00	295.98	NA	5.7592*	1	1
Women	20-49	Kidney	2014	321.00	313.03	NA	5.7592*	1	1
Women	20-49	Kidney	2015	328.00	331.06	Joinpoint 1	NA	1	1
Women	20-49	Kidney	2016	341.00	331.37	NA	0.0948	1	1
Women	20-49	Kidney	2017	322.00	331.69	NA	0.0948	1	1
Women	20-49	Kidney	2018	319.00	332.00	NA	0.0948	1	1
Women	20-49	Kidney	2019	344.00	332.32	NA	0.0948	1	1
Women	20-49	Liver	2001	32.00	36.71	NA	9.0437*	1	1
Women	20-49	Liver	2002	45.00	40.03	NA	9.0437*	1	1
Women	20-49	Liver	2003	43.00	43.65	NA	9.0437*	1	1
Women	20-49	Liver	2004	49.00	47.60	NA	9.0437*	1	1
Women	20-49	Liver	2005	49.00	51.90	NA	9.0437*	1	1
Women	20-49	Liver	2006	59.00	56.60	NA	9.0437*	1	1
Women	20-49	Liver	2007	62.00	61.72	NA	9.0437*	1	1
Women	20-49	Liver	2008	72.00	67.30	Joinpoint 1	NA	1	1
Women	20-49	Liver	2009	76.00	68.47	NA	1.7433	1	1
Women	20-49	Liver	2010	61.00	69.67	NA	1.7433	1	1
Women	20-49	Liver	2011	66.00	70.88	NA	1.7433	1	1
Women	20-49	Liver	2012	66.00	72.12	NA	1.7433	1	1
Women	20-49	Liver	2013	73.00	73.37	NA	1.7433	1	1
Women	20-49	Liver	2014	80.00	74.65	NA	1.7433	1	1
Women	20-49	Liver	2015	79.00	75.95	NA	1.7433	1	1
Women	20-49	Liver	2016	66.00	77.28	NA	1.7433	1	1
Women	20-49	Liver	2017	75.00	78.62	NA	1.7433	1	1
Women	20-49	Liver	2018	82.00	79.99	NA	1.7433	1	1
Women	20-49	Liver	2019	89.00	81.39	NA	1.7433	1	1
Women	20-49	MultipleMyeloma	2001	63.00	59.21	NA	6.1850*	0	0
Women	20-49	MultipleMyeloma	2002	67.00	62.87	NA	6.1850*	0	0
Women	20-49	MultipleMyeloma	2003	55.00	66.76	NA	6.1850*	0	0
Women	20-49	MultipleMyeloma	2004	71.00	70.89	NA	6.1850*	0	0
Women	20-49	MultipleMyeloma	2005	65.00	75.27	NA	6.1850*	0	0
Women	20-49	MultipleMyeloma	2006	76.00	79.92	NA	6.1850*	0	0
Women	20-49	MultipleMyeloma	2007	77.00	84.87	NA	6.1850*	0	0
Women	20-49	MultipleMyeloma	2008	101.00	90.12	NA	6.1850*	0	0
Women	20-49	MultipleMyeloma	2009	90.00	95.69	NA	6.1850*	0	0
Women	20-49	MultipleMyeloma	2010	99.00	101.61	NA	6.1850*	0	0
Women	20-49	MultipleMyeloma	2011	98.00	107.89	NA	6.1850*	0	0
Women	20-49	MultipleMyeloma	2012	117.00	114.57	NA	6.1850*	0	0
Women	20-49	MultipleMyeloma	2013	156.00	121.65	NA	6.1850*	0	0
Women	20-49	MultipleMyeloma	2014	150.00	129.18	NA	6.1850*	0	0
Women	20-49	MultipleMyeloma	2015	131.00	137.17	NA	6.1850*	0	0
Women	20-49	MultipleMyeloma	2016	139.00	145.65	NA	6.1850*	0	0
Women	20-49	MultipleMyeloma	2017	159.00	154.66	NA	6.1850*	0	0
Women	20-49	MultipleMyeloma	2018	163.00	164.22	NA	6.1850*	0	0
Women	20-49	MultipleMyeloma	2019	147.00	174.38	NA	6.1850*	0	0
Women	20-49	Oral	2001	244.00	234.75	NA	-2.0803	2	2
Women	20-49	Oral	2002	208.00	229.86	NA	-2.0803	2	2
Women	20-49	Oral	2003	238.00	225.08	NA	-2.0803	2	2
Women	20-49	Oral	2004	213.00	220.40	Joinpoint 1	NA	2	2
Women	20-49	Oral	2005	246.00	239.82	NA	8.8104	2	2
Women	20-49	Oral	2006	268.00	260.95	NA	8.8104	2	2
Women	20-49	Oral	2007	272.00	283.94	NA	8.8104	2	2
Women	20-49	Oral	2008	317.00	308.95	Joinpoint 2	NA	2	2
Women	20-49	Oral	2009	322.00	311.69	NA	0.8872	2	2
Women	20-49	Oral	2010	305.00	314.46	NA	0.8872	2	2
Women	20-49	Oral	2011	283.00	317.25	NA	0.8872	2	2
Women	20-49	Oral	2012	339.00	320.06	NA	0.8872	2	2
Women	20-49	Oral	2013	317.00	322.90	NA	0.8872	2	2
Women	20-49	Oral	2014	328.00	325.77	NA	0.8872	2	2
Women	20-49	Oral	2015	333.00	328.66	NA	0.8872	2	2
Women	20-49	Oral	2016	356.00	331.57	NA	0.8872	2	2
Women	20-49	Oral	2017	322.00	334.52	NA	0.8872	2	2
Women	20-49	Oral	2018	344.00	337.48	NA	0.8872	2	2
Women	20-49	Oral	2019	327.00	340.48	NA	0.8872	2	2
Women	20-49	Pancreas	2001	95.00	96.71	NA	3.0526*	0	0
Women	20-49	Pancreas	2002	112.00	99.66	NA	3.0526*	0	0
Women	20-49	Pancreas	2003	89.00	102.70	NA	3.0526*	0	0
Women	20-49	Pancreas	2004	87.00	105.84	NA	3.0526*	0	0
Women	20-49	Pancreas	2005	104.00	109.07	NA	3.0526*	0	0
Women	20-49	Pancreas	2006	131.00	112.40	NA	3.0526*	0	0
Women	20-49	Pancreas	2007	116.00	115.83	NA	3.0526*	0	0
Women	20-49	Pancreas	2008	116.00	119.37	NA	3.0526*	0	0
Women	20-49	Pancreas	2009	121.00	123.01	NA	3.0526*	0	0
Women	20-49	Pancreas	2010	126.00	126.76	NA	3.0526*	0	0
Women	20-49	Pancreas	2011	134.00	130.63	NA	3.0526*	0	0
Women	20-49	Pancreas	2012	137.00	134.62	NA	3.0526*	0	0
Women	20-49	Pancreas	2013	156.00	138.73	NA	3.0526*	0	0
Women	20-49	Pancreas	2014	140.00	142.97	NA	3.0526*	0	0
Women	20-49	Pancreas	2015	155.00	147.33	NA	3.0526*	0	0
Women	20-49	Pancreas	2016	152.00	151.83	NA	3.0526*	0	0
Women	20-49	Pancreas	2017	141.00	156.46	NA	3.0526*	0	0
Women	20-49	Pancreas	2018	157.00	161.24	NA	3.0526*	0	0
Women	20-49	Pancreas	2019	165.00	166.16	NA	3.0526*	0	0
Women	20-49	Thyroid	2001	403.00	412.55	NA	7.9192*	1	1
Women	20-49	Thyroid	2002	446.00	445.23	NA	7.9192*	1	1
Women	20-49	Thyroid	2003	460.00	480.48	NA	7.9192*	1	1
Women	20-49	Thyroid	2004	522.00	518.53	NA	7.9192*	1	1
Women	20-49	Thyroid	2005	539.00	559.60	NA	7.9192*	1	1
Women	20-49	Thyroid	2006	652.00	603.91	NA	7.9192*	1	1
Women	20-49	Thyroid	2007	671.00	651.74	NA	7.9192*	1	1
Women	20-49	Thyroid	2008	712.00	703.35	NA	7.9192*	1	1
Women	20-49	Thyroid	2009	741.00	759.05	NA	7.9192*	1	1
Women	20-49	Thyroid	2010	820.00	819.16	NA	7.9192*	1	1
Women	20-49	Thyroid	2011	877.00	884.03	NA	7.9192*	1	1
Women	20-49	Thyroid	2012	962.00	954.04	NA	7.9192*	1	1
Women	20-49	Thyroid	2013	1042.00	1029.59	Joinpoint 1	NA	1	1
Women	20-49	Thyroid	2014	1012.00	1060.70	NA	3.0210*	1	1
Women	20-49	Thyroid	2015	1072.00	1092.74	NA	3.0210*	1	1
Women	20-49	Thyroid	2016	1175.00	1125.75	NA	3.0210*	1	1
Women	20-49	Thyroid	2017	1158.00	1159.76	NA	3.0210*	1	1
Women	20-49	Thyroid	2018	1192.00	1194.80	NA	3.0210*	1	1
Women	20-49	Thyroid	2019	1224.00	1230.89	NA	3.0210*	1	1
Women	50+	Breast	2001	28711.00	28696.75	NA	1.8140*	0	0
Women	50+	Breast	2002	28737.00	29217.31	NA	1.8140*	0	0
Women	50+	Breast	2003	30473.00	29747.31	NA	1.8140*	0	0
Women	50+	Breast	2004	30570.00	30286.92	NA	1.8140*	0	0
Women	50+	Breast	2005	31331.00	30836.31	NA	1.8140*	0	0
Women	50+	Breast	2006	31326.00	31395.68	NA	1.8140*	0	0
Women	50+	Breast	2007	31357.00	31965.19	NA	1.8140*	0	0
Women	50+	Breast	2008	32838.00	32545.03	NA	1.8140*	0	0
Women	50+	Breast	2009	32537.00	33135.39	NA	1.8140*	0	0
Women	50+	Breast	2010	33192.00	33736.46	NA	1.8140*	0	0
Women	50+	Breast	2011	33526.00	34348.44	NA	1.8140*	0	0
Women	50+	Breast	2012	34513.00	34971.51	NA	1.8140*	0	0
Women	50+	Breast	2013	36091.00	35605.89	NA	1.8140*	0	0
Women	50+	Breast	2014	37683.00	36251.77	NA	1.8140*	0	0
Women	50+	Breast	2015	37405.00	36909.37	NA	1.8140*	0	0
Women	50+	Breast	2016	37278.00	37578.90	NA	1.8140*	0	0
Women	50+	Breast	2017	37494.00	38260.58	NA	1.8140*	0	0
Women	50+	Breast	2018	39365.00	38954.62	NA	1.8140*	0	0
Women	50+	Breast	2019	39584.00	39661.25	NA	1.8140*	0	0
Women	50+	Colorectum	2001	12721.00	12443.00	NA	1.8727*	2	2
Women	50+	Colorectum	2002	12617.00	12676.02	NA	1.8727*	2	2
Women	50+	Colorectum	2003	12730.00	12913.40	NA	1.8727*	2	2
Women	50+	Colorectum	2004	13102.00	13155.23	NA	1.8727*	2	2
Women	50+	Colorectum	2005	13246.00	13401.58	NA	1.8727*	2	2
Women	50+	Colorectum	2006	13582.00	13652.55	NA	1.8727*	2	2
Women	50+	Colorectum	2007	13994.00	13908.21	NA	1.8727*	2	2
Women	50+	Colorectum	2008	14324.00	14168.67	NA	1.8727*	2	2
Women	50+	Colorectum	2009	14512.00	14434.00	NA	1.8727*	2	2
Women	50+	Colorectum	2010	14562.00	14704.30	NA	1.8727*	2	2
Women	50+	Colorectum	2011	15105.00	14979.66	Joinpoint 1	NA	2	2
Women	50+	Colorectum	2012	15082.00	15037.20	NA	0.3841	2	2
Women	50+	Colorectum	2013	14849.00	15094.95	NA	0.3841	2	2
Women	50+	Colorectum	2014	15097.00	15152.92	NA	0.3841	2	2
Women	50+	Colorectum	2015	15480.00	15211.12	NA	0.3841	2	2
Women	50+	Colorectum	2016	15246.00	15269.54	NA	0.3841	2	2
Women	50+	Colorectum	2017	15328.00	15328.18	Joinpoint 2	NA	2	2
Women	50+	Colorectum	2018	15747.00	15866.06	NA	3.5090*	2	2
Women	50+	Colorectum	2019	16482.00	16422.80	NA	3.5090*	2	2
Women	50+	Endometrium	2001	4497.00	4434.35	NA	3.8353*	1	1
Women	50+	Endometrium	2002	4504.00	4604.42	NA	3.8353*	1	1
Women	50+	Endometrium	2003	4844.00	4781.01	NA	3.8353*	1	1
Women	50+	Endometrium	2004	4810.00	4964.37	NA	3.8353*	1	1
Women	50+	Endometrium	2005	5182.00	5154.77	NA	3.8353*	1	1
Women	50+	Endometrium	2006	5419.00	5352.47	NA	3.8353*	1	1
Women	50+	Endometrium	2007	5649.00	5557.76	NA	3.8353*	1	1
Women	50+	Endometrium	2008	5791.00	5770.91	NA	3.8353*	1	1
Women	50+	Endometrium	2009	5898.00	5992.25	NA	3.8353*	1	1
Women	50+	Endometrium	2010	6258.00	6222.07	NA	3.8353*	1	1
Women	50+	Endometrium	2011	6480.00	6460.70	NA	3.8353*	1	1
Women	50+	Endometrium	2012	6625.00	6708.49	Joinpoint 1	NA	1	1
Women	50+	Endometrium	2013	6854.00	6833.84	NA	1.8685*	1	1
Women	50+	Endometrium	2014	7087.00	6961.53	NA	1.8685*	1	1
Women	50+	Endometrium	2015	6897.00	7091.61	NA	1.8685*	1	1
Women	50+	Endometrium	2016	7339.00	7224.11	NA	1.8685*	1	1
Women	50+	Endometrium	2017	7261.00	7359.10	NA	1.8685*	1	1
Women	50+	Endometrium	2018	7633.00	7496.60	NA	1.8685*	1	1
Women	50+	Endometrium	2019	7565.00	7636.68	NA	1.8685*	1	1
Women	50+	Gallbladder	2001	587.00	548.21	NA	4.6111*	0	0
Women	50+	Gallbladder	2002	567.00	573.49	NA	4.6111*	0	0
Women	50+	Gallbladder	2003	561.00	599.93	NA	4.6111*	0	0
Women	50+	Gallbladder	2004	583.00	627.60	NA	4.6111*	0	0
Women	50+	Gallbladder	2005	641.00	656.54	NA	4.6111*	0	0
Women	50+	Gallbladder	2006	716.00	686.81	NA	4.6111*	0	0
Women	50+	Gallbladder	2007	716.00	718.48	NA	4.6111*	0	0
Women	50+	Gallbladder	2008	739.00	751.61	NA	4.6111*	0	0
Women	50+	Gallbladder	2009	785.00	786.27	NA	4.6111*	0	0
Women	50+	Gallbladder	2010	881.00	822.52	NA	4.6111*	0	0
Women	50+	Gallbladder	2011	854.00	860.45	NA	4.6111*	0	0
Women	50+	Gallbladder	2012	924.00	900.13	NA	4.6111*	0	0
Women	50+	Gallbladder	2013	982.00	941.63	NA	4.6111*	0	0
Women	50+	Gallbladder	2014	985.00	985.05	NA	4.6111*	0	0
Women	50+	Gallbladder	2015	995.00	1030.48	NA	4.6111*	0	0
Women	50+	Gallbladder	2016	1062.00	1077.99	NA	4.6111*	0	0
Women	50+	Gallbladder	2017	1051.00	1127.70	NA	4.6111*	0	0
Women	50+	Gallbladder	2018	1245.00	1179.70	NA	4.6111*	0	0
Women	50+	Gallbladder	2019	1221.00	1234.10	NA	4.6111*	0	0
Women	50+	Kidney	2001	1571.00	1520.01	NA	5.6648*	1	1
Women	50+	Kidney	2002	1632.00	1606.11	NA	5.6648*	1	1
Women	50+	Kidney	2003	1736.00	1697.10	NA	5.6648*	1	1
Women	50+	Kidney	2004	1734.00	1793.23	NA	5.6648*	1	1
Women	50+	Kidney	2005	1788.00	1894.82	NA	5.6648*	1	1
Women	50+	Kidney	2006	2024.00	2002.15	NA	5.6648*	1	1
Women	50+	Kidney	2007	2062.00	2115.57	NA	5.6648*	1	1
Women	50+	Kidney	2008	2307.00	2235.41	NA	5.6648*	1	1
Women	50+	Kidney	2009	2329.00	2362.04	NA	5.6648*	1	1
Women	50+	Kidney	2010	2557.00	2495.85	NA	5.6648*	1	1
Women	50+	Kidney	2011	2598.00	2637.23	NA	5.6648*	1	1
Women	50+	Kidney	2012	2681.00	2786.63	NA	5.6648*	1	1
Women	50+	Kidney	2013	3038.00	2944.48	NA	5.6648*	1	1
Women	50+	Kidney	2014	3203.00	3111.28	Joinpoint 1	NA	1	1
Women	50+	Kidney	2015	3098.00	3149.59	NA	1.2313	1	1
Women	50+	Kidney	2016	3160.00	3188.37	NA	1.2313	1	1
Women	50+	Kidney	2017	3264.00	3227.63	NA	1.2313	1	1
Women	50+	Kidney	2018	3122.00	3267.37	NA	1.2313	1	1
Women	50+	Kidney	2019	3419.00	3307.60	NA	1.2313	1	1
Women	50+	Liver	2001	811.00	730.87	NA	6.4958*	1	1
Women	50+	Liver	2002	814.00	778.35	NA	6.4958*	1	1
Women	50+	Liver	2003	778.00	828.91	NA	6.4958*	1	1
Women	50+	Liver	2004	856.00	882.75	NA	6.4958*	1	1
Women	50+	Liver	2005	914.00	940.09	NA	6.4958*	1	1
Women	50+	Liver	2006	981.00	1001.16	NA	6.4958*	1	1
Women	50+	Liver	2007	1051.00	1066.19	NA	6.4958*	1	1
Women	50+	Liver	2008	1048.00	1135.45	NA	6.4958*	1	1
Women	50+	Liver	2009	1240.00	1209.21	NA	6.4958*	1	1
Women	50+	Liver	2010	1331.00	1287.75	NA	6.4958*	1	1
Women	50+	Liver	2011	1328.00	1371.40	NA	6.4958*	1	1
Women	50+	Liver	2012	1462.00	1460.49	NA	6.4958*	1	1
Women	50+	Liver	2013	1620.00	1555.35	Joinpoint 1	NA	1	1
Women	50+	Liver	2014	1596.00	1601.41	NA	2.9609	1	1
Women	50+	Liver	2015	1692.00	1648.82	NA	2.9609	1	1
Women	50+	Liver	2016	1722.00	1697.64	NA	2.9609	1	1
Women	50+	Liver	2017	1711.00	1747.91	NA	2.9609	1	1
Women	50+	Liver	2018	1642.00	1799.66	NA	2.9609	1	1
Women	50+	Liver	2019	1973.00	1852.95	NA	2.9609	1	1
Women	50+	MultipleMyeloma	2001	1509.00	1472.54	NA	2.6434*	2	2
Women	50+	MultipleMyeloma	2002	1483.00	1511.47	NA	2.6434*	2	2
Women	50+	MultipleMyeloma	2003	1570.00	1551.42	NA	2.6434*	2	2
Women	50+	MultipleMyeloma	2004	1532.00	1592.43	NA	2.6434*	2	2
Women	50+	MultipleMyeloma	2005	1637.00	1634.53	NA	2.6434*	2	2
Women	50+	MultipleMyeloma	2006	1651.00	1677.74	NA	2.6434*	2	2
Women	50+	MultipleMyeloma	2007	1698.00	1722.09	NA	2.6434*	2	2
Women	50+	MultipleMyeloma	2008	1871.00	1767.61	NA	2.6434*	2	2
Women	50+	MultipleMyeloma	2009	1843.00	1814.33	NA	2.6434*	2	2
Women	50+	MultipleMyeloma	2010	1849.00	1862.30	NA	2.6434*	2	2
Women	50+	MultipleMyeloma	2011	1872.00	1911.52	Joinpoint 1	NA	2	2
Women	50+	MultipleMyeloma	2012	1974.00	2091.69	NA	9.4255*	2	2
Women	50+	MultipleMyeloma	2013	2499.00	2288.85	NA	9.4255*	2	2
Women	50+	MultipleMyeloma	2014	2530.00	2504.58	Joinpoint 2	NA	2	2
Women	50+	MultipleMyeloma	2015	2436.00	2534.49	NA	1.1940	2	2
Women	50+	MultipleMyeloma	2016	2508.00	2564.75	NA	1.1940	2	2
Women	50+	MultipleMyeloma	2017	2584.00	2595.37	NA	1.1940	2	2
Women	50+	MultipleMyeloma	2018	2533.00	2626.36	NA	1.1940	2	2
Women	50+	MultipleMyeloma	2019	2777.00	2657.72	NA	1.1940	2	2
Women	50+	Oral	2001	1278.00	1230.20	NA	3.6024*	2	2
Women	50+	Oral	2002	1214.00	1274.51	NA	3.6024*	2	2
Women	50+	Oral	2003	1322.00	1320.43	NA	3.6024*	2	2
Women	50+	Oral	2004	1371.00	1367.99	NA	3.6024*	2	2
Women	50+	Oral	2005	1398.00	1417.27	NA	3.6024*	2	2
Women	50+	Oral	2006	1494.00	1468.33	NA	3.6024*	2	2
Women	50+	Oral	2007	1491.00	1521.23	Joinpoint 1	NA	2	2
Women	50+	Oral	2008	1674.00	1622.13	NA	6.6328*	2	2
Women	50+	Oral	2009	1711.00	1729.72	NA	6.6328*	2	2
Women	50+	Oral	2010	1863.00	1844.45	Joinpoint 2	NA	2	2
Women	50+	Oral	2011	1884.00	1903.53	NA	3.2032*	2	2
Women	50+	Oral	2012	1996.00	1964.50	NA	3.2032*	2	2
Women	50+	Oral	2013	2023.00	2027.43	NA	3.2032*	2	2
Women	50+	Oral	2014	2092.00	2092.37	NA	3.2032*	2	2
Women	50+	Oral	2015	2130.00	2159.39	NA	3.2032*	2	2
Women	50+	Oral	2016	2216.00	2228.56	NA	3.2032*	2	2
Women	50+	Oral	2017	2232.00	2299.95	NA	3.2032*	2	2
Women	50+	Oral	2018	2409.00	2373.62	NA	3.2032*	2	2
Women	50+	Oral	2019	2491.00	2449.65	NA	3.2032*	2	2
Women	50+	Pancreas	2001	2987.00	2927.37	NA	2.4385*	1	1
Women	50+	Pancreas	2002	2943.00	2998.75	NA	2.4385*	1	1
Women	50+	Pancreas	2003	3037.00	3071.88	NA	2.4385*	1	1
Women	50+	Pancreas	2004	3179.00	3146.79	NA	2.4385*	1	1
Women	50+	Pancreas	2005	3238.00	3223.52	NA	2.4385*	1	1
Women	50+	Pancreas	2006	3339.00	3302.12	NA	2.4385*	1	1
Women	50+	Pancreas	2007	3332.00	3382.65	NA	2.4385*	1	1
Women	50+	Pancreas	2008	3477.00	3465.13	NA	2.4385*	1	1
Women	50+	Pancreas	2009	3568.00	3549.63	NA	2.4385*	1	1
Women	50+	Pancreas	2010	3566.00	3636.18	NA	2.4385*	1	1
Women	50+	Pancreas	2011	3694.00	3724.85	NA	2.4385*	1	1
Women	50+	Pancreas	2012	3809.00	3815.68	NA	2.4385*	1	1
Women	50+	Pancreas	2013	3990.00	3908.73	NA	2.4385*	1	1
Women	50+	Pancreas	2014	3985.00	4004.04	Joinpoint 1	NA	1	1
Women	50+	Pancreas	2015	4122.00	4066.75	NA	1.5661	1	1
Women	50+	Pancreas	2016	4080.00	4130.44	NA	1.5661	1	1
Women	50+	Pancreas	2017	4226.00	4195.12	NA	1.5661	1	1
Women	50+	Pancreas	2018	4173.00	4260.82	NA	1.5661	1	1
Women	50+	Pancreas	2019	4387.00	4327.55	NA	1.5661	1	1
Women	50+	Thyroid	2001	477.00	459.88	NA	5.8165*	2	2
Women	50+	Thyroid	2002	487.00	486.63	NA	5.8165*	2	2
Women	50+	Thyroid	2003	509.00	514.94	NA	5.8165*	2	2
Women	50+	Thyroid	2004	508.00	544.89	NA	5.8165*	2	2
Women	50+	Thyroid	2005	566.00	576.58	NA	5.8165*	2	2
Women	50+	Thyroid	2006	618.00	610.12	NA	5.8165*	2	2
Women	50+	Thyroid	2007	670.00	645.61	NA	5.8165*	2	2
Women	50+	Thyroid	2008	689.00	683.16	NA	5.8165*	2	2
Women	50+	Thyroid	2009	752.00	722.90	NA	5.8165*	2	2
Women	50+	Thyroid	2010	748.00	764.95	Joinpoint 1	NA	2	2
Women	50+	Thyroid	2011	805.00	843.99	NA	10.3331*	2	2
Women	50+	Thyroid	2012	955.00	931.20	NA	10.3331*	2	2
Women	50+	Thyroid	2013	1016.00	1027.42	Joinpoint 2	NA	2	2
Women	50+	Thyroid	2014	1079.00	1066.15	NA	3.7694*	2	2
Women	50+	Thyroid	2015	1142.00	1106.34	NA	3.7694*	2	2
Women	50+	Thyroid	2016	1099.00	1148.04	NA	3.7694*	2	2
Women	50+	Thyroid	2017	1183.00	1191.31	NA	3.7694*	2	2
Women	50+	Thyroid	2018	1235.00	1236.22	NA	3.7694*	2	2
Women	50+	Thyroid	2019	1299.00	1282.81	NA	3.7694*	2	2
