"Year","Country","Cancer_Site","Sex","Mortalities","ASR"
1993,"Nothern Ireland","Lung","Men","540",119.5
1994,"Nothern Ireland","Lung","Men","518",112.7
1995,"Nothern Ireland","Lung","Men","516",109.8
1996,"Nothern Ireland","Lung","Men","523",111
1997,"Nothern Ireland","Lung","Men","501",106.3
1998,"Nothern Ireland","Lung","Men","489",103.3
1999,"Nothern Ireland","Lung","Men","480",99.7
2000,"Nothern Ireland","Lung","Men","457",93.7
2001,"Nothern Ireland","Lung","Men","508",101.7
2002,"Nothern Ireland","Lung","Men","492",96.5
2003,"Nothern Ireland","Lung","Men","476",94.4
2004,"Nothern Ireland","Lung","Men","508",98.6
2005,"Nothern Ireland","Lung","Men","511",96.2
2006,"Nothern Ireland","Lung","Men","526",96.7
2007,"Nothern Ireland","Lung","Men","501",88.8
2008,"Nothern Ireland","Lung","Men","559",98.6
2009,"Nothern Ireland","Lung","Men","518",89.8
2010,"Nothern Ireland","Lung","Men","541",90.8
2011,"Nothern Ireland","Lung","Men","559",92.2
2012,"Nothern Ireland","Lung","Men","543",88.4
2013,"Nothern Ireland","Lung","Men","559",86.7
2014,"Nothern Ireland","Lung","Men","527",79.7
2015,"Nothern Ireland","Lung","Men","556",83.5
2016,"Nothern Ireland","Lung","Men","572",83.9
2017,"Nothern Ireland","Lung","Men","559",80
2018,"Nothern Ireland","Lung","Men","558",78.4
2019,"Nothern Ireland","Lung","Men","538",73.2
2020,"Nothern Ireland","Lung","Men","574",75.6
2021,"Nothern Ireland","Lung","Men","526",67.7
1993,"Nothern Ireland","Lung","Women","267",41.3
1994,"Nothern Ireland","Lung","Women","263",40.3
1995,"Nothern Ireland","Lung","Women","276",42.2
1996,"Nothern Ireland","Lung","Women","280",42.5
1997,"Nothern Ireland","Lung","Women","276",41.6
1998,"Nothern Ireland","Lung","Women","302",45.1
1999,"Nothern Ireland","Lung","Women","300",44.2
2000,"Nothern Ireland","Lung","Women","330",49.1
2001,"Nothern Ireland","Lung","Women","270",39.8
2002,"Nothern Ireland","Lung","Women","319",45.9
2003,"Nothern Ireland","Lung","Women","328",47.1
2004,"Nothern Ireland","Lung","Women","328",45.9
2005,"Nothern Ireland","Lung","Women","319",44.6
2006,"Nothern Ireland","Lung","Women","333",45.3
2007,"Nothern Ireland","Lung","Women","341",46.1
2008,"Nothern Ireland","Lung","Women","362",48.3
2009,"Nothern Ireland","Lung","Women","389",51.1
2010,"Nothern Ireland","Lung","Women","365",47.1
2011,"Nothern Ireland","Lung","Women","363",46.3
2012,"Nothern Ireland","Lung","Women","416",51.9
2013,"Nothern Ireland","Lung","Women","398",49.5
2014,"Nothern Ireland","Lung","Women","449",54.6
2015,"Nothern Ireland","Lung","Women","439",52.4
2016,"Nothern Ireland","Lung","Women","512",60
2017,"Nothern Ireland","Lung","Women","469",54
2018,"Nothern Ireland","Lung","Women","476",53.9
2019,"Nothern Ireland","Lung","Women","495",55.2
2020,"Nothern Ireland","Lung","Women","473",51.6
2021,"Nothern Ireland","Lung","Women","499",53.3
1995,"Scotland","Lung","Men","2581",158.200945544971
1996,"Scotland","Lung","Men","2446",148.444437203484
1997,"Scotland","Lung","Men","2448",148.747407460461
1998,"Scotland","Lung","Men","2332",139.128979370271
1999,"Scotland","Lung","Men","2305",137.017044898319
2000,"Scotland","Lung","Men","2225",131.8168832671
2001,"Scotland","Lung","Men","2277",131.432036748712
2002,"Scotland","Lung","Men","2317",131.584845214928
2003,"Scotland","Lung","Men","2186",123.822121879776
2004,"Scotland","Lung","Men","2151",118.832629379511
2005,"Scotland","Lung","Men","2195",120.044427421461
2006,"Scotland","Lung","Men","2162",116.942527503278
2007,"Scotland","Lung","Men","2239",118.8385006937
2008,"Scotland","Lung","Men","2114",109.46836108693
2009,"Scotland","Lung","Men","2196",111.891570945928
2010,"Scotland","Lung","Men","2107",106.01577363495
2011,"Scotland","Lung","Men","2200",108.463664510325
2012,"Scotland","Lung","Men","2094",100.378148484037
2013,"Scotland","Lung","Men","2127",100.90364103508
2014,"Scotland","Lung","Men","2119",97.5553343986415
2015,"Scotland","Lung","Men","2075",94.1415513722726
2016,"Scotland","Lung","Men","2081",92.9908681291047
2017,"Scotland","Lung","Men","2036",88.7948778187525
2018,"Scotland","Lung","Men","1981",84.8009712370442
2019,"Scotland","Lung","Men","2043",85.3619846151125
2020,"Scotland","Lung","Men","1938",80.2105784292687
1995,"Scotland","Lung","Women","1640",68.6121203522014
1996,"Scotland","Lung","Women","1679",70.0784268698828
1997,"Scotland","Lung","Women","1658",68.8156090012011
1998,"Scotland","Lung","Women","1652",68.2567208113988
1999,"Scotland","Lung","Women","1656",68.2994457232101
2000,"Scotland","Lung","Women","1723",70.6815279171829
2001,"Scotland","Lung","Women","1638",66.8950841522788
2002,"Scotland","Lung","Women","1722",69.8167689233846
2003,"Scotland","Lung","Women","1707",68.6838189080754
2004,"Scotland","Lung","Women","1772",70.5973621266389
2005,"Scotland","Lung","Women","1814",71.7312198503032
2006,"Scotland","Lung","Women","1900",74.732893814681
2007,"Scotland","Lung","Women","1876",73.1385676953567
2008,"Scotland","Lung","Women","1966",75.7208124596047
2009,"Scotland","Lung","Women","1951",74.2137188517413
2010,"Scotland","Lung","Women","1948",73.6259379625535
2011,"Scotland","Lung","Women","1978",73.7380743856709
2012,"Scotland","Lung","Women","2095",76.8512061612052
2013,"Scotland","Lung","Women","1993",72.5230588626046
2014,"Scotland","Lung","Women","1998",71.7902485035699
2015,"Scotland","Lung","Women","1972",70.233491032958
2016,"Scotland","Lung","Women","1954",68.4456951719252
2017,"Scotland","Lung","Women","2033",70.4284670502645
2018,"Scotland","Lung","Women","1999",68.2185881386963
2019,"Scotland","Lung","Women","2052",68.9849444301284
2020,"Scotland","Lung","Women","1936",64.331390781535
2002,"Wales","Lung","Men","1065",94.2
2003,"Wales","Lung","Men","1035",90.98
2004,"Wales","Lung","Men","1088",92.84
2005,"Wales","Lung","Men","1065",90.41
2006,"Wales","Lung","Men","1098",92.17
2007,"Wales","Lung","Men","1103",90.87
2008,"Wales","Lung","Men","1170",94.64
2009,"Wales","Lung","Men","1072",85.03
2010,"Wales","Lung","Men","1026",80.2
2011,"Wales","Lung","Men","1132",87.51
2012,"Wales","Lung","Men","1045",77.63
2013,"Wales","Lung","Men","1011",75.22
2014,"Wales","Lung","Men","1069",77.23
2015,"Wales","Lung","Men","1031",73.83
2016,"Wales","Lung","Men","1062",74.63
2017,"Wales","Lung","Men","1001",68.8
2018,"Wales","Lung","Men","1025",69.13
2019,"Wales","Lung","Men","1017",67.93
2020,"Wales","Lung","Men","931",60.98
2021,"Wales","Lung","Men","907",58.69
2022,"Wales","Lung","Men","931",58.95
2002,"Wales","Lung","Women","671",44.69
2003,"Wales","Lung","Women","679",44.62
2004,"Wales","Lung","Women","744",49.26
2005,"Wales","Lung","Women","756",49.71
2006,"Wales","Lung","Women","787",50.52
2007,"Wales","Lung","Women","791",50.57
2008,"Wales","Lung","Women","862",54.31
2009,"Wales","Lung","Women","822",51.28
2010,"Wales","Lung","Women","823",50.87
2011,"Wales","Lung","Women","795",48.88
2012,"Wales","Lung","Women","849",51.81
2013,"Wales","Lung","Women","831",49.67
2014,"Wales","Lung","Women","899",53.65
2015,"Wales","Lung","Women","849",49.71
2016,"Wales","Lung","Women","894",52.06
2017,"Wales","Lung","Women","890",51.35
2018,"Wales","Lung","Women","875",49.93
2019,"Wales","Lung","Women","885",49.44
2020,"Wales","Lung","Women","855",47.34
2021,"Wales","Lung","Women","830",45.13
2022,"Wales","Lung","Women","879",47.19
2001,"England","Oesophageal","Men","3631",20.9
2002,"England","Oesophageal","Men","3745",21.1
2003,"England","Oesophageal","Men","3866",21.6
2004,"England","Oesophageal","Men","3825",21.1
2005,"England","Oesophageal","Men","3985",21.6
2006,"England","Oesophageal","Men","3985",21.2
2007,"England","Oesophageal","Men","3909",20.5
2008,"England","Oesophageal","Men","4085",20.9
2009,"England","Oesophageal","Men","4205",21.2
2010,"England","Oesophageal","Men","4188",20.7
2011,"England","Oesophageal","Men","4182",20.2
2012,"England","Oesophageal","Men","4349",20.6
2013,"England","Oesophageal","Men","4320",20.1
2014,"England","Oesophageal","Men","4274",19.3
2015,"England","Oesophageal","Men","4469",19.9
2016,"England","Oesophageal","Men","4482",19.6
2017,"England","Oesophageal","Men","4512",19.3
2018,"England","Oesophageal","Men","4562",19.1
2019,"England","Oesophageal","Men","4550",18.6
2020,"England","Oesophageal","Men","4649",18.7
2001,"England","Oesophageal","Women","2037",8.4
2002,"England","Oesophageal","Women","2169",8.9
2003,"England","Oesophageal","Women","2130",8.7
2004,"England","Oesophageal","Women","2069",8.4
2005,"England","Oesophageal","Women","2076",8.4
2006,"England","Oesophageal","Women","2081",8.3
2007,"England","Oesophageal","Women","2044",8.1
2008,"England","Oesophageal","Women","2046",8
2009,"England","Oesophageal","Women","2017",7.8
2010,"England","Oesophageal","Women","2021",7.7
2011,"England","Oesophageal","Women","2015",7.5
2012,"England","Oesophageal","Women","1983",7.4
2013,"England","Oesophageal","Women","2014",7.4
2014,"England","Oesophageal","Women","2046",7.4
2015,"England","Oesophageal","Women","2019",7.2
2016,"England","Oesophageal","Women","2049",7.2
2017,"England","Oesophageal","Women","1946",6.7
2018,"England","Oesophageal","Women","1983",6.8
2019,"England","Oesophageal","Women","2130",7.1
2020,"England","Oesophageal","Women","1851",6.2
1993,"Nothern Ireland","Oesophageal","Men","76",19
1994,"Nothern Ireland","Oesophageal","Men","87",18.6
1995,"Nothern Ireland","Oesophageal","Men","72",14.6
1996,"Nothern Ireland","Oesophageal","Men","91",19
1997,"Nothern Ireland","Oesophageal","Men","92",18.9
1998,"Nothern Ireland","Oesophageal","Men","92",19.7
1999,"Nothern Ireland","Oesophageal","Men","98",20.5
2000,"Nothern Ireland","Oesophageal","Men","92",18
2001,"Nothern Ireland","Oesophageal","Men","90",17.6
2002,"Nothern Ireland","Oesophageal","Men","111",21.7
2003,"Nothern Ireland","Oesophageal","Men","103",19.4
2004,"Nothern Ireland","Oesophageal","Men","90",16.6
2005,"Nothern Ireland","Oesophageal","Men","109",20
2006,"Nothern Ireland","Oesophageal","Men","114",20
2007,"Nothern Ireland","Oesophageal","Men","107",20
2008,"Nothern Ireland","Oesophageal","Men","108",17.5
2009,"Nothern Ireland","Oesophageal","Men","123",20.3
2010,"Nothern Ireland","Oesophageal","Men","93",14.1
2011,"Nothern Ireland","Oesophageal","Men","99",15.2
2012,"Nothern Ireland","Oesophageal","Men","108",18.2
2013,"Nothern Ireland","Oesophageal","Men","119",18
2014,"Nothern Ireland","Oesophageal","Men","132",19.8
2015,"Nothern Ireland","Oesophageal","Men","121",17.2
2016,"Nothern Ireland","Oesophageal","Men","165",23.3
2017,"Nothern Ireland","Oesophageal","Men","129",17.5
2018,"Nothern Ireland","Oesophageal","Men","133",17.5
2019,"Nothern Ireland","Oesophageal","Men","137",18.2
2020,"Nothern Ireland","Oesophageal","Men","148",19.3
2021,"Nothern Ireland","Oesophageal","Men","154",19.7
1993,"Nothern Ireland","Oesophageal","Women","49",7.5
1994,"Nothern Ireland","Oesophageal","Women","59",8.9
1995,"Nothern Ireland","Oesophageal","Women","47",7.1
1996,"Nothern Ireland","Oesophageal","Women","53",7.8
1997,"Nothern Ireland","Oesophageal","Women","57",8.5
1998,"Nothern Ireland","Oesophageal","Women","60",8.9
1999,"Nothern Ireland","Oesophageal","Women","60",8.9
2000,"Nothern Ireland","Oesophageal","Women","65",9.4
2001,"Nothern Ireland","Oesophageal","Women","60",8.9
2002,"Nothern Ireland","Oesophageal","Women","54",7.5
2003,"Nothern Ireland","Oesophageal","Women","51",7
2004,"Nothern Ireland","Oesophageal","Women","49",6.8
2005,"Nothern Ireland","Oesophageal","Women","57",8
2006,"Nothern Ireland","Oesophageal","Women","47",6.1
2007,"Nothern Ireland","Oesophageal","Women","54",7.3
2008,"Nothern Ireland","Oesophageal","Women","67",8.8
2009,"Nothern Ireland","Oesophageal","Women","56",7.2
2010,"Nothern Ireland","Oesophageal","Women","66",8.3
2011,"Nothern Ireland","Oesophageal","Women","50",6.3
2012,"Nothern Ireland","Oesophageal","Women","54",6.7
2013,"Nothern Ireland","Oesophageal","Women","53",6.4
2014,"Nothern Ireland","Oesophageal","Women","61",7.3
2015,"Nothern Ireland","Oesophageal","Women","61",7.1
2016,"Nothern Ireland","Oesophageal","Women","58",6.8
2017,"Nothern Ireland","Oesophageal","Women","47",5.3
2018,"Nothern Ireland","Oesophageal","Women","49",5.4
2019,"Nothern Ireland","Oesophageal","Women","45",4.9
2020,"Nothern Ireland","Oesophageal","Women","58",6.3
2021,"Nothern Ireland","Oesophageal","Women","64",6.7
1995,"Scotland","Oesophageal","Men","443",27.2507684323603
1996,"Scotland","Oesophageal","Men","421",24.4867571649125
1997,"Scotland","Oesophageal","Men","426",25.6150120521899
1998,"Scotland","Oesophageal","Men","471",27.5867108011064
1999,"Scotland","Oesophageal","Men","443",25.8620210108331
2000,"Scotland","Oesophageal","Men","427",24.5129896727843
2001,"Scotland","Oesophageal","Men","472",26.7701907940431
2002,"Scotland","Oesophageal","Men","462",25.6748953880296
2003,"Scotland","Oesophageal","Men","501",28.236469298992
2004,"Scotland","Oesophageal","Men","511",28.4161034707701
2005,"Scotland","Oesophageal","Men","495",26.6013666724396
2006,"Scotland","Oesophageal","Men","490",25.8101491257585
2007,"Scotland","Oesophageal","Men","485",25.2630082345163
2008,"Scotland","Oesophageal","Men","520",25.898355438494
2009,"Scotland","Oesophageal","Men","507",25.2040643138015
2010,"Scotland","Oesophageal","Men","533",25.9665872874898
2011,"Scotland","Oesophageal","Men","541",25.937246816978
2012,"Scotland","Oesophageal","Men","533",24.8813337897819
2013,"Scotland","Oesophageal","Men","538",25.3324376094319
2014,"Scotland","Oesophageal","Men","535",24.1320555462442
2015,"Scotland","Oesophageal","Men","552",24.839272449849
2016,"Scotland","Oesophageal","Men","553",24.1738862996105
2017,"Scotland","Oesophageal","Men","555",23.7628882181687
2018,"Scotland","Oesophageal","Men","584",24.8120412612969
2019,"Scotland","Oesophageal","Men","526",21.6973681885134
2020,"Scotland","Oesophageal","Men","550",22.7279858838979
1995,"Scotland","Oesophageal","Women","319",13.0281417082575
1996,"Scotland","Oesophageal","Women","302",12.5449782823579
1997,"Scotland","Oesophageal","Women","308",12.6021112849052
1998,"Scotland","Oesophageal","Women","259",10.5070767343751
1999,"Scotland","Oesophageal","Women","333",13.6001442614712
2000,"Scotland","Oesophageal","Women","281",11.3989749370451
2001,"Scotland","Oesophageal","Women","280",11.1683482662974
2002,"Scotland","Oesophageal","Women","301",11.9496546879861
2003,"Scotland","Oesophageal","Women","275",10.8580302860404
2004,"Scotland","Oesophageal","Women","290",11.4248091164232
2005,"Scotland","Oesophageal","Women","303",11.8488494833442
2006,"Scotland","Oesophageal","Women","275",10.6355217270971
2007,"Scotland","Oesophageal","Women","301",11.503659158156
2008,"Scotland","Oesophageal","Women","311",11.7304541265263
2009,"Scotland","Oesophageal","Women","239",9.11817639837328
2010,"Scotland","Oesophageal","Women","278",10.3286686690798
2011,"Scotland","Oesophageal","Women","283",10.4875375326222
2012,"Scotland","Oesophageal","Women","280",10.1644348643742
2013,"Scotland","Oesophageal","Women","290",10.3657385084852
2014,"Scotland","Oesophageal","Women","315",11.0667315963653
2015,"Scotland","Oesophageal","Women","264",9.27208137086503
2016,"Scotland","Oesophageal","Women","267",9.22053976802512
2017,"Scotland","Oesophageal","Women","278",9.53079509660057
2018,"Scotland","Oesophageal","Women","289",9.69515995751017
2019,"Scotland","Oesophageal","Women","307",10.1745057537077
2020,"Scotland","Oesophageal","Women","290",9.450115739916
2002,"Wales","Oesophageal","Men","261",23.01
2003,"Wales","Oesophageal","Men","266",23.5
2004,"Wales","Oesophageal","Men","235",20.23
2005,"Wales","Oesophageal","Men","259",21.45
2006,"Wales","Oesophageal","Men","276",22.83
2007,"Wales","Oesophageal","Men","309",24.97
2008,"Wales","Oesophageal","Men","309",24.44
2009,"Wales","Oesophageal","Men","263",21.02
2010,"Wales","Oesophageal","Men","293",22.61
2011,"Wales","Oesophageal","Men","303",22.73
2012,"Wales","Oesophageal","Men","249",18.16
2013,"Wales","Oesophageal","Men","285",20.88
2014,"Wales","Oesophageal","Men","274",20.04
2015,"Wales","Oesophageal","Men","318",22.55
2016,"Wales","Oesophageal","Men","302",20.94
2017,"Wales","Oesophageal","Men","291",19.95
2018,"Wales","Oesophageal","Men","311",21.14
2019,"Wales","Oesophageal","Men","328",21.61
2020,"Wales","Oesophageal","Men","320",20.65
2021,"Wales","Oesophageal","Men","301",19.21
2022,"Wales","Oesophageal","Men","310",19.64
2002,"Wales","Oesophageal","Women","148",9.58
2003,"Wales","Oesophageal","Women","152",9.59
2004,"Wales","Oesophageal","Women","156",9.68
2005,"Wales","Oesophageal","Women","139",8.81
2006,"Wales","Oesophageal","Women","142",8.84
2007,"Wales","Oesophageal","Women","149",9.46
2008,"Wales","Oesophageal","Women","159",9.7
2009,"Wales","Oesophageal","Women","151",9.23
2010,"Wales","Oesophageal","Women","142",8.53
2011,"Wales","Oesophageal","Women","129",7.67
2012,"Wales","Oesophageal","Women","144",8.41
2013,"Wales","Oesophageal","Women","117",6.88
2014,"Wales","Oesophageal","Women","155",8.86
2015,"Wales","Oesophageal","Women","150",8.68
2016,"Wales","Oesophageal","Women","131",7.48
2017,"Wales","Oesophageal","Women","145",8.12
2018,"Wales","Oesophageal","Women","150",8.32
2019,"Wales","Oesophageal","Women","141",7.8
2020,"Wales","Oesophageal","Women","129",7.09
2021,"Wales","Oesophageal","Women","138",7.38
2022,"Wales","Oesophageal","Women","139",7.29
2001,"England","Pancreatic","Men","2710",15.8
2002,"England","Pancreatic","Men","2769",15.8
2003,"England","Pancreatic","Men","2856",16
2004,"England","Pancreatic","Men","2841",15.8
2005,"England","Pancreatic","Men","2897",15.8
2006,"England","Pancreatic","Men","3060",16.4
2007,"England","Pancreatic","Men","3108",16.3
2008,"England","Pancreatic","Men","3172",16.4
2009,"England","Pancreatic","Men","3257",16.6
2010,"England","Pancreatic","Men","3218",16
2011,"England","Pancreatic","Men","3501",17
2012,"England","Pancreatic","Men","3599",17.2
2013,"England","Pancreatic","Men","3539",16.5
2014,"England","Pancreatic","Men","3716",16.9
2015,"England","Pancreatic","Men","3763",16.8
2016,"England","Pancreatic","Men","4003",17.6
2017,"England","Pancreatic","Men","3977",17.1
2018,"England","Pancreatic","Men","4163",17.5
2019,"England","Pancreatic","Men","4093",16.8
2020,"England","Pancreatic","Men","4223",17.1
2001,"England","Pancreatic","Women","2953",12.4
2002,"England","Pancreatic","Women","2960",12.3
2003,"England","Pancreatic","Women","2975",12.3
2004,"England","Pancreatic","Women","3047",12.6
2005,"England","Pancreatic","Women","3177",13
2006,"England","Pancreatic","Women","3123",12.7
2007,"England","Pancreatic","Women","3286",13.2
2008,"England","Pancreatic","Women","3334",13.3
2009,"England","Pancreatic","Women","3436",13.6
2010,"England","Pancreatic","Women","3378",13.1
2011,"England","Pancreatic","Women","3453",13.3
2012,"England","Pancreatic","Women","3632",13.8
2013,"England","Pancreatic","Women","3549",13.3
2014,"England","Pancreatic","Women","3714",13.6
2015,"England","Pancreatic","Women","3731",13.5
2016,"England","Pancreatic","Women","3813",13.6
2017,"England","Pancreatic","Women","3892",13.7
2018,"England","Pancreatic","Women","3868",13.4
2019,"England","Pancreatic","Women","4003",13.6
2020,"England","Pancreatic","Women","4075",13.7
1993,"Nothern Ireland","Pancreatic","Men","72",16.3
1994,"Nothern Ireland","Pancreatic","Men","69",14.4
1995,"Nothern Ireland","Pancreatic","Men","71",15.7
1996,"Nothern Ireland","Pancreatic","Men","79",18
1997,"Nothern Ireland","Pancreatic","Men","80",16.6
1998,"Nothern Ireland","Pancreatic","Men","88",17.7
1999,"Nothern Ireland","Pancreatic","Men","75",16
2000,"Nothern Ireland","Pancreatic","Men","78",15.9
2001,"Nothern Ireland","Pancreatic","Men","90",19.8
2002,"Nothern Ireland","Pancreatic","Men","101",20.2
2003,"Nothern Ireland","Pancreatic","Men","71",13.8
2004,"Nothern Ireland","Pancreatic","Men","72",12.9
2005,"Nothern Ireland","Pancreatic","Men","89",16.8
2006,"Nothern Ireland","Pancreatic","Men","96",16.9
2007,"Nothern Ireland","Pancreatic","Men","107",18.4
2008,"Nothern Ireland","Pancreatic","Men","119",20.9
2009,"Nothern Ireland","Pancreatic","Men","113",20.1
2010,"Nothern Ireland","Pancreatic","Men","89",15.3
2011,"Nothern Ireland","Pancreatic","Men","84",13.3
2012,"Nothern Ireland","Pancreatic","Men","103",16.4
2013,"Nothern Ireland","Pancreatic","Men","114",17.4
2014,"Nothern Ireland","Pancreatic","Men","101",15.4
2015,"Nothern Ireland","Pancreatic","Men","118",17.8
2016,"Nothern Ireland","Pancreatic","Men","134",18.9
2017,"Nothern Ireland","Pancreatic","Men","139",19.5
2018,"Nothern Ireland","Pancreatic","Men","124",18
2019,"Nothern Ireland","Pancreatic","Men","123",16.6
2020,"Nothern Ireland","Pancreatic","Men","133",17.6
2021,"Nothern Ireland","Pancreatic","Men","132",16.7
1993,"Nothern Ireland","Pancreatic","Women","83",12.8
1994,"Nothern Ireland","Pancreatic","Women","80",12.3
1995,"Nothern Ireland","Pancreatic","Women","72",10.9
1996,"Nothern Ireland","Pancreatic","Women","74",11.1
1997,"Nothern Ireland","Pancreatic","Women","81",11.9
1998,"Nothern Ireland","Pancreatic","Women","68",10
1999,"Nothern Ireland","Pancreatic","Women","64",9.4
2000,"Nothern Ireland","Pancreatic","Women","86",12.7
2001,"Nothern Ireland","Pancreatic","Women","87",12.5
2002,"Nothern Ireland","Pancreatic","Women","90",13.2
2003,"Nothern Ireland","Pancreatic","Women","102",14.3
2004,"Nothern Ireland","Pancreatic","Women","79",10.8
2005,"Nothern Ireland","Pancreatic","Women","87",12.1
2006,"Nothern Ireland","Pancreatic","Women","102",13.6
2007,"Nothern Ireland","Pancreatic","Women","95",12.8
2008,"Nothern Ireland","Pancreatic","Women","108",14.3
2009,"Nothern Ireland","Pancreatic","Women","99",12.9
2010,"Nothern Ireland","Pancreatic","Women","99",12.4
2011,"Nothern Ireland","Pancreatic","Women","113",14.2
2012,"Nothern Ireland","Pancreatic","Women","141",17.4
2013,"Nothern Ireland","Pancreatic","Women","123",15.4
2014,"Nothern Ireland","Pancreatic","Women","107",12.7
2015,"Nothern Ireland","Pancreatic","Women","112",13.2
2016,"Nothern Ireland","Pancreatic","Women","121",14.1
2017,"Nothern Ireland","Pancreatic","Women","127",14.6
2018,"Nothern Ireland","Pancreatic","Women","118",13.2
2019,"Nothern Ireland","Pancreatic","Women","112",12.3
2020,"Nothern Ireland","Pancreatic","Women","130",14
2021,"Nothern Ireland","Pancreatic","Women","129",13.6
1995,"Scotland","Pancreatic","Men","248",15.3912053554527
1996,"Scotland","Pancreatic","Men","280",17.3479969742529
1997,"Scotland","Pancreatic","Men","269",16.7946505927057
1998,"Scotland","Pancreatic","Men","289",16.9689214860076
1999,"Scotland","Pancreatic","Men","257",15.2825952909235
2000,"Scotland","Pancreatic","Men","294",17.0923315383301
2001,"Scotland","Pancreatic","Men","280",15.7991015225647
2002,"Scotland","Pancreatic","Men","281",16.0582036027562
2003,"Scotland","Pancreatic","Men","297",16.3600016992916
2004,"Scotland","Pancreatic","Men","300",16.4216123434501
2005,"Scotland","Pancreatic","Men","284",15.5430632480486
2006,"Scotland","Pancreatic","Men","269",14.5132903048783
2007,"Scotland","Pancreatic","Men","338",17.8764671970423
2008,"Scotland","Pancreatic","Men","319",16.3618108574762
2009,"Scotland","Pancreatic","Men","309",16.0513459264148
2010,"Scotland","Pancreatic","Men","346",17.229374970753
2011,"Scotland","Pancreatic","Men","358",17.2158802680473
2012,"Scotland","Pancreatic","Men","369",17.4679559198334
2013,"Scotland","Pancreatic","Men","354",16.5516735481203
2014,"Scotland","Pancreatic","Men","364",16.6934200849968
2015,"Scotland","Pancreatic","Men","365",16.4003284308598
2016,"Scotland","Pancreatic","Men","353",15.4916576246065
2017,"Scotland","Pancreatic","Men","403",17.347080350023
2018,"Scotland","Pancreatic","Men","419",18.0818644921162
2019,"Scotland","Pancreatic","Men","423",17.4796720225446
2020,"Scotland","Pancreatic","Men","424",17.2520669492603
1995,"Scotland","Pancreatic","Women","290",12.1695251707645
1996,"Scotland","Pancreatic","Women","280",11.5253394243045
1997,"Scotland","Pancreatic","Women","287",11.7894268220041
1998,"Scotland","Pancreatic","Women","318",13.1389874780394
1999,"Scotland","Pancreatic","Women","317",12.9776432926535
2000,"Scotland","Pancreatic","Women","339",13.7131515670185
2001,"Scotland","Pancreatic","Women","315",12.6408895305203
2002,"Scotland","Pancreatic","Women","281",11.263953785138
2003,"Scotland","Pancreatic","Women","344",13.6957148386295
2004,"Scotland","Pancreatic","Women","315",12.56714678939
2005,"Scotland","Pancreatic","Women","319",12.6273460565669
2006,"Scotland","Pancreatic","Women","298",11.7017184068154
2007,"Scotland","Pancreatic","Women","375",14.4577363809872
2008,"Scotland","Pancreatic","Women","323",12.2803669701382
2009,"Scotland","Pancreatic","Women","382",14.2812440137374
2010,"Scotland","Pancreatic","Women","323",12.0196603715294
2011,"Scotland","Pancreatic","Women","344",12.7543816182717
2012,"Scotland","Pancreatic","Women","373",13.6540463661227
2013,"Scotland","Pancreatic","Women","388",14.0362189875653
2014,"Scotland","Pancreatic","Women","349",12.4197855262549
2015,"Scotland","Pancreatic","Women","384",13.412059914302
2016,"Scotland","Pancreatic","Women","366",12.7519682865946
2017,"Scotland","Pancreatic","Women","378",12.9511277684801
2018,"Scotland","Pancreatic","Women","392",13.2231902800529
2019,"Scotland","Pancreatic","Women","399",13.3637775810115
2020,"Scotland","Pancreatic","Women","453",14.9986004310019
2002,"Wales","Pancreatic","Men","187",16.39
2003,"Wales","Pancreatic","Men","190",16.75
2004,"Wales","Pancreatic","Men","185",16.38
2005,"Wales","Pancreatic","Men","187",16.06
2006,"Wales","Pancreatic","Men","192",15.51
2007,"Wales","Pancreatic","Men","193",15.83
2008,"Wales","Pancreatic","Men","197",15.65
2009,"Wales","Pancreatic","Men","204",16.23
2010,"Wales","Pancreatic","Men","222",16.98
2011,"Wales","Pancreatic","Men","240",18.22
2012,"Wales","Pancreatic","Men","203",15.2
2013,"Wales","Pancreatic","Men","223",15.95
2014,"Wales","Pancreatic","Men","244",17.35
2015,"Wales","Pancreatic","Men","215",15.33
2016,"Wales","Pancreatic","Men","238",16.43
2017,"Wales","Pancreatic","Men","260",17.85
2018,"Wales","Pancreatic","Men","253",17.03
2019,"Wales","Pancreatic","Men","256",17.14
2020,"Wales","Pancreatic","Men","261",17.14
2021,"Wales","Pancreatic","Men","245",16.28
2022,"Wales","Pancreatic","Men","263",16.7
2002,"Wales","Pancreatic","Women","208",13.41
2003,"Wales","Pancreatic","Women","196",12.65
2004,"Wales","Pancreatic","Women","207",13.12
2005,"Wales","Pancreatic","Women","201",12.36
2006,"Wales","Pancreatic","Women","184",11.58
2007,"Wales","Pancreatic","Women","231",14.42
2008,"Wales","Pancreatic","Women","208",12.88
2009,"Wales","Pancreatic","Women","222",13.63
2010,"Wales","Pancreatic","Women","230",14.23
2011,"Wales","Pancreatic","Women","223",13.26
2012,"Wales","Pancreatic","Women","236",13.98
2013,"Wales","Pancreatic","Women","223",13.22
2014,"Wales","Pancreatic","Women","222",13.13
2015,"Wales","Pancreatic","Women","236",13.81
2016,"Wales","Pancreatic","Women","241",13.81
2017,"Wales","Pancreatic","Women","245",13.92
2018,"Wales","Pancreatic","Women","237",13.39
2019,"Wales","Pancreatic","Women","270",14.99
2020,"Wales","Pancreatic","Women","246",13.64
2021,"Wales","Pancreatic","Women","243",13.12
2022,"Wales","Pancreatic","Women","274",14.6
